ID	Front	Back	Tags
CG001	What is the core architectural trade-off in LLM ad content generation?	Generation volume vs adoption rate. More candidates do not yield proportional adoption because advertisers have bounded attention and trust. The constraint is NOT generation quality -- it is adoption. Advertisers ignore 70-85% of suggestions regardless of quality.	topic:content-generation,level:intermediate,type:tradeoff,source:research-summary
CG002	What is the adoption ceiling problem in ad content generation?	Advertisers adopt only 15-25% of suggestions regardless of generation quality. This is a product/trust/UX problem, not a model problem. Only ~10% of rejections are actual quality issues; 90% are cognitive overload, irrelevance to brand, or trust deficit.	topic:content-generation,level:intermediate,type:definition,source:research-summary
CG003	What is grammar-guided decoding (Outlines framework)?	A method that compiles output constraints (regex patterns, JSON schemas) into finite state machines, then applies token masks at every decoding step to guarantee structurally valid outputs. Eliminates 20-30% waste from post-hoc filtering of invalid generations.	topic:content-generation,paper:outlines,level:intermediate,type:algorithm,source:research-summary
CG004	How does constrained decoding work formally?	Define constraint as a finite automaton M = (Q, Sigma, delta, q0, F). At each step t in state q_t, compute valid tokens V(q_t) = {token in Sigma: delta(q_t, token) != empty}. Mask logits: valid tokens keep their logits, invalid get -infinity. O(|V|) per token -- negligible vs transformer forward pass.	topic:content-generation,paper:outlines,level:advanced,type:formula,source:research-summary
CG005	What is the LLM-as-Judge approach for ad content quality?	A separate LLM scores candidates on multiple dimensions (relevance, factual grounding, brand safety, persuasion, differentiation). MT-Bench showed LLM judges correlate 0.85 with human preferences at model level but only 0.65 at instance level.	topic:content-generation,level:intermediate,type:definition,source:research-summary
CG006	What is Thompson Sampling and why use it for ad creative selection?	A Bayesian bandit algorithm that samples from the posterior distribution of each variant's reward. Uncertain variants (wide posterior) occasionally sample high, getting explored. Well-characterized variants get exploited. Achieves O(sqrt(KT log T)) regret -- near optimal.	topic:content-generation,level:advanced,type:algorithm,source:research-summary
CG007	How does Thompson Sampling work for ad variant selection?	For each variant, maintain a Beta(alpha, beta) posterior where alpha = adoptions + prior, beta = shown - adoptions + prior. Sample from each posterior, recommend top-K by sampled reward. Naturally balances exploration (uncertain variants) with exploitation (proven ones).	topic:content-generation,level:advanced,type:formula,source:research-summary
CG008	What is DPO (Direct Preference Optimization) in the context of ad generation?	DPO aligns generators to advertiser adoption signals without requiring a separate reward model. Construct preference pairs (chosen = adopted + high-CTR keywords, rejected = not-adopted or low-CTR) and train the generator directly on these preferences.	topic:content-generation,level:intermediate,type:algorithm,source:research-summary
CG009	What is Constitutional AI's role in ad content generation?	Self-critique loops enforce advertising policy compliance without per-category human labeling. The model critiques its own output against a "constitution" of advertising rules, catching nuanced/contextual policy violations that simple rules miss.	topic:content-generation,level:intermediate,type:definition,source:research-summary
CG010	What is MMR (Maximal Marginal Relevance) and how does it solve diversity?	MMR score: lambda * Relevance(q,d) - (1-lambda) * max_Similarity(d,d'). Iteratively selects candidates balancing relevance with novelty -- each new selection must be dissimilar from already-selected items. Typical lambda=0.7 for relevance-heavy applications.	topic:content-generation,level:intermediate,type:formula,source:research-summary
CG011	What is the full pipeline for LLM ad content generation?	Product Attributes -> Intent Clustering -> LLM Generation (constrained) -> Policy Filter (Constitutional AI) -> LLM-as-Judge -> Bandit Ranking (Thompson Sampling) -> Top-K to Advertiser -> Adoption Signal -> Feedback Loop (DPO).	topic:content-generation,level:intermediate,type:algorithm,source:research-summary
CG012	What is the adoption funnel breakdown for generated ad suggestions?	Shown (100%) -> Viewed/expanded (60%) [attention gate] -> Evaluated (30%) [cognitive load gate] -> Considered relevant (20%) [relevance gate] -> Adopted (15%) [trust/confidence gate] -> Retained after 7d (12%) [performance gate]. Track conversion at each stage to diagnose bottlenecks.	topic:content-generation,level:intermediate,type:definition,source:research-summary
CG013	Why does intent-level abstraction improve adoption more than quality improvements?	Advertisers reason about intents ("Performance Running") not individual terms. Presenting 5-7 intent clusters instead of 200 keywords reduces cognitive load. Advertisers approve clusters (high adoption per group) while the system ensures diversity at the category level.	topic:content-generation,level:intermediate,type:why,source:research-summary
CG014	What is the rejection taxonomy for generated ad content?	Irrelevant to brand (25%), already known/obvious (20%), too many suggestions -- cognitive overload (20%), no predicted impact shown (15%), trust deficit (10%), actual quality issue (10%). Key insight: only 10% are quality problems; 90% are product/UX/trust problems.	topic:content-generation,level:intermediate,type:definition,source:practitioner
