ID	Front	Back	Tags
OWF001	What is the current default recommendation for open-weight fine-tuning and why?	Qwen3-32B: Apache 2.0 license (fully permissive), 119 languages, thinking/non-thinking modes, standard LoRA tooling, broad capability. No single model dominates all axes, but Qwen3-32B is the safest general default.	topic:open-weight,topic:llama,level:beginner,type:definition,source:research-summary
OWF002	What are the 7 Tier 1 frontier open-weight model families (2026)?	1) Meta Llama 4 (MoE, 10M context). 2) Alibaba Qwen3 (119 langs, Apache 2.0). 3) OpenAI GPT-OSS (MoE MXFP4, single-GPU frontier). 4) DeepSeek V3/R1 (MoE MLA, MIT). 5) Mistral/Devstral (code). 6) Google Gemma 3 (140+ langs). 7) NVIDIA Nemotron (omnimodal, 256K context).	topic:open-weight,level:beginner,type:definition,source:research-summary
OWF003	What is the one-line decision tree for choosing an open-weight model by task?	Reasoning: DeepSeek-R1-32B. Code: Devstral 24B. Multilingual: Qwen3-32B. Agentic/tool use: GPT-OSS-120B. Edge/on-device: Phi-4-mini 3.8B. Unsure: Qwen3-32B (safest default).	topic:open-weight,level:beginner,type:comparison,source:research-summary
OWF004	What breakthrough did GPT-OSS-120B demonstrate about MoE accessibility?	GPT-OSS-120B proved MoE can deliver frontier reasoning on a single GPU via MXFP4 quantization. 128 experts with only 5.1B active parameters, fitting on one H100. First OpenAI open-weight model, Apache 2.0 licensed.	topic:open-weight,level:intermediate,type:paper,source:research-summary
OWF005	What is the relationship between data volume and model size for fine-tuning?	<100 examples: use largest model + few-shot or light LoRA (r=8). 100-1K: LoRA (r=16-32) on instruct model. 1K-10K: LoRA (r=64) on base model. 10K-100K: full SFT on smaller model. 100K+: full SFT or continued pretraining. More data → smaller model benefits from full SFT. Less data → larger model with light adaptation.	topic:open-weight,level:intermediate,type:tradeoff,source:research-summary
OWF006	What are the 5 fine-tuning methods and their VRAM requirements?	Full SFT: 2-8x model size. LoRA (r=16-64): base + small adapters. QLoRA: 4-bit base + adapters (consumer GPU). ESFT: moderate (selective expert tuning for MoE). Continued Pretraining: very high (domain adaptation). LoRA preserves base capability best.	topic:open-weight,level:intermediate,type:comparison,source:research-summary
OWF007	What hardware is needed to fine-tune different model sizes?	8GB (RTX 4060): Phi-4-mini, Qwen3-4B (QLoRA only). 16-24GB (RTX 4090): Qwen3-8B, Phi-4 (QLoRA or LoRA). 80GB (A100/H100): Qwen3-32B, GPT-OSS-120B (LoRA or SFT <=32B). 4-8x H100: 70B+ models (full SFT). Multi-node: 671B (distributed SFT).	topic:open-weight,level:beginner,type:comparison,source:research-summary
OWF008	Which open-weight models are fully permissive (Apache 2.0/MIT) for commercial use?	Apache 2.0: Qwen3 (all), GPT-OSS, Devstral, Mixtral 8x22B, Falcon 3, RWKV. MIT: Phi-4/Phi-4-mini, DeepSeek V3/R1. These have NO restrictions on commercial use. Contrast: Llama 4 has 700M MAU cap, Gemma requires accepting Google terms.	topic:open-weight,level:beginner,type:comparison,source:research-summary
OWF009	What is the Llama 4 Scout's key architectural innovation?	MoE Scout architecture with 109B total parameters but only 17B active, achieving 10M token context length. Multimodal capable. Llama Community License with 700M monthly active user cap for commercial use.	topic:open-weight,topic:llama,level:intermediate,type:paper,source:research-summary
OWF010	What makes Devstral notable in the code generation space?	Devstral (24B, Apache 2.0) achieved #1 on SWE-bench open-source at 46.8% with only 24B parameters. Best open-source model for code generation tasks. Compact enough for LoRA fine-tuning on a single 80GB GPU.	topic:open-weight,level:intermediate,type:paper,source:research-summary
