ID	Front	Back	Tags
ARK001	What is Karpathy's autoresearch and what results did it achieve?	An autonomous ML experimentation paradigm where LLM agents iteratively modify training code in 5-minute cycles, committing improvements via git. Achieved 11% GPT-2 speedup and 19% quality improvement through 700+ unattended experiments overnight on a single GPU.	topic:automation,topic:research-methods,level:beginner,type:definition,source:practitioner
ARK002	Why is the 630-line constraint critical in autoresearch, not arbitrary?	At ~10-12 tokens per Python line, 630 lines = ~7K tokens, well within the agent's effective reasoning window. Beyond this threshold, agents lose track of cross-component dependencies. Agent coherence degrades as P(coherent_modification) ~ exp(-lambda * (L/L_critical)^2) with L_critical ~ 800.	topic:automation,topic:research-methods,level:advanced,type:why,source:practitioner
ARK003	What is the three-file architecture of autoresearch?	prepare.py (LOCKED - data/evaluation, immutable), train.py (agent-modifiable, single file the agent edits), program.md (research instructions/constraints written by human). The locked evaluation prevents metric gaming.	topic:automation,topic:research-methods,level:intermediate,type:definition,source:practitioner
ARK004	How does git-based experiment tracking maintain scientific rigor?	Successes commit (creating monotonically improving history), failures auto-revert. Three integrity mechanisms: (1) evaluation locks prevent scoring rewrites, (2) simplicity criteria reject marginal improvements adding complexity, (3) single-metric focus prevents multi-objective gaming.	topic:automation,topic:research-methods,level:intermediate,type:algorithm,source:practitioner
ARK005	What is the core architectural trade-off in autoresearch?	Environmental constraint strength vs agent exploration freedom. Tight constraints (630 lines, locked eval, 5-min budgets) yield reliable overnight optimization (~85% coherence). Loose constraints lead to agent confusion and metric gaming (~12.5% success rate per SWE-bench).	topic:automation,topic:research-methods,level:intermediate,type:tradeoff,source:practitioner
ARK006	How does the fixed 5-minute training budget change the optimization landscape?	It optimizes for computational efficiency per unit time, not absolute performance. A 6-layer model with optimized attention may beat a 12-layer model because it completes more training steps in the budget. Results are intentionally hardware-specific.	topic:automation,topic:research-methods,level:intermediate,type:why,source:practitioner
ARK007	How does autoresearch compare to traditional AutoML?	AutoML searches predefined hyperparameter grids using Bayesian/evolutionary methods. Autoresearch uses LLM agents that read code, understand architecture, and write arbitrary modifications - exploring the full space of possible implementations, not just parameter combinations.	topic:automation,topic:research-methods,level:intermediate,type:comparison,source:research-summary
ARK008	What is the "constraint-first design" philosophy?	Constraints enhance rather than limit agent effectiveness. Without them, agents waste cycles on unproductive exploration. With them, the bounded environment channels behavior toward genuine improvements. This inverts the traditional "smart agent, complex environment" paradigm.	topic:automation,topic:research-methods,level:intermediate,type:why,source:practitioner
ARK009	What six specific constraints does autoresearch use and what failure mode does each prevent?	Evaluation lock (metric gaming), 630-line limit (coherence loss), 5-min budget (overfitting expensive solutions), Simplicity criterion (complexity accumulation), Package restriction (irreproducible environments), Single metric/val_bpb (multi-objective gaming).	topic:automation,topic:research-methods,level:intermediate,type:definition,source:practitioner
ARK010	What is val_bpb and why is it the chosen metric?	Validation bits-per-byte - a vocabulary-independent, ungameable scoring metric for language model quality. It provides a single number (improvement = lower is better) that prevents multi-objective gaming and enables fair comparison across experiments.	topic:automation,topic:research-methods,level:intermediate,type:definition,source:practitioner
ARK011	What is Reflexion and how does it improve autoresearch over naive retry?	Instead of blindly retrying failed experiments, the agent generates verbal self-feedback explaining WHY an experiment failed, stores it in episodic memory, and conditions future hypotheses on accumulated reflections. Improves coding success by 11% over naive retry.	topic:automation,topic:research-methods,level:intermediate,type:comparison,source:research-summary
ARK012	How can multi-armed bandit theory be applied to experiment selection?	Treat each hypothesis category (architecture, optimizer, regularization) as an arm. Use Thompson sampling with Beta posteriors: success increments alpha, failure increments beta. Sample from posteriors to balance exploring new categories vs exploiting productive ones.	topic:automation,topic:research-methods,level:advanced,type:algorithm,source:research-summary
ARK013	What is the diminishing returns model for autoresearch sessions?	cumulative_improvement(t) ~ A * log(1 + t/tau) where A = total achievable improvement, tau = characteristic experiment count. For Karpathy's results: A ~ 0.11 (11%), tau ~ 100 experiments. When marginal rate drops below epsilon, session is exhausted.	topic:automation,topic:research-methods,level:advanced,type:formula,source:research-summary
ARK014	What are the four major failure modes of autonomous research agents?	1) Agent Confusion (coherence loss after 200+ experiments). 2) Reward Hacking (shortcuts improving metric without genuine improvement). 3) Cascading Bad Edits (marginally beneficial changes creating fragile dependencies). 4) Hypothesis Fixation (over-indexing on one category).	topic:automation,topic:research-methods,level:advanced,type:definition,source:research-summary
ARK015	How do you detect reward hacking in autoresearch?	Maintain a hidden test set never used in the optimization loop. Monitor val_bpb vs test_bpb divergence. If validation improves but test doesn't, the agent has found shortcuts exploiting the validation distribution rather than genuine model improvement.	topic:automation,topic:research-methods,level:advanced,type:algorithm,source:research-summary
ARK016	What is the sandbox architecture for safe agent code execution?	Container with: filesystem (train.py r/w, prepare.py r/o), network BLOCKED, packages FROZEN (no pip), GPU in isolated cgroup, hard 5-min SIGKILL timeout. Validation: SHA-256(prepare.py)==baseline, wc -l train.py <=630, no imports outside allowlist.	topic:automation,topic:research-methods,level:advanced,type:definition,source:research-summary
ARK017	What is the cost of a single overnight autoresearch session?	~$50 on cloud GPUs running 100+ experiments. This replaces weeks of manual researcher effort worth $10K-20K. Per experiment: $0.57-5.25 (LLM inference $0.50-5.00 + GPU compute $0.07-0.25 for 5 min).	topic:automation,topic:research-methods,level:intermediate,type:definition,source:research-summary
ARK018	How does the Voyager pattern apply to autoresearch?	Successful modifications become named "skills" in the agent's library, reusable across sessions. This creates institutional knowledge - the agent doesn't restart from zero each session but builds on accumulated techniques, similar to how researchers develop expertise.	topic:automation,topic:research-methods,level:intermediate,type:definition,source:research-summary
ARK019	What is the five-level trust escalation protocol for scope expansion?	Level 1: Modify optimizer parameters only. Level 2: Modify model architecture. Level 3: Modify training loop structure. Level 4: Modify data loading/augmentation. Level 5: Multi-file modification with interface contracts. Each requires N=20-50 successful experiments before promotion.	topic:automation,topic:research-methods,level:advanced,type:algorithm,source:research-summary
ARK020	When should you still prefer Bayesian optimization over autoresearch?	When the search space is well-defined and continuous (learning rate, weight decay, dropout). Bayesian optimization provides theoretical convergence guarantees that autoresearch lacks. Autoresearch excels at discrete, structural changes where the space is too combinatorial.	topic:automation,topic:research-methods,level:intermediate,type:comparison,source:research-summary
ARK021	What is "soft RSI" in the context of autoresearch?	AI agents improving separate models, not themselves. The agent (Claude/GPT-4) improves a smaller training pipeline (GPT-2) while remaining unchanged itself. Safety concern grows if the pattern extends to agents optimizing their own training procedures.	topic:automation,topic:research-methods,level:advanced,type:definition,source:research-summary
ARK022	What does the quality scorecard for a research agent session look like?	Good thresholds: Improvement rate >8% per 50 experiments, mean magnitude >0.5% bpb, novelty score >0.35, crash rate <5%, hypothesis diversity >4 active categories. Compound metric Q = improvement_rate * mean_magnitude * novelty * (1-crash_rate), healthy if Q > 0.001.	topic:automation,topic:research-methods,level:advanced,type:algorithm,source:research-summary
ARK023	How does coherence scale with context window size for code modification?	Context length does NOT linearly improve code coherence. Reasoning complexity grows superlinearly with codebase size. The optimal limit scales as approximately sqrt(effective_context): ~1000-1500 lines for 200K-context models, not the naive 16,000 lines raw token math implies.	topic:automation,topic:research-methods,level:advanced,type:formula,source:research-summary
ARK024	What are the five intervention triggers for human researchers in autoresearch?	Plateau (<1% improvement over 100 experiments), Divergence (val improving but test worsening), Complexity spike (lines increasing >10%/session), Novelty collapse (diversity <0.2), Breakthrough (single experiment >5% improvement - verify and potentially expand scope).	topic:automation,topic:research-methods,level:intermediate,type:algorithm,source:research-summary
ARK025	How do you verify that committed "improvements" are genuine and not statistical noise?	Re-run each improvement commit with 3-5 different random seeds. Genuine improvements show consistent gains across seeds. Seed-dependent "improvements" are statistical noise. This post-hoc verification catches ~15% of false positives.	topic:automation,topic:research-methods,level:intermediate,type:algorithm,source:research-summary
ARK026	What is the ReAct pattern and how does it apply to autoresearch?	ReAct (Reasoning + Acting) interleaves thought traces with actions: Think -> Act -> Observe -> Think. In autoresearch, this means: observe failure -> reason about cause -> generate improved hypothesis -> act. It connects reasoning to grounded observations.	topic:automation,topic:research-methods,level:intermediate,type:definition,source:research-summary
ARK027	What is the Expected Improvement (EI) acquisition function for experiment selection?	EI(x) = (mu(x) - f_best) * Phi(Z) + sigma(x) * phi(Z), where Z = (mu(x) - f_best) / sigma(x). Naturally balances exploration (high sigma regions) with exploitation (high mu regions) from Bayesian Optimization theory.	topic:automation,topic:research-methods,level:advanced,type:formula,source:research-summary
ARK028	How does Hyperband/successive halving apply to autoresearch?	Start many cheap experiments (1-min budget) and promote top performers to full 5-min evaluations. Gives O(log(n)/n) simple regret vs O(1/sqrt(n)) for uniform allocation. Useful when there are many candidate hypotheses to screen efficiently.	topic:automation,topic:research-methods,level:advanced,type:algorithm,source:research-summary
ARK029	What business applications beyond ML training can autoresearch address?	Any domain with measurable outcomes, modifiable components, and fast feedback: landing page optimization (HTML as target, conversion rate as metric), email marketing (open/click rates), ad creative (ROAS), pricing strategies. Pattern: replace train.py with any modifiable component.	topic:automation,level:intermediate,type:comparison,source:practitioner
ARK030	What is the key context caching optimization for reducing autoresearch costs?	Reuse agent state across experiments (the program.md + train.py context is largely unchanged between iterations). Saves 40-60% of agent inference cost, which is the dominant cost component at $0.50-5.00 per experiment.	topic:automation,topic:research-methods,level:intermediate,type:tradeoff,source:research-summary
ARK031	How should multi-agent scaling work for collaborative research?	Role-based coordination: one agent explores architectural changes, another optimizes hyperparameters, a third focuses on data preprocessing. A coordinator agent merges compatible improvements and resolves conflicts. Git branching enables parallel exploration.	topic:automation,topic:research-methods,level:advanced,type:algorithm,source:research-summary
ARK032	What is the novelty score and how is it computed for experiments?	novelty_score = 1 - min(cosine_similarity(new_diff_embedding, past_diff_embeddings)). Healthy research: 0.3-0.7. Declining novelty (<0.2) indicates the agent is repeating variations - signal to change research direction or inject new hypotheses.	topic:automation,topic:research-methods,level:advanced,type:formula,source:research-summary
ARK033	How does autoresearch handle the alignment problem in optimization?	Multi-metric guardrails (optimize primary metric but alert if secondary metrics degrade), human review before deployment, constraint specification excluding deceptive patterns. For ML: hidden test set catches overfitting to validation distribution.	topic:automation,topic:research-methods,level:advanced,type:tradeoff,source:research-summary
ARK034	What distinguishes a Principal/DE response to "the agent found a 20% improvement"?	Staff accepts at face value. Principal/DE says: "Show me val vs test divergence, re-run with 5 seeds, and check if the improvement composes with previous commits." Verification over celebration.	topic:automation,topic:research-methods,level:intermediate,type:comparison,source:research-summary
ARK035	What is the scaling trajectory for autoresearch from individual to organizational?	Individual: 3K experiments/month, $2-15K. Small team: 30K experiments, $17-152K. Organization (multi-agent): 300K experiments, $170K-1.5M. Key scaling challenges: coordination, deduplication, GPU contention, result interpretation at scale.	topic:automation,topic:research-methods,level:intermediate,type:definition,source:research-summary
ARK036	How does the human researcher's role change with autoresearch?	From experiment executor to research director. Human responsibilities shift to: research agenda design (program.md), constraint engineering, scope decisions, interpreting results at scale, and periodic verification of agent-discovered improvements.	topic:automation,topic:research-methods,level:intermediate,type:comparison,source:practitioner
ARK037	What prevents reflection hallucination in Reflexion-style self-critique?	Ground reflections in observable evidence: error logs, memory usage numbers, training curves. Reject reflections citing unobservable causes. Periodically validate by testing predictions (if reflection says "OOM at batch_size>32," verify at batch_size=33).	topic:automation,topic:research-methods,level:advanced,type:algorithm,source:research-summary
ARK038	How do you handle conflicting improvements from parallel agents?	Test both individually AND combined. If combined > either alone: merge. If combined < individual: keep larger improvement. If equal magnitude but incompatible: branch into two research trajectories, let subsequent experiments determine which is more fruitful.	topic:automation,topic:research-methods,level:advanced,type:algorithm,source:research-summary
ARK039	What is the key difference between "more context window" and "bigger codebases" for agent effectiveness?	Coherence degrades superlinearly with code size. The practical limit scales as sqrt(context), not linearly. At L=630, P(coherent)~0.89. At L=1500, P(coherent)~0.28. The quadratic exponent reflects O(N^2) dependency pairs requiring attention.	topic:automation,topic:research-methods,level:advanced,type:why,source:practitioner
ARK040	What governance framework is needed as autonomous research accelerates beyond human-review speed?	Staged deployment: auto-commit but human-review before production use. Automated safety checks gate deployment. Anomaly detection flags "too good" results for independent verification. Rate limiting prevents runaway experimentation without periodic human checkpoints.	topic:automation,topic:research-methods,level:advanced,type:tradeoff,source:research-summary
