ID	Front	Back	Tags
TF001	What is the fundamental bottleneck of the transformer attention mechanism and its complexity?	Attention scales quadratically with sequence length O(n^2), creating memory and compute bottlenecks. For 32K tokens, the attention matrix requires 2GB of memory. This quadratic scaling determines production feasibility and cost structure.	topic:transformers,topic:attention,level:beginner,type:definition,source:research-summary
TF002	Why are transformers described as memory-bound rather than compute-bound?	Modern GPUs can perform 300+ TFLOPS of computation but can only move 2TB/s of memory. Standard attention spends most time moving large matrices between slow HBM and compute units rather than actually calculating. Every major optimization (Flash Attention, KV caching, mixed precision) addresses memory bandwidth.	topic:transformers,topic:attention,level:intermediate,type:why,source:research-summary
TF003	What is the memory breakdown for training a 70B parameter model with AdamW?	140GB weights (70B x 2 bytes BF16) + 140GB gradients + 560GB optimizer state (70B x 4 bytes x 2 momentum terms in FP32) = 840GB total. The optimizer state alone is 4x the model size, dominating memory usage.	topic:transformers,level:intermediate,type:formula,source:research-summary
TF004	What is causal masking in transformer training and why is it needed?	Causal masking sets future attention scores to negative infinity before softmax, ensuring each position only attends to previous tokens. Without it, the model could "cheat" during parallel training by seeing future tokens it should predict. It preserves the autoregressive property while enabling parallel training.	topic:transformers,topic:attention,paper:attention-is-all-you-need,level:beginner,type:definition,source:research-summary
TF005	How does causal masking enable training efficiency compared to RNNs?	With causal masking, transformers extract N-1 training signals from an N-token sequence in one parallel forward pass (e.g., 99 signals from 100 tokens). RNNs can only extract one signal after processing all tokens sequentially. This massive parallelism advantage made transformer training economically feasible.	topic:transformers,level:intermediate,type:comparison,source:research-summary
TF006	What is Flash Attention and what core insight does it exploit?	Flash Attention computes attention in tiles that fit entirely in fast on-chip SRAM (20MB, 10x faster than HBM), never materializing the full N x N attention matrix in slow GPU memory. Despite doing MORE total computation (recomputing values during backward pass), it achieves 2-4x speedup by optimizing memory bandwidth.	topic:transformers,topic:attention,paper:flash-attention,level:intermediate,type:algorithm,source:research-summary
TF007	Why does Flash Attention achieve speedup despite performing more FLOPs than standard attention?	Standard attention is memory-bound with arithmetic intensity ~32 FLOPs/byte, far below the GPU ridge point of ~500 FLOPs/byte. Flash Attention transforms this into a compute-bound operation by keeping computation in fast SRAM, achieving ~80% FLOP utilization vs ~15% for standard attention, despite extra recomputation.	topic:transformers,topic:attention,paper:flash-attention,level:advanced,type:why,source:research-summary
TF008	What is the roofline analysis for standard attention showing it is memory-bound?	Arithmetic Intensity = (4N^2*d + N^2) / (4Nd + 4N^2) ~ d/4. For typical d=128, AI=32 FLOPs/byte. H100 ridge point is 500 FLOPs/byte. Since 32 << 500, standard attention is severely memory-bound.	topic:transformers,topic:attention,paper:flash-attention,level:advanced,type:formula,source:research-summary
TF009	What are the three dimensions of 3D Parallelism and their communication requirements?	Tensor Parallelism (TP): splits weight matrices within a node, requires NVLink (900GB/s), communication every layer. Pipeline Parallelism (PP): distributes sequential blocks across nodes, works over slower inter-node connections but has pipeline bubbles. Data Parallelism (DP): replicates model across groups processing different batches.	topic:transformers,level:intermediate,type:definition,source:research-summary
TF010	How is a typical 650B parameter model configured for 3D Parallelism across 512 GPUs?	TP=8 within nodes (fastest NVLink), PP=8 across nodes (moderate InfiniBand), DP=8 replicas (any topology). Per-GPU memory: 650B / (8*8) ~ 10B params ~ 51GB, fitting in 141GB H200 capacity. Communication hierarchy matches hardware topology.	topic:transformers,level:advanced,type:algorithm,source:research-summary
TF011	What is KV caching and how much memory does it require per token?	KV caching stores Key/Value matrices from previous tokens to avoid recomputation during generation. Memory per token = layers x 2 (K,V) x dims x bytes. For 32 layers, 4096 dims, FP16: 32 x 2 x 4096 x 2 = 524KB/token. At 128K context: ~67GB, approaching model size.	topic:transformers,level:intermediate,type:definition,source:research-summary
TF012	Why are advertised context lengths (128K tokens) primarily memory-limited rather than compute-limited?	At 128K context, KV cache alone requires ~67GB - approaching the size of the model weights. Most practical context limits are set by memory availability for the KV cache, not computational capacity. Memory grows linearly with context length and must persist across generation steps.	topic:transformers,level:intermediate,type:tradeoff,source:research-summary
TF013	What is Grouped-Query Attention (GQA) and how much memory does it save?	GQA shares Key/Value matrices across multiple attention heads instead of having independent KV per head. This provides up to 8x memory reduction for KV cache. Combined with INT8 quantization (2-4x), total KV cache reduction can reach 16-32x.	topic:transformers,topic:attention,level:intermediate,type:algorithm,source:research-summary
