ID	Front	Back	Tags
ER001	What six limitations of LLMs does RAG address?	(1) Static knowledge cutoffs. (2) Imperfect memorization of long-tail facts. (3) Hallucination under uncertainty. (4) No source attribution. (5) Expensive knowledge updates (fine-tuning is costly). (6) No per-user access control on model weights.	topic:rag,level:beginner,type:definition,source:research-summary
ER002	What is the "killer framing" for RAG architecture?	RAG separates reasoning capability (LLM) from the knowledge source (corpus) -- letting you update knowledge without retraining, enforce accountability through citations, and control access at retrieval time rather than at training time.	topic:rag,level:beginner,type:definition,source:research-summary
ER003	What is hybrid retrieval (BM25 + dense + RRF)?	Combining lexical precision (BM25 for exact terms, acronyms, IDs) with semantic recall (dense embeddings for paraphrases, synonyms), fused via Reciprocal Rank Fusion. Addresses the fundamental weakness of each system alone.	topic:rag,level:intermediate,type:definition,source:research-summary
ER004	What is Reciprocal Rank Fusion (RRF) and why use it over learned fusion?	RRF_score(d) = sum over rankers of 1/(k + rank_r(d)), where k=60. Uses only rank ordinals, not scores. Advantages over learned fusion: no labeled data needed, no score calibration required, invariant to retriever updates, empirically robust across query types.	topic:rag,level:intermediate,type:formula,source:research-summary
ER005	What is Contextual Retrieval (Anthropic, 2024)?	Prepending a document-level context sentence to each chunk ("This chunk is from [Title], Section [X], discussing [topic]") so each chunk becomes self-contained. Reduced retrieval failures by 49%. Combined with BM25, reduced failures by 67%. Cost: ~50-100 extra tokens per chunk.	topic:rag,level:intermediate,type:paper,source:research-summary
ER006	What is Self-RAG and what problem does it solve?	Self-RAG trains the model to emit special tokens: [Retrieve] (should I retrieve?), [IsREL] (is passage relevant?), [IsSUP] (does it support my response?), [IsUSE] (is response useful?). Reduces unnecessary retrieval by ~20% and hallucination by 10-15% through adaptive retrieval decisions.	topic:rag,level:intermediate,type:paper,source:research-summary
ER007	What is GraphRAG and when should you use it?	Microsoft's approach constructing entity-relationship graphs from corpora with community detection + LLM summaries. Use for global/theme queries ("what are the main themes?") where vector search fails. Outperforms vector RAG by 70%+ on such queries. Not for factual point queries.	topic:rag,topic:knowledge-graph,level:intermediate,type:paper,source:research-summary
ER008	How do you diagnose whether a bad RAG answer is a retrieval or generation failure?	Check if ground-truth doc is in top-20 (if no: retrieval failure). In top-5? (if no: ranking failure). In context but answer still wrong? (generation failure). Feed only the correct chunk -- if it still fails, it is a generation problem. If it succeeds with one but fails with five, context noise.	topic:rag,level:intermediate,type:algorithm,source:research-summary
ER009	What is the "lost in the middle" problem in RAG?	LLMs suffer attention degradation on information placed in the middle of the context window. Documents at the beginning and end get more attention. Mitigation: place best/most-relevant chunks at context boundaries (beginning and end), not in the middle.	topic:rag,level:intermediate,type:definition,source:research-summary
ER010	What are the RAGAS framework's four core metrics?	(1) Faithfulness: fraction of claims supported by context (target >0.95). (2) Answer Relevance: does answer address the question? (3) Context Precision: are retrieved contexts ranked by relevance? (4) Context Recall: does context contain all info needed to answer?	topic:rag,level:intermediate,type:definition,source:research-summary
