ID	Front	Back	Tags
RSI001	What is recursive self-improvement (RSI) in AI?	AI systems that iteratively enhance their own capabilities through self-play, self-training, or self-evaluation loops. The model generates training data for itself, iteratively improving -- unlike standard fine-tuning which uses static human-generated datasets.	topic:self-improvement,level:beginner,type:definition,source:research-summary
RSI002	What is the core architectural decision in RSI system design?	Whether to use verified self-improvement (filtering through external verifier with ground truth) vs self-judged improvement (model evaluates its own outputs). Choose verified for math/code; choose self-judged for open-ended tasks without an oracle.	topic:self-improvement,level:intermediate,type:tradeoff,source:research-summary
RSI003	What is STaR (Self-Taught Reasoner) and how does it work?	STaR bootstraps rationale generation by: 1) Generating rationales for questions. 2) Keeping those leading to correct answers. 3) For wrong answers, rationalizing given the answer as a hint. 4) Fine-tuning on collected rationales. 5) Repeating with improved model.	topic:self-improvement,paper:star,level:intermediate,type:algorithm,source:research-summary
RSI004	Why is the "rationalization" step crucial in STaR?	Without rationalization, the model only trains on problems it already solves ("rich get richer"). Rationalization provides signal on hard problems by leveraging the easier task of explaining a known answer vs deriving it. This bootstraps reasoning for unsolved problems.	topic:self-improvement,paper:star,level:intermediate,type:why,source:research-summary
RSI005	What is model collapse and why does it threaten recursive self-training?	Training on self-generated data causes progressive distributional narrowing. Each generation compounds estimation errors geometrically. After k generations, effective support shrinks as O(1/k), with minority modes vanishing first. Proved by Shumailov et al. 2024 in Nature.	topic:self-improvement,level:intermediate,type:definition,source:research-summary
RSI006	What is the timeline of model collapse?	Iteration 0: Full support. Iteration 1-2: Slight narrowing, tails thin. Iteration 3-5: Mode sharpening, rare cases lost. Iteration 6+: Collapse to few templates. Quality APPEARS to improve on common cases while catastrophic capability loss occurs.	topic:self-improvement,level:intermediate,type:algorithm,source:research-summary
RSI007	How does AlphaGo Zero achieve superhuman play through self-play?	Plays against itself using game outcome (win/loss) as only signal. Neural network f(s) = (p, v) outputs move probabilities and position value. MCTS guides play; outcomes train the network. MCTS acts as policy improvement operator -- even weak networks improve through search.	topic:self-improvement,paper:alphago-zero,level:intermediate,type:algorithm,source:research-summary
RSI008	What is the key recursive mechanism in AlphaGo Zero?	MCTS amplifies the current policy, producing better moves than the raw network. Training on MCTS-improved targets ratchets up the baseline, which improves the next round of MCTS. This creates a virtuous cycle of policy improvement.	topic:self-improvement,paper:alphago-zero,level:advanced,type:why,source:research-summary
RSI009	Can RSI exceed the verifier's capability?	Yes -- the verifier only needs to check correctness, not produce solutions. Checking a proof is easier than generating one. AlphaGo Zero's verifier was simply "did you win?" -- far simpler than the strategy it learned. STaR's verifier checks answers without generating reasoning.	topic:self-improvement,level:advanced,type:why,source:research-summary
RSI010	What are Self-Rewarding Language Models?	Models that: 1) Generate multiple candidate responses. 2) Judge their own outputs using LLM-as-Judge prompts. 3) Form preference pairs from high vs low scores. 4) Train via iterative DPO. After 3 iterations, Llama 2 70B surpassed human-preference-trained models on AlpacaEval.	topic:self-improvement,paper:self-rewarding-lms,level:intermediate,type:algorithm,source:research-summary
RSI011	Why do Self-Rewarding LMs work despite self-evaluation limitations?	They evaluate quality (subjective) rather than correctness (objective). The competitive ranking between candidates provides relative signal even with imperfect absolute judgments. Both generation and judging ability improve simultaneously.	topic:self-improvement,paper:self-rewarding-lms,level:advanced,type:why,source:research-summary
RSI012	What did Huang et al. 2023 prove about LLM self-correction?	LLMs cannot reliably self-correct reasoning without external verification. Models change correct answers to incorrect ones at nearly the same rate as they fix errors. Self-correction fails when ground truth is unavailable.	topic:self-improvement,level:intermediate,type:paper,source:research-summary
RSI013	What is SPIN (Self-Play Fine-Tuning)?	Frames alignment as a two-player game: current model tries to generate outputs indistinguishable from human data, while previous iteration discriminates. Convergence: when model matches human distribution. Requires NO reward model -- only SFT data serves as target.	topic:self-improvement,paper:spin,level:intermediate,type:algorithm,source:research-summary
RSI014	What is the formal SPIN objective?	L_SPIN = E[log sigma(beta(log pi_t(y_human|x) - log pi_t(y_{t-1}|x)))]. Structurally identical to DPO with y_human as "chosen" and y_{t-1} (previous model's output) as "rejected." Converges when pi_t = human distribution.	topic:self-improvement,paper:spin,level:advanced,type:formula,source:research-summary
RSI015	What is SPIN's natural stopping criterion?	When the loss stops decreasing, the model has converged to the human data distribution and no further improvement is possible. Unlike other RSI methods, SPIN has a provable fixed point.	topic:self-improvement,paper:spin,level:intermediate,type:definition,source:research-summary
RSI016	What is the limitation of SPIN?	SPIN converges to the human data distribution regardless of quality -- it has no mechanism to EXCEED its target. If human data contains errors, SPIN reproduces them. It is complementary to methods like STaR that can surpass training data via verification.	topic:self-improvement,paper:spin,level:intermediate,type:tradeoff,source:research-summary
RSI017	What is ReST (Reinforced Self-Training) and how does it differ from STaR?	ReST uses a two-phase "Grow then Improve" approach: Grow phase samples N=64-256 responses per problem (best-of-N). Improve phase fine-tunes on filtered examples with reward-weighted regression. Fewer iterations (2-3) but more compute per iteration.	topic:self-improvement,paper:rest,level:intermediate,type:comparison,source:research-summary
RSI018	Why does ReST work with fewer iterations than STaR?	ReST's Grow phase samples 256 responses, capturing rare successful strategies that STaR's single-attempt approach misses. Each iteration provides a richer training set, so fewer iterations reach the same performance ceiling.	topic:self-improvement,paper:rest,level:intermediate,type:why,source:research-summary
RSI019	What is GRPO (Group Relative Policy Optimization)?	Self-play-style group sampling (G=64) with verifiable rewards, eliminating value networks. Computes advantages relative to the group rather than using binary correct/incorrect. DeepSeekMath achieved 51.7% on MATH, surpassing GPT-4.	topic:self-improvement,paper:deepseekmath,level:intermediate,type:algorithm,source:research-summary
RSI020	What is the verification spectrum for RSI systems (from best to worst)?	Ground truth (perfect, free -- math/code). Process reward model (high, ~$10K training). Outcome reward model (medium, ~$5K). Self-as-judge (low-medium, inference cost only). No verification (dangerous, never recommended).	topic:self-improvement,level:intermediate,type:comparison,source:research-summary
RSI021	Why do process reward models outperform outcome reward models?	Lightman et al. showed PRMs (checking each reasoning step) reduce error rates by 50% vs ORMs (checking only final answer) on MATH. Step-level verification catches errors early before they propagate through the reasoning chain.	topic:self-improvement,paper:lets-verify-step-by-step,level:intermediate,type:paper,source:research-summary
RSI022	What is the only domain where RSI has demonstrated unbounded improvement potential?	Automated theorem proving (formal mathematics) -- because verification is perfect (proofs either check or don't). Polu and Sutskever showed GPT-f could find novel proofs by iterating with a formal verifier.	topic:self-improvement,paper:gpt-f,level:advanced,type:paper,source:research-summary
RSI023	What is Weak-to-Strong Generalization and its implication for RSI?	Burns et al. showed that strong models fine-tuned with weak model labels recover 20-70% of the strong model's potential. Implication: self-generated labels from weaker previous versions can still teach a model to exceed its supervisor's capability.	topic:self-improvement,paper:weak-to-strong,level:intermediate,type:paper,source:research-summary
RSI024	When does Weak-to-Strong Generalization fail?	When the strong model cannot distinguish correct from incorrect weak labels (task requires genuinely absent knowledge). Also fails on distribution shift: weak labels from easy examples don't transfer to hard examples requiring extrapolation.	topic:self-improvement,paper:weak-to-strong,level:advanced,type:tradeoff,source:research-summary
RSI025	How does Constitutional AI enable RSI without human feedback?	Replaces human feedback with explicit principles. Pipeline: Generate -> Critique against constitution -> Revise -> Use original as "rejected" and revision as "chosen" for preference training. The constitution acts as the verifier.	topic:self-improvement,topic:constitutional-ai,paper:constitutional-ai,level:intermediate,type:algorithm,source:research-summary
RSI026	What is the "killer framing" for recursive self-improvement's current state?	RSI already works in production for domains with verifiable rewards. The open frontier is making it safe and stable for domains without ground truth.	topic:self-improvement,level:beginner,type:definition,source:research-summary
RSI027	What cost does a single STaR iteration on a 7B model require?	~$200 in compute per iteration. 5 iterations reach diminishing returns at ~$1K total, delivering 10-30% accuracy gains on reasoning benchmarks.	topic:self-improvement,paper:star,level:intermediate,type:formula,source:practitioner
RSI028	What are the four stopping criteria for RSI loops (in hierarchy)?	1) Hard stop: Safety regression on alignment suite -- immediately halt. 2) Collapse stop: Diversity metric drops below threshold. 3) Diminishing returns: Improvement < epsilon for 2 consecutive iterations. 4) Compute budget: Total cost exceeds envelope.	topic:self-improvement,topic:safety,level:intermediate,type:algorithm,source:practitioner
RSI029	How many iterations capture 90%+ of achievable gains in math reasoning RSI?	4-5 iterations, with each successive iteration providing roughly half the improvement of the previous one (geometric decay with r = 0.4-0.6). Beyond this, marginal cost exceeds marginal improvement.	topic:self-improvement,level:intermediate,type:formula,source:research-summary
RSI030	What is the formula for geometric improvement decay in RSI?	Delta_k = Delta_1 * r^(k-1), where r is typically 0.4-0.6. Total improvement after K iterations: Delta_1 * (1 - r^K) / (1 - r). Optimal stopping: when Delta_1 * r^(k*-1) / C < threshold.	topic:self-improvement,level:advanced,type:formula,source:research-summary
RSI031	What are the four main mitigations for model collapse?	1) Data mixing: keep 20-40% original human data each iteration (provably prevents full collapse). 2) Temperature annealing: generate at T=1.0-1.2. 3) Diversity-weighted sampling from low-density regions. 4) Multi-model cross-pollination.	topic:self-improvement,level:intermediate,type:algorithm,source:research-summary
RSI032	What is the "critical iteration" phenomenon in model collapse?	Collapse is not gradual -- there is a phase transition. Before critical iteration, diversity degrades slowly. After it, collapse accelerates catastrophically. Often occurs at iteration 4-5: accuracy still improves while diversity collapses underneath.	topic:self-improvement,level:advanced,type:definition,source:research-summary
RSI033	What diversity metrics should you monitor to detect model collapse early?	Distinct-4gram ratio (healthy >0.75, collapse <0.60). Output entropy (healthy >4.0 bits, collapse <3.0). Embedding coverage (healthy >80% clusters, collapse <50%). Tail probability mass (healthy >10%, collapse <3%).	topic:self-improvement,level:intermediate,type:formula,source:practitioner
RSI034	What is the circularity problem in self-evaluation for RSI?	When M_k judges its own outputs, Score_self = E[M_k.judge(M_k.generate(x))]. Judge and generator share biases, so the model can increase scores without genuine improvement -- a form of internal reward hacking.	topic:self-improvement,level:advanced,type:definition,source:research-summary
RSI035	How do you break circular evaluation in RSI?	1) Held-out ground truth (gold standard). 2) External model judges (different family). 3) Human evaluation (expensive but unbiased). 4) Diverse judge ensemble (3+). 5) Behavioral probes (test specific capabilities with designed cases).	topic:self-improvement,topic:evaluation,level:intermediate,type:algorithm,source:research-summary
RSI036	What are the unique safety challenges of RSI compared to standard training?	1) Goal drift across iterations. 2) Deceptive alignment (appear aligned during eval, different in deployment). 3) Non-linear capability jumps outpacing monitoring. 4) Recursive reward hacking (increasingly sophisticated self-scoring).	topic:self-improvement,topic:safety,level:advanced,type:comparison,source:research-summary
