ID	Front	Back	Tags
MAS-001	What is memory in agentic systems?	Persistent state across sessions that transforms stateless LLMs into cognitive agents that learn, adapt, and maintain coherent long-term behavior. Core decision: flat retrieval (simple, scalable, limited reasoning) vs hierarchical tiers (complex, expensive, true cognitive persistence).	topic:memory,level:beginner,type:definition,source:research-summary
MAS-002	What are the four memory types in agentic systems (cognitive science mapping)?	Working memory (active context, LLM window). Episodic memory (timestamped experiences). Semantic memory (compressed facts/knowledge). Procedural memory (learned skills/tool-use patterns). Mirrors human cognitive architecture per CoALA framework.	topic:memory,level:beginner,type:definition,source:research-summary
MAS-003	How does MemGPT solve the context window limitation?	Treats LLM context as "main memory" and external storage as "disk" -- OS-inspired virtual memory with explicit page-in/page-out. Key innovation: the LLM has agency over its own memory management via function calls (core_memory_append, archival_memory_search, etc.).	topic:memory,paper:memgpt,level:intermediate,type:paper,source:research-summary
MAS-004	What is Generative Agents' retrieval formula?	score = alpha_recency * recency + alpha_importance * importance + alpha_relevance * relevance. Recency decays exponentially with hours elapsed, importance is LLM-rated 1-10 at creation, relevance uses embedding cosine similarity to current query.	topic:memory,level:intermediate,type:formula,source:research-summary
MAS-005	How does the reflection mechanism work in Generative Agents?	Triggers when sum of importance scores of recent memories exceeds threshold. Agent asks: "What are the 3 most salient high-level insights from these observations?" Produces new memory entries at higher abstraction level, creating natural hierarchy.	topic:memory,topic:reflection,level:intermediate,type:algorithm,source:research-summary
MAS-006	How does Reflexion use memory to learn from failure?	After failed task attempt, agent generates natural-language critique explaining what went wrong. On next attempt, reflection is retrieved and included in prompt. Over iterations, accumulates library of failure-derived heuristics. Achieved 91% pass@1 on HumanEval (vs 80% without).	topic:memory,topic:reflection,paper:reflexion,level:intermediate,type:paper,source:research-summary
MAS-007	Why is episodic memory of failures often more valuable than memory of successes?	Failures constrain the search space -- they tell the agent what NOT to try. Reflexion stores "don't do this" critiques; Voyager stores "do this" procedures. Together they define both positive and negative boundaries for action selection.	topic:memory,topic:reflection,level:intermediate,type:why,source:research-summary
MAS-008	What are the five core challenges for production memory systems?	1) Memory staleness (facts change). 2) Contradictions (conflicting memories). 3) Governance (what to remember/forget). 4) Cost scaling (storage + retrieval per user). 5) Privacy (PII handling, right-to-delete per GDPR/CCPA).	topic:memory,level:intermediate,type:definition,source:practitioner
MAS-009	How does MemoryBank apply Ebbinghaus forgetting curves?	Memories decay unless reinforced by retrieval or reconfirmation. Each retrieval resets the decay clock, implementing spaced repetition where useful memories strengthen automatically. Unretrieved memories lose accessibility over time.	topic:memory,level:intermediate,type:algorithm,source:research-summary
MAS-010	What is the memory architecture decision tree?	Single-session? -> Context window only. Needs failure learning? -> Reflexion-style episodic. Needs multi-hop? -> Knowledge graph + episodic hybrid. Context overflow? -> MemGPT virtual memory. Otherwise -> Standard RAG with HNSW.	topic:memory,level:intermediate,type:algorithm,source:research-summary
MAS-011	How do knowledge graphs enhance agent memory beyond vector similarity?	Enable multi-hop reasoning ("what happened after X?"), temporal queries ("what changed between T1 and T2?"), and explainable retrieval via typed entity-relationship triples. Vector stores only handle "find similar to X" -- not relationships.	topic:memory,level:intermediate,type:comparison,source:research-summary
MAS-012	What is the hybrid vector+graph retrieval approach?	Vector retrieval for initial candidate selection (fast, fuzzy) followed by graph traversal for relationship reasoning (precise, expensive). Gives best of both: sub-100ms first pass, then structured multi-hop on narrowed candidates.	topic:memory,level:advanced,type:algorithm,source:practitioner
MAS-013	What is the compression fidelity formula for hierarchical memory?	If each compression level introduces error rate epsilon, then after n levels cumulative fidelity is approximately (1-epsilon)^n. With epsilon=0.05, n=4 levels: ~81% fidelity. After 30 compression cycles: unacceptable drift.	topic:memory,level:advanced,type:formula,source:research-summary
MAS-014	What are the mitigation strategies for memory drift from compression?	1) Maintain pointers from summaries to source memories for re-grounding. 2) Periodic validation (check compressed against sources). 3) Importance-weighted compression (preserve high-importance verbatim). 4) Maximum compression depth limits per memory type.	topic:memory,level:advanced,type:algorithm,source:research-summary
MAS-015	What is the difference between exponential and power-law memory decay?	Exponential: R(t) = e^{-t/S} -- aggressively forgets, memories vanish after ~5S. Power-law: R(t) = a*t^{-b} -- long tail, old memories remain weakly accessible indefinitely. Use exponential for ephemeral context; power-law for core facts.	topic:memory,level:advanced,type:comparison,source:research-summary
MAS-016	What is the stability condition for a memory system?	E[|M_active|] = lambda_write / lambda_forget < capacity. When write rate exceeds forget rate, the system requires explicit eviction policies beyond natural decay to prevent unbounded growth.	topic:memory,level:advanced,type:formula,source:research-summary
MAS-017	What are the three HNSW sharding strategies for multi-tenant agent memory?	1) Per-user shards: perfect isolation, GDPR-friendly, cold-start problem. 2) Temporal shards: natural eviction (drop old), write-optimized, cross-time queries expensive. 3) Semantic shards: locality for queries, balanced load, re-sharding needed as topics evolve.	topic:memory,level:advanced,type:comparison,source:research-summary
MAS-018	What is the real-time HNSW indexing challenge?	Adding a vector requires updating O(M * log N) connections. At >1K writes/second, options: batch inserts with periodic rebuild, tiered index (small real-time merged into batch), or LSM-tree-inspired approach with write-ahead log + compaction.	topic:memory,level:advanced,type:tradeoff,source:research-summary
MAS-019	What is the multi-signal importance scoring formula?	score = w1*novelty (distance to existing) + w2*salience (LLM-rated) + w3*relevance (to user interests) + w4*consequentiality (impacts downstream decisions). Hybrid approach: novelty check (10ms) + LLM only for ambiguous cases averages 20-100ms.	topic:memory,level:advanced,type:formula,source:research-summary
MAS-020	What is the failure mode of no importance scoring?	Memory fills with trivial observations, retrieval becomes noisy, critical memories get buried. Conversely, over-aggressive scoring stores only "dramatic" events, missing gradual preference signals that matter most for personalization.	topic:memory,level:intermediate,type:tradeoff,source:research-summary
MAS-021	How does retrospective re-scoring address delayed-value memories?	When a memory proves useful (retrieved and used in successful task), boost its importance score retroactively. Track "surprise utility" -- low-scored memories that proved valuable indicate blind spots in the scoring model.	topic:memory,level:advanced,type:algorithm,source:research-summary
MAS-022	What is the contradiction resolution hierarchy for agent memory?	1) Temporal precedence: more recent wins for time-varying facts. 2) Source authority: direct user statement > agent inference > third-party data. 3) Confidence weighted: higher evidence count wins. 4) Escalation: similar confidence -> ask user. Always log resolution + preserve superseded memory.	topic:memory,level:intermediate,type:algorithm,source:research-summary
MAS-023	What is the LOCOMO benchmark and what does it test?	Maharana et al. (2024): First rigorous evaluation of very long-term conversational memory across 300+ turns. Tests: factual recall, temporal reasoning, multi-hop connections, and consistency maintenance. SOTA: MemGPT 78% single-hop; 62% multi-hop.	topic:memory,level:intermediate,type:definition,source:research-summary
MAS-024	What are the five key metrics for agent memory retrieval quality?	Recall@5 (>0.80 healthy), Temporal accuracy (>0.90), Contradiction rate (<0.02), Memory utilization (>0.30 -- fraction ever retrieved), Staleness rate (<0.20 -- fraction >30d without validation).	topic:memory,level:intermediate,type:algorithm,source:practitioner
