ID	Front	Back	Tags
SR001	Why does hybrid retrieval (BM25 + dense) dominate production systems?	BM25 and dense retrieval have complementary failure modes: BM25 excels at exact matches and rare terms, dense excels at semantic matching. Combining via RRF covers both without score normalization. Neither alone handles all query types.	topic:retrieval,topic:bm25,topic:dense-retrieval,level:beginner,type:why,source:research-summary
SR002	What is the BM25 scoring formula and what are its components?	BM25(q,d) = sum over terms t in q of: IDF(t) * (tf(t,d)*(k1+1)) / (tf(t,d) + k1*(1-b+b*|d|/avgdl)). Components: (1) IDF = log((N-df+0.5)/(df+0.5)) for term discrimination, (2) saturating TF (k1=1.2), (3) length normalization (b=0.75).	topic:bm25,topic:retrieval,level:intermediate,type:formula,source:research-summary
SR003	Where does BM25 break?	(a) Independence assumption -- "New York" = "New" + "York". (b) No synonymy -- "ML" and "machine learning" have zero similarity. (c) No semantics -- polysemous words indistinguishable. (d) Short queries dominated by IDF, a corpus-global property.	topic:bm25,topic:retrieval,level:intermediate,type:tradeoff,source:research-summary
SR004	What is SPLADE and how does it improve on BM25?	SPLADE predicts importance weights over the full vocabulary at each token position, then max-pools. "Running shoes" activates "jogging: 0.4, sneakers: 0.2, footwear: 0.5." This stores in a standard inverted index but captures semantic expansion that BM25 cannot. Quality reaches ~95% of dense retrieval with lexical serving speed.	topic:retrieval,paper:splade,level:intermediate,type:paper,source:research-summary
SR005	How does SPLADE's term weighting mechanism work mathematically?	For token position i: h_i = BERT(d)[i] (contextualized embedding), w_i = log(1+ReLU(W_proj * h_i)) (project to |V|-dim with log-saturation). SPLADE(d)_j = max_i(w_i[j]) (max-pool over positions for each vocab term j). The log(1+ReLU(x)) ensures non-negativity, saturation, and sparsity.	topic:retrieval,paper:splade,level:advanced,type:formula,source:research-summary
SR006	How does SPLADE control sparsity?	L_total = L_ranking + lambda_q * ||SPLADE(q)||_1 + lambda_d * ||SPLADE(d)||_1. lambda_d controls document sparsity (index size): higher = fewer activated terms = smaller posting lists = faster retrieval. Typical: 100-300 non-zero terms per document out of 30K vocabulary.	topic:retrieval,paper:splade,level:advanced,type:formula,source:research-summary
SR007	What is the difference between a bi-encoder and a cross-encoder?	Bi-encoder: encodes query and document independently, score = dot(q_emb, d_emb). Pre-computable, fast ANN search over millions, but no token-level alignment. Cross-encoder: score = Model([q; SEP; d]). Full cross-attention captures fine-grained intent differences, but requires O(1) forward pass per candidate -- 100 candidates takes ~80ms.	topic:retrieval,topic:reranking,level:intermediate,type:comparison,source:research-summary
SR008	Where does ColBERT fit between bi-encoders and cross-encoders?	ColBERT computes per-token embeddings independently, then scores via MaxSim (for each query token, find max-similarity document token, sum). Document embeddings are pre-computable (like bi-encoder). ColBERTv2 achieves within 2-3% of cross-encoder quality with 100x faster inference.	topic:retrieval,paper:colbert,level:intermediate,type:comparison,source:research-summary
SR009	What is ColBERTv2's key contribution?	ColBERTv2 (2022) uses residual compression to reduce storage 6-10x while maintaining late-interaction quality. This addresses ColBERT's main weakness (100x more storage than bi-encoder) while preserving its speed advantage over cross-encoders.	topic:retrieval,paper:colbert,level:intermediate,type:paper,source:research-summary
SR010	What is RRF (Reciprocal Rank Fusion) and why is it the default fusion method?	RRF_score(d) = sum over systems of 1/(k + rank(d)), k=60 standard. It's rank-based (no score normalization needed), favors consensus (items in both lists rank highest), and requires zero training data. BM25 scores range 0-20, cosine -1 to 1, but RRF only uses ranks.	topic:retrieval,level:intermediate,type:algorithm,source:research-summary
