ID	Front	Back	Tags
APR001	What is the core architectural decision in AI-assisted paper research?	Human-in-the-loop triage (higher quality, slower) vs fully autonomous pipeline (faster, quality ceiling lower). Choose human-in-the-loop for strategic decisions and novel domains; fully autonomous for monitoring known fields and weekly digests.	topic:research-methods,topic:automation,level:intermediate,type:tradeoff,source:research-summary
APR002	What are the five stages of a production-grade AI research pipeline?	Discover (Elicit/Semantic Scholar/ArXiv) -> Triage (score papers) -> Extract (structured JSON) -> Critique (find weaknesses) -> Synthesize (cross-paper themes and contradictions). Human gates placed after triage and after synthesis.	topic:research-methods,topic:automation,level:intermediate,type:algorithm,source:research-summary
APR003	What four dimensions are used to score papers during triage?	Novelty (1-5), Technical Depth (1-5), Relevance (1-5), Reproducibility (1-5). Threshold: total >= 12/20 to proceed to deep reading. 20% false-negative rate is acceptable since citation graphs catch missed papers.	topic:research-methods,level:intermediate,type:algorithm,source:research-summary
APR004	What is the key difference between NotebookLM's cross-document reasoning and RAG?	NotebookLM reasons over full text of uploaded documents in a single context window, enabling cross-document comparison ("what do A and B disagree on?"). RAG retrieves chunks independently and loses cross-document coherence needed for contradiction detection.	topic:research-methods,topic:automation,level:intermediate,type:comparison,source:research-summary
APR005	What is the recommended structured extraction schema for research papers?	A 12-field JSON record: title, authors, problem, method, dataset, metrics, results, limitations, applicability, reproducibility_score, claims[] (text + evidence + confidence), and relationships[] (paper + type: extends/contradicts/uses).	topic:research-methods,topic:automation,level:intermediate,type:definition,source:research-summary
APR006	How should you detect and prevent citation hallucination in agentic pipelines?	Never trust LLM-generated references. Verify every citation against Semantic Scholar API (/paper/search endpoint) before storage. Check title similarity >0.9 against results. Flag any reference that returns no match. S2 free tier: 100 requests per 5 minutes.	topic:research-methods,topic:automation,level:intermediate,type:algorithm,source:research-summary
APR007	What is the cost model for a weekly agentic literature review (20 papers discovered, 5 deep-read)?	Total approximately $7.25/week: Discovery $0 (Elicit free), Triage $0.20 (Haiku, 20 papers), Deep extraction $2.50 (Sonnet, 5 papers), Critique $1.50, Embedding $0.05, Synthesis $3.00 (Sonnet 200K context).	topic:research-methods,topic:automation,level:intermediate,type:definition,source:research-summary
APR008	What is the primary cost optimization strategy for AI research pipelines?	Model routing: use Haiku for triage (80% of volume at $0.01/paper) and Sonnet only for papers that pass threshold (deep extraction at $0.50/paper). This achieves 40-50% cost reduction without quality loss on the high-value stages.	topic:research-methods,topic:automation,level:intermediate,type:tradeoff,source:research-summary
APR009	Why should you embed structured extractions rather than full paper text?	Full-text embeddings dilute signal with boilerplate (related work, acknowledgments). Structured embeddings (problem + method + results) are denser and more query-relevant. Typical retrieval precision@10: structured ~0.72 vs full-text ~0.45.	topic:research-methods,topic:automation,level:advanced,type:comparison,source:research-summary
APR010	What are the three levels of hierarchical embedding for research papers?	Level 0: Paper-level (title + abstract) for broad discovery. Level 1: Section-level (each major section) for methodology search. Level 2: Claim-level (each extracted claim) for fact verification. Storage cost increases 15x but enables queries at different specificity.	topic:research-methods,topic:automation,level:advanced,type:definition,source:research-summary
APR011	How does the Bayesian triage calibration loop work?	Track human reading decisions (override = reads a rejected paper, or skips an accepted one). Update dimension weights: false negatives increase weight of highest-scoring dimension; false positives decrease it. Normalize weights to sum=1. Converges after ~50 examples.	topic:research-methods,topic:automation,level:advanced,type:algorithm,source:research-summary
APR012	What is the "cold start" strategy for building a research knowledge base?	1) Find 1-2 recent survey papers. 2) Extract reference list as seed corpus. 3) Use Semantic Scholar API for citation graph. 4) Deep-read top 10 most-cited. 5) Use Connected Papers for visual exploration. 6) Expand from clusters, not keyword search.	topic:research-methods,level:intermediate,type:algorithm,source:research-summary
APR013	How do Claude, ChatGPT, and Gemini compare for paper analysis tasks?	Claude: best for methodological critique and adversarial reasoning. ChatGPT: best for structured extraction (JSON mode with schema compliance). Gemini 2.5 Pro: best for very long papers (80+ pages) with 1M+ native context. For triage/summary: use cheapest.	topic:research-methods,topic:automation,level:intermediate,type:comparison,source:research-summary
APR014	What is the hardest-to-detect failure mode in automated literature reviews?	Plausible but wrong synthesis - when the review connects findings in a way that sounds correct but misrepresents causal relationships. Example: "A shows X improves Y; B shows Y improves Z; therefore X improves Z" - transitivity doesn't necessarily hold but reads convincingly.	topic:research-methods,level:advanced,type:tradeoff,source:research-summary
APR015	What is the cross-paper contradiction detection approach?	Extract claims as structured triples (subject, predicate, object, condition, magnitude, dataset). Compare pairwise: same subject+object but different predicate with condition similarity >0.8 flags potential contradiction. LLM-as-judge evaluates if real, reducing false positives by ~70%.	topic:research-methods,topic:automation,level:advanced,type:algorithm,source:research-summary
APR016	What percentage of a research workflow can realistically be automated?	~80% of volume (discovery, triage, extraction, storage) but only ~20% of value (insights come from synthesis and critique requiring human judgment). The automation handles "reading 30 papers to find 5 worth your time."	topic:research-methods,topic:automation,level:intermediate,type:tradeoff,source:research-summary
APR017	What are the four requirements for converting a manual research workflow into an executable agentic SOP?	1) Every input is machine-readable (PDF to text, query to API call). 2) Every decision has a numeric threshold (not "use judgment"). 3) Every output is structured (JSON, not prose). 4) Every escalation point is defined (when to involve human).	topic:research-methods,topic:automation,level:intermediate,type:algorithm,source:research-summary
APR018	What is Semantic Scholar's role in agentic research pipelines?	Open academic graph with 200M+ papers. Powers both discovery (recommendation feeds, citation graph traversal) and verification (citation existence checks). Key endpoints: /paper/search, /paper/{id}/references, /paper/{id}/citations, /recommendations. Free API: 100 req/5min.	topic:research-methods,topic:automation,level:intermediate,type:definition,source:research-summary
APR019	When does a vector database add value vs a JSON file with grep for research papers?	At 50 papers, a JSON file with grep is faster to build, easier to debug, and sufficient. Vector DB adds value at 200+ papers when keyword search stops working for semantic queries.	topic:research-methods,topic:automation,level:beginner,type:tradeoff,source:research-summary
APR020	What three architectural patterns can orchestrate research agent pipelines?	State Machine (LangGraph): easy to reason about, sequential, best for single-paper deep analysis. DAG (Airflow/Prefect): parallel processing, fixed topology, best for batch 20+ papers. Event-Driven (Temporal): dynamic workflows, long-running, best for continuous monitoring.	topic:research-methods,topic:automation,level:advanced,type:comparison,source:research-summary
APR021	What is the recommended hybrid architecture for research pipeline orchestration?	DAG (outer loop): weekly batch of 20 papers, parallel triage. State Machine (inner loop): per-paper analysis with decisions. Event-Driven (trigger): new paper alert injected into next batch.	topic:research-methods,topic:automation,level:advanced,type:algorithm,source:research-summary
APR022	What five dimensions should be used to evaluate automated literature review quality?	Coverage (key papers found), Accuracy (factual correctness), Synthesis (logical connections between papers), Actionability (specific takeaways), Citation Quality (real and correctly attributed references).	topic:research-methods,level:intermediate,type:definition,source:research-summary
APR023	Why is a "skeptic" judge essential in multi-judge evaluation of literature reviews?	The skeptic is specifically prompted to find hallucinated claims, unsupported connections, and missing caveats. Without it, reviews score artificially high because LLM judges default to charitable interpretation.	topic:research-methods,topic:automation,level:advanced,type:why,source:research-summary
APR024	What is the knowledge base decay model and what are typical half-lives by field?	current_relevance = initial_relevance * 0.5^(age_months/half_life). Half-lives: ML/AI = 18 months, Systems = 36 months, Theory = 60 months. Archive papers when relevance drops below 0.3.	topic:research-methods,level:advanced,type:formula,source:research-summary
APR025	How should paper deduplication work across venues (arXiv preprint, conference, journal)?	Detect via: title similarity >0.95, OR author overlap >80% AND abstract similarity >0.85. Keep most recent/authoritative version, link others as "superseded_by."	topic:research-methods,topic:automation,level:intermediate,type:algorithm,source:research-summary
APR026	What is the cascade problem in research knowledge base maintenance?	When a foundational paper's claims change (e.g., arXiv v1 to v2), every synthesis that references it may be invalid. Track dependency graphs (synthesis.depends_on = [paper_A, paper_B]) and trigger re-evaluation when any dependency updates.	topic:research-methods,topic:automation,level:advanced,type:tradeoff,source:research-summary
APR027	What is the minimal viable AI research pipeline that delivers value in one week?	Claude API + single Python script: download PDF, extract with structured prompt, append JSON to a file, weekly manual review. No vector DB, no embeddings, no state machine. Add infrastructure only when the JSON file exceeds ~100 papers.	topic:research-methods,topic:automation,level:beginner,type:algorithm,source:practitioner
APR028	What is the key bottleneck in research that AI tools solve?	"The bottleneck in research is not finding papers - it's deciding which ones deserve 2 hours of your time. AI tools solve discovery; an agentic pipeline solves triage; but human judgment still owns the 'so what?'"	topic:research-methods,level:beginner,type:why,source:research-summary
APR029	What distinguishes domain-specific pipeline calibration from generic research automation?	Domain-specific calibration is the whole point. A pipeline tuned for ML papers (fast decay, code emphasis) fails for clinical trials (slow decay, methodology emphasis). Generality is the enemy of precision in research pipelines.	topic:research-methods,topic:automation,level:advanced,type:tradeoff,source:research-summary
APR030	How does the feedback loop work in a production research agent?	Published reports reveal coverage gaps ("we have no papers on X") which generate new discovery keywords fed back to the discovery stage. This makes the system self-improving in coverage without requiring self-improving models.	topic:research-methods,topic:automation,level:intermediate,type:algorithm,source:research-summary
