ID	Front	Back	Tags
CAI001	What is Constitutional AI?	The paradigm of aligning AI systems to explicit principles (a "constitution") rather than relying solely on large-scale human preference annotation. It transforms alignment from an implicit labeling problem into explicit principle-guided self-critique and revision.	topic:constitutional-ai,topic:alignment,level:beginner,type:definition,source:research-summary
CAI002	What is the core tension that Constitutional AI addresses?	Scalability vs. precision: human feedback is precise but does not scale; constitutions scale infinitely but require the model to interpret principles correctly.	topic:constitutional-ai,level:intermediate,type:tradeoff,source:research-summary
CAI003	What are the two stages of Anthropic's Constitutional AI pipeline?	Stage 1 (Supervised Self-Revision): Generate -> Self-Critique against constitution -> Revise. Stage 2 (RLAIF): Use AI judge guided by constitution to generate preference data -> RL training.	topic:constitutional-ai,topic:rlaif,paper:constitutional-ai,level:intermediate,type:algorithm,source:research-summary
CAI004	By how much does Constitutional AI reduce human annotation compared to RLHF?	10-100x reduction in human annotation while making the alignment target auditable (you can read the constitution and know what the model was trained to do).	topic:constitutional-ai,paper:constitutional-ai,level:beginner,type:comparison,source:research-summary
CAI005	What is RLAIF (Reinforcement Learning from AI Feedback)?	A method that fully replaces human preference labeling with LLM-as-judge evaluation. AI judges (optionally guided by constitutions) generate preference pairs that feed to RL or DPO. Cheap, fast, scalable, and easily updated.	topic:rlaif,topic:constitutional-ai,level:beginner,type:definition,source:research-summary
CAI006	What is Deliberative Alignment (OpenAI)?	An approach where models actively reason about their safety policies during inference rather than relying solely on training-time alignment. The model deliberates about its constitution in its chain-of-thought, making constitutional behavior auditable in real time.	topic:constitutional-ai,topic:alignment,level:intermediate,type:definition,source:research-summary
CAI007	What was the key limitation of rule-based AI safety (Era 0, before 2020)?	Rules are deterministic and interpretable but catastrophically brittle -- they cannot generalize to novel situations. The failure mode is bypass via rephrasing, which motivated learning-based approaches.	topic:safety,topic:constitutional-ai,level:beginner,type:why,source:research-summary
CAI008	What is the InstructGPT three-stage recipe that became the RLHF industry standard?	SFT (Supervised Fine-Tuning) -> Reward Model training -> PPO (Proximal Policy Optimization). Established by Ouyang et al. 2022.	topic:constitutional-ai,paper:instructgpt,level:intermediate,type:algorithm,source:research-summary
CAI009	What are the main limitations of RLHF that motivated Constitutional AI?	Human preference collection is expensive ($0.50-$1.00/comparison), noisy (inter-annotator agreement ~70-80%), and difficult to audit (preferences are implicit, not explicit).	topic:constitutional-ai,topic:alignment,level:intermediate,type:tradeoff,source:research-summary
CAI010	How does Self-Refine generalize the Constitutional AI self-critique mechanism?	Self-Refine (Madaan et al. 2023) uses a Generate -> Critique -> Revise loop without additional training for general quality improvement. The insight: if a model can critique outputs against safety principles, it can also critique against any quality criterion.	topic:constitutional-ai,paper:self-refine,level:intermediate,type:comparison,source:research-summary
CAI011	What is Reflexion and how does it extend self-critique?	Reflexion (Shinn et al. 2023) stores self-critique in episodic memory, enabling learning from failure across attempts. It generalizes CAI's critique mechanism to task-level learning rather than single-output revision.	topic:constitutional-ai,paper:reflexion,level:intermediate,type:definition,source:research-summary
CAI012	When was RLAIF demonstrated to match human feedback quality at scale?	2023 -- Lee et al. showed that AI feedback matches human feedback quality, costing ~$0.01 per preference (inference cost) compared to $0.50-$1.00 for human annotation. By 2024, virtually every frontier lab used some form of AI feedback.	topic:rlaif,paper:rlaif,level:intermediate,type:paper,source:research-summary
CAI013	What is the key transition from Era 4 (RLAIF) to Era 5 (Deliberative Alignment)?	The constitution moves from a training-time artifact to a runtime reasoning target. Instead of the model having learned to be safe (opaque), it reasons about whether answers violate policies (auditable). Enables updating policies without retraining.	topic:constitutional-ai,topic:alignment,level:advanced,type:comparison,source:research-summary
CAI014	What is Multi-Constitution Training (Era 6, 2024-2025)?	Composing multiple domain-specific constitutions (safety, legal, privacy, medical, financial, company-specific) into joint model behavior. One constitution is never enough for production -- different organizations need different policies.	topic:constitutional-ai,level:intermediate,type:definition,source:research-summary
CAI015	What is Agent Constitutional governance (Era 7, 2025-2026)?	Constitutions governing not just text generation but real-world actions: tool permissions, budget limits, security policies, data governance, compliance rules. Every action is checked against policy before execution, not just every response.	topic:constitutional-ai,topic:safety,level:advanced,type:definition,source:research-summary
CAI016	What are the five checks in the Agent Constitution Stack (2026 production pattern)?	1) Safety: Does this action risk harm? 2) Security: Does this access authorized data only? 3) Compliance: Does this meet regulatory requirements? 4) Budget: Does this exceed spending limits? 5) Company Policy: Does this follow org-specific rules?	topic:constitutional-ai,topic:safety,level:intermediate,type:algorithm,source:practitioner
CAI017	How does governance explicitness evolve across Constitutional AI eras?	Implicit (RLHF, learned from data) -> Semi-explicit (CAI, natural language principles) -> Auditable (Deliberative Alignment, visible in CoT) -> Formal (Verifiable Alignment, executable spec with JSON schemas) -> Provable (formal verification).	topic:constitutional-ai,topic:alignment,level:advanced,type:comparison,source:research-summary
CAI018	Can RLHF alignment be audited or updated without retraining?	No. RLHF alignment is implicit (hidden in the reward model), cannot be audited, and cannot be updated without retraining. This is a key motivation for more explicit constitutional approaches.	topic:constitutional-ai,topic:alignment,level:beginner,type:tradeoff,source:research-summary
CAI019	Can Deliberative Alignment be updated without retraining?	Yes. Because the model reasons about policies at inference time, you can change the policy document without retraining the model. This also enables different policies for different contexts.	topic:constitutional-ai,topic:alignment,level:intermediate,type:tradeoff,source:research-summary
CAI020	What is the "killer insight" about Constitutional AI as a governance architecture?	Constitutional AI is not just an alignment technique -- it is a governance architecture. The constitution is a policy document that can be versioned, audited, updated, and composed, making AI alignment a software engineering problem rather than a data labeling problem.	topic:constitutional-ai,topic:alignment,level:advanced,type:why,source:research-summary
CAI021	How does the cost of alignment feedback evolve across eras?	RLHF: $0.50-$1.00/comparison (human). CAI Stage 1: ~$0.01 (inference cost, self-revision). RLAIF: ~$0.01 (AI judge inference). Deliberative Alignment: $0 training cost (runtime reasoning). Verifiable Alignment: $0 (formal check).	topic:constitutional-ai,topic:alignment,level:intermediate,type:comparison,source:research-summary
CAI022	How have all frontier labs converged on constitutional-style governance by 2026?	Anthropic: Constitutional AI. OpenAI: Deliberative Alignment. DeepMind: Scalable oversight/debate. Meta: Safety specifications + LLM judges. Microsoft: Agent governance/enterprise policies. Amazon: Guardrails. All are structurally equivalent approaches.	topic:constitutional-ai,topic:alignment,topic:safety,level:advanced,type:comparison,source:research-summary
CAI023	What is Online Policy Distillation (OPD) in constitutional AI?	OPD combines multiple constitutional teachers into efficient student policies, making constitutionally correct behavior cheap to serve. It efficiently transfers knowledge from expensive constitutional models to smaller deployment models.	topic:constitutional-ai,level:advanced,type:definition,source:research-summary
CAI024	What is Verifiable Alignment?	Machine-checkable specifications (JSON schemas, formal constraints) that replace natural-language principles. Enables auditable AND provable alignment with executable specs that can be updated without retraining.	topic:constitutional-ai,topic:alignment,level:advanced,type:definition,source:research-summary
CAI025	What does "any evaluable criterion can serve as a constitution" mean?	The self-critique mechanism (Generate -> Critique -> Revise) generalizes beyond safety to any domain: code quality uses best practices, reasoning uses task success, factuality uses external knowledge, compliance uses legal policies. The technique is far more general than its safety origins.	topic:constitutional-ai,level:intermediate,type:why,source:research-summary
CAI026	What is the scope expansion that defines Constitutional AI in 2025-2026?	From TEXT governance (Is this response safe/honest/helpful? Governs word choice, content, tone) to ACTION governance (Is this action permitted/safe/compliant? Governs tool use, data access, spending, communication, execution).	topic:constitutional-ai,topic:safety,level:intermediate,type:comparison,source:research-summary
CAI027	When should you choose RLHF over Constitutional AI?	When you need precise alignment to subjective human preferences that resist formalization. RLHF excels at capturing nuanced human judgments that cannot be easily expressed as explicit principles.	topic:constitutional-ai,topic:alignment,level:intermediate,type:tradeoff,source:research-summary
CAI028	When should you choose Constitutional AI/RLAIF over RLHF?	When you need scalable alignment with auditable, updateable principles. CAI/RLAIF excels when alignment targets can be expressed as explicit rules and you need to avoid expensive human annotation.	topic:constitutional-ai,topic:rlaif,level:intermediate,type:tradeoff,source:research-summary
CAI029	What are the four open problems in Constitutional AI as of 2026?	1) Dynamic constitutions adapting to jurisdiction/context without retraining. 2) Learned constitutions inferred from legal codes or demonstrations. 3) Multi-agent governance for teams with different role-specific constitutions. 4) Formal verification bridging natural language and provable constraints.	topic:constitutional-ai,topic:alignment,level:advanced,type:comparison,source:research-summary
CAI030	What paper established preference-based reward learning for RL?	Christiano et al. (2017) "Deep Reinforcement Learning from Human Preferences" -- established the foundation that RLHF builds upon by showing RL agents could be trained from human preference comparisons.	topic:constitutional-ai,topic:alignment,paper:deep-rl-human-preferences,level:beginner,type:paper,source:research-summary
CAI031	What is the CRITIC system and how does it relate to Constitutional AI?	CRITIC (2023) uses external tools (search, code execution) to verify and critique model outputs. It extends the self-critique mechanism by grounding critiques in external knowledge rather than just internal principles.	topic:constitutional-ai,level:intermediate,type:definition,source:research-summary
