ID	Front	Back	Tags
AAF-001	What are autonomous personal AI agent frameworks?	Always-on, messaging-first AI assistants that run on user infrastructure with full data sovereignty. They add persistent memory, tool use, skill accumulation, and cross-session learning -- unlike stateless chatbot wrappers.	topic:multi-agent,level:beginner,type:definition,source:research-summary
AAF-002	What is the core trade-off between Hermes Agent and OpenClaw?	Self-improvement (Hermes) vs operational maturity (OpenClaw). Hermes bets on the agent maintaining itself (decreasing overhead); OpenClaw bets on the community maintaining the ecosystem (constant overhead).	topic:multi-agent,level:intermediate,type:tradeoff,source:research-summary
AAF-003	When should you choose Hermes Agent over OpenClaw?	Choose Hermes for: personal use, autonomous skill evolution desired, NousResearch model ecosystem, serverless/hibernating deployment, decreasing long-term maintenance overhead.	topic:multi-agent,level:intermediate,type:tradeoff,source:practitioner
AAF-004	When should you choose OpenClaw over Hermes Agent?	Choose OpenClaw for: team/enterprise use, maximum platform coverage (30+ messaging platforms), structured TypeScript/YAML workflows, K8s deployment, larger community support (500+ contributors).	topic:multi-agent,level:intermediate,type:tradeoff,source:practitioner
AAF-005	What is AgentSkills.io?	An open standard (2026) for portable AI agent skills shared between Hermes and OpenClaw. It defines a common skill schema (triggers, capabilities, configuration) enabling marketplace-based skill discovery and cross-framework portability.	topic:multi-agent,topic:skill-learning,level:intermediate,type:definition,source:research-summary
AAF-006	What are the three parts of the AgentSkills standard?	1) A manifest declaring what the skill does and what tools/permissions it requires. 2) An execution contract defining input/output formats. 3) A configuration schema for user-specific parameters.	topic:skill-learning,level:intermediate,type:definition,source:research-summary
AAF-007	How does Hermes Agent's self-improvement loop work?	Interaction trace -> Pattern detection (frequency analysis) -> Skill candidate generation -> Validation (5 synthetic test cases, >=80% success) -> Registration -> Refinement loop (30-day rolling success rate monitoring, A/B testing).	topic:self-improvement,topic:skill-learning,level:intermediate,type:algorithm,source:research-summary
AAF-008	What is skill ossification and how is it mitigated?	Skill ossification: early skills lock in suboptimal approaches that prevent discovery of better methods. Mitigation: periodically (every 100 invocations) force raw LLM execution without skills, compare quality, and replace ossified skills if raw outperforms.	topic:skill-learning,topic:self-improvement,level:advanced,type:tradeoff,source:research-summary
AAF-009	What is Honcho dialectic user modeling in Hermes Agent?	Honcho builds a progressive user profile through thesis-antithesis-synthesis: it maintains competing hypotheses about user preferences and resolves them through observed interactions. It models contradictions as context-dependent rather than collapsing to one preference.	topic:memory,level:advanced,type:algorithm,source:research-summary
AAF-010	How does Honcho handle user preference drift?	Uses exponential decay weighting on observations (recent interactions matter more). Periodically re-evaluates low-confidence hypotheses via clarifying questions. If preference reversal detected (high-confidence hypothesis contradicted 3+ times), triggers full re-evaluation.	topic:memory,level:advanced,type:algorithm,source:research-summary
AAF-011	What distinguishes autonomous agent frameworks from simple chatbot wrappers?	Autonomous frameworks maintain state across sessions (memory systems), accumulate reusable capabilities (skills), and execute multi-step workflows through terminal backends. Chatbot wrappers simply proxy to LLM API with no persistent state.	topic:multi-agent,level:beginner,type:comparison,source:research-summary
AAF-012	Compare self-improving vs manually-curated skill systems across dimensions.	Self-improving (Hermes): Low initial effort, decreasing maintenance, quality depends on agent capability, failure mode is silent skill degradation. Manual (OpenClaw): High initial effort, constant maintenance, quality depends on community, failure mode is stale/missing skills.	topic:skill-learning,topic:self-improvement,level:intermediate,type:comparison,source:research-summary
AAF-013	How does OpenClaw's multi-agent routing work?	Gateway receives messages from 30+ platforms, identifies channel+user tuple, routes to corresponding agent runtime. Each agent has isolated workspace, dedicated session storage, and independent skill configuration. Prevents cross-contamination.	topic:multi-agent,level:intermediate,type:algorithm,source:research-summary
AAF-014	What security risks are unique to messaging-first agent architectures?	1) Prompt injection via channel messages (group chats). 2) Lateral movement between channels if state is shared. 3) Credential exposure in shared sessions. 4) DM-based auth spoofing. 5) Confused deputy attacks in group chats.	topic:multi-agent,level:intermediate,type:definition,source:research-summary
AAF-015	What is OpenClaw's tool permission tier system?	Tier 0: Read-only (any channel). Tier 1: Write, send messages, create files (verified channels). Tier 2: Execute code, invoke APIs (primary channel only). Tier 3: Admin, config changes, credentials (DM with owner only).	topic:multi-agent,level:intermediate,type:algorithm,source:practitioner
AAF-016	When does serverless hibernation vs always-on K8s make sense?	Break-even: ~50-100 interactions/day. Below this, serverless wins on cost (near-zero when idle). Above this, always-on wins on latency (no cold start) and simplicity. Serverless has 2-5s wake-up latency; K8s has none.	topic:multi-agent,level:intermediate,type:tradeoff,source:practitioner
AAF-017	What is the "discover-then-codify" pattern for workflows?	User intent -> Emergent skill creation (Hermes-style) -> Human review gate -> Promoted to declarative workflow (OpenClaw-style) -> Version controlled, auditable, deterministic execution. Combines exploration via self-improvement with stability via explicit definition.	topic:skill-learning,topic:harness-optimization,level:advanced,type:algorithm,source:practitioner
AAF-018	What is the cost model for a personal always-on agent?	~100 messages/day on Claude Sonnet: Messages $0.60 + Memory recalls $0.15 + Tool calls $0.09 + Skill refinement $0.045 = ~$0.89/day or ~$27/month for LLM costs alone. Add $3-5 infra for total ~$30-32/month.	topic:multi-agent,level:intermediate,type:formula,source:practitioner
AAF-019	What is the cost optimization priority stack for always-on agents?	1) Model routing (Haiku for simple, Sonnet for complex): 30-40% savings. 2) Context compression: 20-30%. 3) Skill caching (deterministic outputs): 10-15%. 4) Batch processing (aggregate non-urgent): 5-10%. 5) Self-hosted LLM (at >30 users): 50-70%.	topic:multi-agent,level:intermediate,type:algorithm,source:practitioner
AAF-020	How do you detect silent skill degradation in a self-improving system?	Track skill success rate over time per invocation. If rate drops below threshold (e.g., 80%) over rolling window, flag for regeneration. Use LLM-as-judge to evaluate skill output quality periodically against a rubric.	topic:skill-learning,topic:self-improvement,level:intermediate,type:algorithm,source:practitioner
AAF-021	What is the memory scalability challenge for personal agents?	FTS5/SQLite approaches hit limits at tens of thousands of interactions. Scaling path: FTS5 for single-user moderate volume -> PostgreSQL/Redis for multi-user high-volume -> Vector DB + hybrid retrieval for 100K+ memories.	topic:memory,level:intermediate,type:tradeoff,source:practitioner
AAF-022	What are the three levels of self-evolving agents?	Weak (skill/memory accumulation, model frozen): Voyager, Hermes Agent. Medium (RL on scaffold, model frozen): CODESKILL, Evolving-RL. Strong (weight updates): SOLAR, Self-Rewarding LMs.	topic:self-improvement,level:intermediate,type:definition,source:research-summary
AAF-023	What are the pros of self-evolving agents?	Decreasing maintenance over time. Personalization to user/domain. Handles novel tasks without retraining. Weaker models benefit disproportionately (FORGE). Skill libraries are interpretable and composable.	topic:self-improvement,level:intermediate,type:tradeoff,source:research-summary
AAF-024	What are the cons of self-evolving agents?	Drift/compounding errors across sessions. Safety degrades even from benign tasks (ACL 2026). Evaluation difficulty at scale. Unpredictable emergent strategies. Goodhart's law on self-assessed rewards.	topic:self-improvement,level:intermediate,type:tradeoff,source:research-summary
AAF-025	What did Self-Rewarding LMs (Meta, ICML 2024) achieve?	3 iterations of self-play with Llama 70B beat Claude 2, Gemini Pro, and GPT-4. Demonstrates strong self-evolution (weight updates) can produce rapidly improving models.	topic:self-improvement,level:advanced,type:paper,source:research-summary
AAF-026	What is the safety finding from Zhao et al. (ACL 2026) on self-evolving agents?	"Experience gathered solely from benign tasks can still compromise safety in high-risk scenarios." Execution-oriented memory reinforces tendency to act rather than refuse. Alignment must be continuously re-evaluated, not just at deployment.	topic:self-improvement,level:advanced,type:tradeoff,source:research-summary
AAF-027	How do you distinguish an LLM quality regression from a skill quality regression?	A/B test: run same task with skill disabled (force raw LLM reasoning) vs with skill enabled. If raw LLM also fails, it is a model regression. If only the skill path fails, it is skill degradation. Automate with periodic canary tasks testing both paths.	topic:skill-learning,topic:harness-optimization,level:intermediate,type:algorithm,source:practitioner
AAF-028	What is the FTS5 vs Vector DB vs Hybrid approach for agent memory?	FTS5: zero-dependency, fast keyword recall, no semantic similarity. Vector DB: semantic matching, handles paraphrasing, adds latency (~50ms), 10x storage. Hybrid: FTS5 + Vector search -> LLM reranker -> Top-K. Best recall at ~225ms total.	topic:memory,level:advanced,type:comparison,source:practitioner
AAF-029	What is the messaging gateway normalization challenge?	Both frameworks normalize 20-30+ protocols into unified format. Hardest problem: bidirectional rich content -- converting agent responses (code blocks, tables, images) back into platform-native format (Slack Block Kit, Discord embeds, Telegram markdown). Must complete in <50ms.	topic:multi-agent,level:advanced,type:tradeoff,source:practitioner
AAF-030	Compare OpenClaw declarative vs Hermes emergent workflows.	OpenClaw (TypeScript/YAML): Deterministic, auditable, version-controlled, testable. Failure: brittle when requirements change. Hermes (emergent from skills): Adaptive, zero-config, handles novel variations. Failure: non-deterministic, hard to audit, may drift from intent.	topic:multi-agent,topic:skill-learning,level:intermediate,type:comparison,source:research-summary
AAF-031	What data is lost in framework migration that cannot be reconstructed?	Implicit learned behaviors in Hermes (refined skill weights, interaction-specific optimizations). OpenClaw's event history and trigger conditions. Honcho's dialectic user profile (no equivalent in OpenClaw's simpler session state).	topic:multi-agent,level:advanced,type:tradeoff,source:practitioner
AAF-032	What is the confused deputy attack in messaging-first agents?	An attacker in a group chat embeds instructions that the agent executes using its legitimate credentials. Mitigation: require explicit @mention for action triggers, implement confirmation step for destructive actions regardless of channel.	topic:multi-agent,level:advanced,type:definition,source:practitioner
AAF-033	What does the future convergence of agent frameworks look like?	Convergence on: skill format (AgentSkills.io), memory interfaces (vector DB + structured state APIs), messaging normalization. Differentiation persists in: runtime philosophy, deployment model, and user modeling approach. Similar to container runtimes converging on OCI.	topic:multi-agent,level:intermediate,type:comparison,source:research-summary
AAF-034	What is the dominant design pattern across self-evolving agents?	Skill accumulation + retrieval: generate executable solution -> store with retrieval key -> compose for future tasks. Recurs from Voyager (2023) through CODESKILL and EvoMaster (2026).	topic:self-improvement,topic:skill-learning,level:intermediate,type:algorithm,source:research-summary
AAF-035	What makes the evaluation comparison between Hermes and OpenClaw unfair?	Confounders: LLM provider differences, skill library maturity (OpenClaw has 100+ plugins vs Hermes starting from zero), evaluation period (Hermes improves over time -- short evaluations disadvantage it; need 100+ interactions for learning to stabilize).	topic:multi-agent,level:intermediate,type:tradeoff,source:practitioner
AAF-036	How does the self-hosted LLM cost break-even work for agents?	Self-hosted Qwen3-32B on reserved A100 costs ~$850/month but handles unlimited volume. API (Claude Sonnet) costs ~$27/user/month. Break-even: ~30 users. Below 30 users, API wins. Above 30, self-hosted wins.	topic:multi-agent,level:intermediate,type:formula,source:practitioner
