ID	Front	Back	Tags
HE-001	What is harness engineering for agentic AI?	The discipline of improving agent performance by optimizing everything surrounding the model -- prompts, context assembly, workflow orchestration, memory, tools, verification, and execution control -- without changing model weights.	topic:harness-optimization,level:beginner,type:definition,source:research-summary
HE-002	What is the core mental model for agent performance in harness engineering?	Agent Performance = Model x Harness. When the model is frozen (API-only, too expensive to fine-tune, or already frontier-capable), ALL improvement comes from the harness.	topic:harness-optimization,level:beginner,type:definition,source:research-summary
HE-003	What is the killer insight of harness engineering?	"The harness is the product. The model is a component. Production agent quality is determined more by execution architecture than by which foundation model you use."	topic:harness-optimization,level:intermediate,type:definition,source:practitioner
HE-004	What are the 8 maturity levels (0-7) of harness engineering?	Level 0: Prompt Engineering. Level 1: Context Engineering. Level 2: Workflow/Orchestration. Level 3: Retrieval & Memory. Level 4: Verification & Self-Correction. Level 5: Observability-Driven Optimization. Level 6: Automatic Harness Optimization. Level 7: Self-Evolving Harnesses.	topic:harness-optimization,level:intermediate,type:algorithm,source:research-summary
HE-005	What is the difference between Level 0 (Prompt Engineering) and Level 1 (Context Engineering)?	Level 0 improves the wording of the prompt. Level 1 improves the information provided to the model. Key insight: WHAT goes into the prompt matters more than HOW it is phrased. Anthropic, OpenAI, and LangChain converge on "context engineering > prompt engineering."	topic:harness-optimization,level:beginner,type:comparison,source:research-summary
HE-006	What is SPEAR (2026)?	An autonomous prompt optimization agent that analyzes benchmarks, generates new prompts, writes helper code, and auto-rolls-back regressions. It represents the first fully autonomous prompt optimizer -- no human prompt engineering needed.	topic:harness-optimization,level:intermediate,type:paper,source:research-summary
HE-007	What is RHO's key result on SWE-Bench Pro?	RHO (Retrospective Harness Optimization) improved SWE-Bench Pro from 59% to 78% in one unsupervised cycle. It learns from historical trajectories via self-preference ranking without requiring external labels or ground-truth.	topic:harness-optimization,topic:rho,paper:rho,level:intermediate,type:paper,source:research-summary
HE-008	What are RHO's three key mechanisms?	1) Challenging task curation: selects diverse coreset of difficult tasks from past trajectories. 2) Parallel re-solve: re-solves tasks with candidate harness modifications using self-validation. 3) Pairwise self-preference: agent ranks candidates using its own preference judgments, eliminating need for ground-truth labels.	topic:rho,paper:rho,level:advanced,type:algorithm,source:research-summary
HE-009	What is Agentic Harness Engineering (AHE)?	AHE (2026) treats every editable component of the execution stack (tools, workflows, memory, routing, verification) as an optimization target. Key finding: better tools often outperform better prompts; memory architecture changes frequently outperform prompt wording.	topic:harness-optimization,level:intermediate,type:paper,source:research-summary
HE-010	What is the key transition at Level 2 (Workflow/Orchestration Engineering)?	The execution graph becomes a first-class engineering artifact. Instead of one prompt -> one response, the system Plans -> Retrieves -> Executes -> Verifies -> Repairs. Workflow engineering often yields larger gains than any prompt change.	topic:harness-optimization,level:intermediate,type:definition,source:research-summary
HE-011	What are the four types of memory in the harness engineering taxonomy?	Working memory (current session, intermediate reasoning). Episodic memory (cross-session, specific trajectories). Semantic memory (permanent facts, skills, reusable plans). Procedural memory (permanent tool usage patterns, workflow templates).	topic:memory,topic:harness-optimization,level:intermediate,type:definition,source:research-summary
HE-012	What is the verification stack in harness engineering (Level 4)?	Generate -> Rule-based checks (syntax, schema, security) -> LLM-as-Judge (semantic quality) -> Execution tests (unit/integration) -> Business-rule validation -> Repair (if any check fails) -> re-verify -> Return (only if all pass).	topic:harness-optimization,level:intermediate,type:algorithm,source:research-summary
HE-013	What does Level 5 (Observability-Driven Optimization) shift?	The question shifts from "how do I improve my prompt?" to "where does the execution pipeline fail?" Telemetry (tool success rates, retrieval quality, retry statistics, latency, hallucination causes) drives systematic improvements. Optimization becomes data-driven, not intuition-driven.	topic:harness-optimization,level:intermediate,type:definition,source:research-summary
HE-014	What are the 5 key observability signals for agent harnesses?	1) Tool success rate by tool: which tools are unreliable. 2) Retrieval relevance scores: context quality issues. 3) Retry frequency by stage: systematic failure points. 4) Token consumption per stage: cost hotspots. 5) Latency P95 by component: bottlenecks.	topic:harness-optimization,level:intermediate,type:algorithm,source:practitioner
HE-015	What is the automatic harness optimization loop (Level 6)?	Run benchmark -> Collect failures + traces -> Cluster failures by root cause -> Generate candidate harness patches -> Evaluate on benchmark + regression suite -> Accept improvements, rollback regressions -> Deploy -> Repeat.	topic:harness-optimization,level:intermediate,type:algorithm,source:research-summary
HE-016	What does Level 7 (Self-Evolving Harnesses) optimize?	Every editable component: Prompts (wording, structure, examples), Tools (selection, API design), Workflows (stage ordering, parallelism, routing), Memory (retention, indexing, retrieval), Verification (check ordering, strictness), Retry logic, Routing (model selection, specialist dispatch).	topic:harness-optimization,level:advanced,type:definition,source:research-summary
HE-017	What drives the transition from one maturity level to the next?	Diminishing returns at the current level. Example ceilings: Level 0 ~70% accuracy, Level 1 ~80%, Level 2 ~85%, Level 3 ~88%, Level 4 ~92%, Level 5 ~94%, Level 6 ~96%, Level 7 unknown (current frontier).	topic:harness-optimization,level:intermediate,type:tradeoff,source:research-summary
HE-018	Compare harness engineering vs model fine-tuning across key dimensions.	Speed: Minutes-days vs days-weeks. Cost: Low ($0-$100s) vs high ($10K-$1M). Reversibility: Git revert vs checkpoint rollback. Transferability: Often transfers across model versions vs model-specific. Who: Application engineers vs ML/research engineers.	topic:harness-optimization,level:intermediate,type:comparison,source:research-summary
HE-019	What key finding about harness improvements and model upgrades comes from AHE research?	Harness improvements often generalize when the underlying LLM is upgraded -- harness engineering investment is preserved across model generations. This is NOT true of fine-tuning, which is model-specific.	topic:harness-optimization,level:intermediate,type:tradeoff,source:research-summary
HE-020	Why is verification the prerequisite for self-improvement in harness engineering?	No automated optimization is safe without verification. Level 4 (verification) must be solid before Level 6-7 (auto-optimization) is attempted. Without verification, self-improvement becomes self-delusion -- optimizing metrics that don't correlate with actual quality.	topic:harness-optimization,level:intermediate,type:why,source:research-summary
HE-021	What is the industry convergence on "context > prompt"?	By 2025-2026, all major frontier labs converged: Anthropic ("context engineering is more impactful"), OpenAI ("reliable execution over isolated model capability"), LangChain ("harness engineering is the new discipline"), Microsoft ("learn from trajectories, not labels"), Google ("planning + tool use + verification").	topic:harness-optimization,level:beginner,type:definition,source:research-summary
HE-022	What is the role of DSPy in harness optimization?	DSPy (Khattab et al., 2023+) compiles declarative LM programs into optimized pipelines via automated search. It treats prompts as compilable programs, enabling programmatic optimization of prompts, demonstrations, and multi-step workflows.	topic:harness-optimization,paper:dspy,level:intermediate,type:paper,source:research-summary
HE-023	What makes RHO "unsupervised" harness optimization?	RHO uses pairwise self-preference -- the agent ranks harness candidates using its own preference judgments, eliminating dependency on ground-truth labels or external grading. No labeled test sets required for the optimization loop.	topic:rho,paper:rho,level:advanced,type:why,source:research-summary
HE-024	What did Anthropic mean by "context engineering" in the Claude Code era?	Dynamic context assembly: CLAUDE.md files provide persistent instructions, codebase indexing enables code-aware context, and conversation compression manages long sessions. The guiding principle: provide the smallest amount of information that maximizes task performance.	topic:harness-optimization,level:intermediate,type:definition,source:practitioner
HE-025	What is the key transition at Level 3 (Retrieval & Memory Engineering)?	The model stays frozen while the memory system continuously improves. Short-term memory (scratchpads, traces) provides in-session learning; long-term memory (successful trajectories, cached plans, tool usage history) provides cross-session compounding.	topic:harness-optimization,topic:memory,level:intermediate,type:definition,source:research-summary
HE-026	What is CodeAct and its contribution to workflow engineering?	CodeAct (2024) uses executable code as the action language for agents. Instead of natural-language tool calls, agents write and execute code directly, enabling richer composition and debugging of multi-step workflows.	topic:harness-optimization,level:intermediate,type:paper,source:research-summary
