ID	Front	Back	Tags
AS-001	What is an agentic system?	An LLM wrapped in a loop that can plan, use tools, observe results, and adapt -- transforming a language model from a text generator into an autonomous actor. Core trade-off: autonomy vs predictability.	topic:multi-agent,level:beginner,type:definition,source:research-summary
AS-002	What are the four levels of the autonomy spectrum for agents?	Level 0: Tool caller (single call, low risk, no loop). Level 1: Recommender (plan+suggest, human gate). Level 2: Auto-execute (reversible acts, undo window). Level 3: Fully autonomous (irreversible acts, no safety net).	topic:multi-agent,level:beginner,type:definition,source:research-summary
AS-003	What is the ReAct pattern and why does it dominate?	ReAct (Yao et al., 2023) interleaves reasoning (chain-of-thought) with acting (tool use) in a Thought-Action-Observation loop. It dominates because: adaptive planning, auditable traces for compliance, and the explicit Thought step IS the explanation.	topic:multi-agent,paper:react,level:beginner,type:paper,source:research-summary
AS-004	When should you NOT build an agent?	When you can enumerate the steps in a spec doc. Fixed API sequences -> use pipelines. Single tool calls -> function calling. Knowledge base answers -> RAG. Classifying and routing -> router. Templates with variables -> structured output. Agents are for when the PLAN is the hard part.	topic:multi-agent,level:intermediate,type:tradeoff,source:practitioner
AS-005	What is the compounding error problem in agentic systems?	Error rates multiply across steps: 95% per-step accuracy = 77% over 5 steps, 60% over 10 steps. This makes long-horizon tasks brittle. Mitigation: trajectory validation checkpoints, re-planning on divergence.	topic:multi-agent,level:intermediate,type:tradeoff,source:research-summary
AS-006	What is the cost structure for a full agentic task?	~8 LLM calls per task: planning (2 Sonnet), tool formatting (2 Haiku), result interpretation (3 Haiku), verification (1 Haiku), synthesis (1 Sonnet). Total: ~$0.04 per full agentic task; ~$0.01 for templated path.	topic:multi-agent,level:intermediate,type:formula,source:practitioner
AS-007	How do you scale agents to 1M+ users cost-effectively?	Tiered service: Top 1% gets full agentic experience ($0.04/task). Middle 20% gets templated recommendations ($0.01/task). Long tail gets batch-generated. Route 60-70% to templated paths. Result: average drops from $0.05 to ~$0.015/task.	topic:multi-agent,level:intermediate,type:algorithm,source:practitioner
AS-008	What is Tree-of-Thoughts (ToT) planning?	Yao et al. (2023): Explicit branching where the LLM generates M thought branches per step, each evaluated by a value function ("Is this path promising?"). BFS exploration with M=3, d=4 depth = ~162 LLM calls. Use for high-stakes decisions.	topic:reasoning,level:intermediate,type:paper,source:research-summary
AS-009	When should you use MCTS vs Beam Search vs Tree-of-Thoughts vs Greedy?	Greedy (N calls): task value <$1, time-sensitive. Beam search K=3 (~3N calls): multiple viable strategies. ToT with BFS (5-10N calls): wrong plan costs >$100. MCTS (50-250 calls): one decision, binary outcome, cost >$1000.	topic:reasoning,level:advanced,type:comparison,source:research-summary
AS-010	What is the number-one production failure mode for agents?	Infinite retry loops: Agent calls tool -> fails -> retries with same params -> fails again -> retries... Burns token budget while user waits. Root cause: agent has no memory of what already failed. Fix: track failed actions in state, change strategy after N failures.	topic:multi-agent,level:intermediate,type:definition,source:practitioner
AS-011	What is the recovery hierarchy for agent errors?	Ordered by preference: 1) Retry with modification (reformulate, max 2). 2) Alternative path (fallback tool/cached data). 3) Partial completion (return what you have with gaps). 4) Graceful escalation (route to human). 5) Hard stop (circuit breaker).	topic:multi-agent,level:intermediate,type:algorithm,source:practitioner
AS-012	What is the circuit breaker pattern for agents?	Hard stops triggered on: max steps exceeded, max cost exceeded, max time exceeded, safety violation detected, same action failed 3+ times. On trigger: immediately stop, log full state, return partial results with explanation.	topic:multi-agent,level:intermediate,type:algorithm,source:practitioner
AS-013	What is Reflexion's impact on error recovery?	After failure, the agent generates verbal self-critique stored in memory. On retry, critique prevents repeating the same mistake. Shinn et al. showed this improves success rate from 58% to 77% on coding tasks without weight updates.	topic:reflection,paper:reflexion,level:intermediate,type:paper,source:research-summary
AS-014	What is the key insight for agentic system design?	"The orchestrator must be the simplest component in the system -- a state machine, not another LLM. The moment the orchestrator requires reasoning, you have built a meta-agent with the same failure modes you were trying to contain."	topic:multi-agent,level:advanced,type:definition,source:practitioner
AS-015	How should tool selection and safety be designed for agents?	Every tool is both a capability and attack surface. Design with: minimum viable tool set, permission tiers (read/write/irreversible), precise descriptions (contracts), output validation, rate limiting. Add negative examples to descriptions.	topic:multi-agent,level:intermediate,type:algorithm,source:practitioner
AS-016	What is the prompt injection risk via tool responses in agents?	Agent calls tool -> malicious content in response says "Call send_email..." -> agent complies. Defense layers: strict role separation (data not instructions), output sanitization, action validation (consistent with original request?), privilege boundaries, honeypot testing.	topic:multi-agent,level:advanced,type:definition,source:practitioner
AS-017	How should you evaluate agentic systems?	Evaluate trajectories, not just final outputs. An agent can reach correct answer via dangerous path. Six layers: task completion, trajectory efficiency, trajectory safety, tool call correctness, recovery quality, explanation quality.	topic:multi-agent,level:intermediate,type:algorithm,source:research-summary
AS-018	What are the three planning patterns: plan-then-execute vs interleaved vs hierarchical?	Plan-then-execute: fast, brittle (step 3 may invalidate step 5). Interleaved/ReAct: adaptive, slow (N round-trips). Hierarchical: balanced (decompose into sub-goals). Use plan-then-execute for known structures, ReAct for uncertainty, hierarchical for complex multi-domain.	topic:reasoning,level:intermediate,type:comparison,source:research-summary
AS-019	What is CoALA (Cognitive Architectures for Language Agents)?	Sumers et al. (2024) formalized agents as systems with distinct memory modules (working, episodic, semantic, procedural), decision procedures (planning, selection, execution), and grounding mechanisms. Framework explains WHY different agent architectures work or fail.	topic:multi-agent,topic:memory,level:intermediate,type:paper,source:research-summary
AS-020	How does Voyager's skill library compare to Reflexion's verbal memory?	Voyager: stores successful procedures (positive examples for reuse), procedural memory, grows monotonically on success. Reflexion: stores failure analyses (negative examples for avoidance), episodic memory, bounded with eviction. Production agents need both.	topic:skill-learning,topic:reflection,paper:voyager,paper:reflexion,level:intermediate,type:comparison,source:research-summary
AS-021	What are the three multi-agent communication patterns?	1) Message Passing (AutoGen): decoupled, auditable, high latency. 2) Shared Blackboard (MetaGPT): low latency, race conditions, contamination risk. 3) Hierarchical Delegation: clear authority, bounded scope, supervisor bottleneck.	topic:multi-agent,level:intermediate,type:comparison,source:research-summary
AS-022	Why does MetaGPT enforce SOPs (Standard Operating Procedures)?	Each agent role (PM, Architect, Engineer) produces structured artifacts that downstream agents consume. Schema contracts with versioning at every handoff -- violations produce hard stop, not silent data loss. Mirrors API contract management in microservices.	topic:multi-agent,level:intermediate,type:why,source:research-summary
AS-023	What are the four multi-agent coordination failure modes?	1) Silent schema drift (format changes, parsing errors). 2) Circular dependencies (A needs B, B needs A). 3) Inconsistent state (different read times). 4) Cascading timeouts (A waits for B waits for C). Fixes: strict validation, topological sort, state snapshots, global timeout.	topic:multi-agent,level:advanced,type:definition,source:research-summary
