ID	Front	Back	Tags
LOR001	What is LoRA?	A parameter-efficient fine-tuning technique that decomposes weight updates into low-rank matrices: W' = W + BA, where B is d-by-r and A is r-by-d with r << d. Enables adaptation with ~0.1% trainable parameters.	topic:lora,level:beginner,type:definition,source:research-summary
LOR002	What theoretical foundation justifies LoRA's effectiveness?	The intrinsic dimensionality hypothesis: task-specific fine-tuning updates occupy a low-dimensional subspace. Aghajanyan et al. showed d_90 is only 200-800 for many NLP tasks despite models having 355M+ parameters.	topic:lora,level:intermediate,type:why,source:research-summary
LOR003	How much parameter reduction does LoRA achieve for GPT-3?	LoRA reduces trainable parameters from d^2 to 2dr — a 10,000x reduction. For a 7B model with r=16, only 4.2M parameters are trained (1,667x reduction).	topic:lora,level:beginner,type:definition,source:research-summary
LOR004	Why is B initialized to zero and A with random Gaussian in LoRA?	Initializing B=0 ensures delta-W=0 at start — the adapted model begins identical to the pretrained model. Random initialization of both would produce a random perturbation destroying pretrained knowledge.	topic:lora,level:intermediate,type:why,source:research-summary
LOR005	What is QLoRA?	Combines NF4 quantization of the base model with full-precision LoRA adapters. Enables 65B model fine-tuning on a single 48GB GPU — a 10x memory reduction vs standard LoRA.	topic:lora,level:beginner,type:definition,source:research-summary
LOR006	What is NormalFloat4 (NF4) quantization?	Uses 16 quantization levels drawn from the normal distribution's quantiles (optimized for Gaussian-distributed weights). Reduces quantization error by ~30% vs uniform INT4.	topic:lora,level:intermediate,type:definition,source:research-summary
LOR007	What is double quantization in QLoRA?	Quantizing the quantization scale factors themselves to FP8 (normally they are fp32). Reduces overhead from 0.5 bits/weight to 0.127 bits/weight, bringing total storage to 0.55 bytes/param.	topic:lora,level:advanced,type:definition,source:research-summary
LOR008	What is DoRA?	Decomposes weight W into magnitude m and direction V (W = m * V/||V||), then applies LoRA only to the direction component. Achieves 95-98% of full fine-tuning quality.	topic:lora,level:intermediate,type:definition,source:research-summary
LOR009	Why does DoRA outperform standard LoRA?	The magnitude/direction separation allows independent adaptation of "how much" vs "which direction." This is particularly effective on complex reasoning tasks where standard LoRA plateaus at 90%.	topic:lora,level:intermediate,type:why,source:research-summary
LOR010	What is LoRA+?	Using different learning rates for A and B matrices: eta_A = eta_B / r. Accounts for different gradient magnitudes in the two matrices and accelerates convergence by ~2x at zero cost.	topic:lora,level:intermediate,type:definition,source:research-summary
LOR011	What is VeRA?	Vector-based Random Matrix Adaptation — uses shared random matrices across layers with per-layer trainable scaling vectors. Achieves 10x fewer parameters than LoRA (0.01% trainable).	topic:lora,level:intermediate,type:definition,source:research-summary
LOR012	What is AdaLoRA?	Dynamically allocates rank budget across layers based on importance scoring via SVD. Finds that attention Q/K need 2-3x more rank than V/O projections.	topic:lora,level:intermediate,type:definition,source:research-summary
LOR013	Compare LoRA vs QLoRA vs DoRA: when to choose each?	LoRA: general use with mature tooling, memory >40GB. QLoRA: GPU memory is binding constraint (<24GB). DoRA: quality-critical applications where measured quality gaps justify complexity.	topic:lora,level:intermediate,type:comparison,source:research-summary
LOR014	What are the three regimes of rank-performance curves?	(1) Undercapacity (r < intrinsic dim): quality scales linearly with rank. (2) Transition (r ~ intrinsic dim): sharp quality jump. (3) Overcapacity (r >> intrinsic dim): diminishing returns, potential overfitting.	topic:lora,level:advanced,type:algorithm,source:research-summary
LOR015	What are the failure modes of incorrect rank selection?	Underfitting (rank too low): generic outputs that fail to capture task patterns. Overfitting (rank too high): memorizes training data, repetitive outputs, spectral concentration where 90%+ energy sits in first few dimensions.	topic:lora,level:intermediate,type:tradeoff,source:research-summary
LOR016	How would you empirically find the intrinsic rank of a task?	Track cumulative singular value energy of gradient updates during early training. When top-k components explain >95% of gradient energy for consecutive steps, k approximates intrinsic rank.	topic:lora,level:advanced,type:algorithm,source:research-summary
LOR017	What is S-LoRA?	A system for serving thousands of concurrent LoRA adapters with unified memory pooling and custom CUDA kernels. Demonstrated 2000+ adapters on a single GPU with <4% overhead.	topic:lora,level:intermediate,type:definition,source:research-summary
LOR018	What are the three key challenges S-LoRA solves?	(1) Unified paging: non-contiguous GPU memory allocation eliminating fragmentation. (2) Batched LoRA computation: custom CUDA kernels for heterogeneous adapters in one kernel launch. (3) Adapter scheduling: admission control maximizing throughput.	topic:lora,level:advanced,type:algorithm,source:research-summary
LOR019	How much memory does each LoRA adapter consume in a multi-tenant setup?	For a 7B model with r=16 targeting 4 weight matrices: approximately 4MB per adapter (2 * 4096 * 16 * 4 * 2 bytes). 2000 adapters = ~8GB total.	topic:lora,level:intermediate,type:definition,source:research-summary
LOR020	What is task arithmetic for adapter merging?	Task vector tau_i = theta_ft_i - theta_pre. Addition combines capabilities (tau_A + tau_B), negation removes them (-tau). Works when vectors are approximately orthogonal in parameter space.	topic:lora,topic:model-merging,level:intermediate,type:definition,source:research-summary
LOR021	How does TIES-Merging resolve adapter interference?	Three steps: (1) Trim parameters below 80th percentile magnitude. (2) Elect sign via majority vote for conflicting parameters. (3) Merge only agreed-upon parameters. Improves multi-adapter composition by 5-15%.	topic:lora,topic:model-merging,paper:ties,level:intermediate,type:algorithm,source:research-summary
LOR022	What is LoraHub?	Learns composition coefficients for combining existing adapters: optimizes weights {alpha_i} for new tasks without gradient updates to adapters themselves. Enables zero-shot generalization.	topic:lora,level:intermediate,type:definition,source:research-summary
LOR023	When does adapter merging fundamentally fail regardless of method?	When two adapters require contradictory updates to the same parameter (e.g., one makes a neuron fire for formal tone, another suppresses it for casual). No static merging can satisfy both — need runtime routing.	topic:lora,topic:model-merging,level:advanced,type:tradeoff,source:research-summary
LOR024	What did "LoRA Learns Less and Forgets Less" establish?	LoRA on code/math retains 95%+ of base model general knowledge (vs 85% for full FT), but achieves only 90% of full FT's task performance. A Pareto trade-off between acquisition and retention.	topic:lora,level:intermediate,type:paper,source:research-summary
LOR025	How does forgetting manifest in LoRA-adapted models?	(1) Degraded reasoning outside training domain. (2) Reduced response diversity (repetitive patterns). (3) Loss of multilingual capability when fine-tuning on English-only data.	topic:lora,level:intermediate,type:definition,source:research-summary
