ID	Front	Back	Tags
ANT001	What is Anthropic's model hierarchy from most to least capable (June 2026)?	Mythos 5 (restricted, 93.9% SWE-bench) > Fable 5 (GA premium, multi-day autonomous) > Opus 4.8 (GA high-end, adaptive thinking) > Sonnet 4.6 (GA workhorse, hybrid reasoning) > Haiku 4.5 (GA fast, 4-5x faster than Sonnet 4.5).	topic:anthropic,topic:claude,level:beginner,type:definition,source:research-summary
ANT002	What is the key innovation of Mythos 5?	Autonomous zero-day vulnerability discovery - finds vulnerabilities in every major OS/browser without human steering, including a 27-year-old OpenBSD bug. Scores 93.9% SWE-bench Verified, 94.6% GPQA Diamond. Restricted access through Project Glasswing only (~150 organizations).	topic:anthropic,topic:claude,level:intermediate,type:paper,source:research-summary
ANT003	What is Project Glasswing?	Consortium for AI-powered defensive cybersecurity. Partners: AWS, Apple, Cisco, CrowdStrike, Google, JPMorgan, Microsoft, NVIDIA, Palo Alto Networks. ~150 organizations in 15+ countries. >10,000 high/critical vulnerabilities found. First restricted-access model tier from a frontier lab.	topic:anthropic,level:intermediate,type:definition,source:research-summary
ANT004	What is "adaptive thinking" and how does it differ from "extended thinking"?	Extended thinking: explicit CoT with user-set budget, tokens visible to user. Adaptive thinking: auto-adjusts reasoning depth per query, always on (no manual configuration). Adaptive replaces manual budget-setting in newest models (Opus 4.8, Fable 5, Mythos 5).	topic:anthropic,topic:claude,topic:reasoning,level:intermediate,type:comparison,source:research-summary
ANT005	What is Fable 5's key capability that distinguishes it from Opus?	Multi-day autonomous work sessions. Plans across stages, delegates sub-agents, self-validates. Described as "senior research scientist grade." Same base model as Mythos 5 but safety-routed for general availability.	topic:anthropic,topic:claude,level:intermediate,type:definition,source:research-summary
ANT006	What is Opus 4.8's key innovation?	Adaptive thinking + code rigor. Auto-adjusts reasoning depth without user configuration. 4x fewer code flaws missed compared to previous versions. 61% cheaper than Opus 4.7. Best for complex reasoning + daily coding tasks.	topic:anthropic,topic:claude,level:intermediate,type:definition,source:research-summary
ANT007	What is Sonnet 4.6's positioning in the model lineup?	Hybrid reasoning (both extended AND adaptive thinking), 70% more token-efficient than predecessors, strong prompt injection resistance, near-Opus quality at 60% cost. The workhorse model for production workloads and real-time applications. 1M context.	topic:anthropic,topic:claude,level:beginner,type:definition,source:research-summary
ANT008	What is Haiku 4.5's value proposition?	4-5x faster than Sonnet 4.5, matches Sonnet 4 quality at 1/3 cost. Best for high-volume sub-agents and latency-critical applications. Still achieves 73.3% SWE-bench. Cheapest per-token option ($1/$5 per MTok, $0.50/$2.50 batch).	topic:anthropic,topic:claude,level:beginner,type:definition,source:research-summary
ANT009	What are the context window and output limits across Anthropic models?	Mythos/Fable 5: 1M input, 128K output. Opus 4.8: 1M input, 128K output. Sonnet 4.6: 1M input, 64K output. Haiku 4.5: 200K input, 64K output. All support vision.	topic:anthropic,topic:claude,level:beginner,type:comparison,source:research-summary
ANT010	What is the pricing structure for Anthropic models (per MTok output, June 2026)?	Fable 5: $50. Opus 4.8: $25. Sonnet 4.6: $15. Haiku 4.5: $5 (batch: $2.50). Relative: Fable=10x Haiku, Opus=5x Haiku, Sonnet=3x Haiku. Haiku batch is cheapest at $0.50 input / $2.50 output.	topic:anthropic,topic:claude,level:beginner,type:comparison,source:research-summary
ANT011	What is the cost-efficiency metric ($/SWE-bench %/MTok output) across models?	Haiku 4.5: $0.068 (best efficiency). Sonnet 4.6: $0.187. Opus 4.8: $0.301. Fable 5: $0.556 (highest absolute quality). Haiku offers best quality-per-dollar for tasks within its capability range.	topic:anthropic,topic:claude,level:intermediate,type:comparison,source:research-summary
ANT012	When should you choose Fable 5 over Opus 4.8?	Fable 5 for: multi-day autonomous projects requiring sustained planning, research tasks needing self-validation across stages, and tasks requiring sub-agent delegation over extended periods. Opus for: daily complex reasoning/coding within single sessions.	topic:anthropic,topic:claude,level:intermediate,type:tradeoff,source:practitioner
ANT013	What is the significance of Mythos being the first restricted-access model from a frontier lab?	Demonstrates capability withholding for safety - the model autonomously discovers zero-day vulnerabilities, so broad access poses risks. Deployed only through vetted partners in Project Glasswing. Sets precedent for tiered access based on capability danger level.	topic:anthropic,level:advanced,type:why,source:research-summary
ANT014	What benchmark scores define Mythos 5's frontier performance?	SWE-bench Verified: 93.9%. GPQA Diamond: 94.6%. Humanity's Last Exam (tools): 64.7%. CyberGym: 83.1%. Terminal-Bench 2.0: 82.0%. SWE-bench Pro: 77.8%. OSWorld-Verified: 79.6%. BrowseComp: 86.9%.	topic:anthropic,topic:claude,level:intermediate,type:definition,source:research-summary
ANT015	What Fable 5 partner benchmark achievements are notable?	SOTA on: CursorBench, FrontierBench, Finance (Hebbia), Analytics (Hex - first >90%), AutomationBench (Zapier), ViBench (Replit). Demonstrates broad real-world task mastery beyond academic benchmarks.	topic:anthropic,topic:claude,level:intermediate,type:definition,source:research-summary
ANT016	What is the tokenizer difference in newer Anthropic models?	Mythos/Fable 5 use a new tokenizer that produces 30-35% more tokens than the standard tokenizer used by Sonnet 4.6 and Haiku 4.5. This affects cost calculations - same text costs more tokens with new tokenizer.	topic:anthropic,topic:claude,level:intermediate,type:tradeoff,source:research-summary
ANT017	What is Opus 4.8's tool use overhead?	290 tokens overhead per tool use call. This is lower than standard overhead in other models. Important for agentic workloads with many tool calls where overhead accumulates significantly.	topic:anthropic,topic:claude,level:intermediate,type:definition,source:practitioner
ANT018	Which Anthropic models support extended thinking vs adaptive thinking?	Extended thinking only: Haiku 4.5, Opus 4.6, Sonnet 4.5. Adaptive thinking: Opus 4.8, Opus 4.7, Sonnet 4.6, Fable 5, Mythos 5. Sonnet 4.6 uniquely supports BOTH modes.	topic:anthropic,topic:claude,topic:reasoning,level:beginner,type:comparison,source:research-summary
