ID	Front	Back	Tags
WM001	What are world models in AI?	Internal learned models that predict how environments evolve in response to actions. They enable agents to "imagine" futures for planning without real-world interaction.	topic:world-models,level:beginner,type:definition,source:research-summary
WM002	What distinguishes a world model from a physics engine?	World models: learned from data, use compact latent state, action-conditioned. Physics engines: may be hand-coded, use full state representation, not necessarily action-conditioned. Both support planning.	topic:world-models,level:beginner,type:comparison,source:research-summary
WM003	What distinguishes a world model from a video generator?	World models are action-conditioned and support planning; video generators usually lack action conditioning and cannot be used for interactive planning. Both are learned from data.	topic:world-models,level:beginner,type:comparison,source:research-summary
WM004	What was the key insight from Ha and Schmidhuber (2018) "World Models" paper?	A controller trained entirely in an imagined world can transfer to reality, though larger models (~100M+ params) are typically needed for robust performance. Pioneered dream training with VAE + RNN architecture.	topic:world-models,paper:world-models,level:intermediate,type:paper,source:research-summary
WM005	What are the three paradigm shifts in world models (2023-2024)?	1) DreamerV3 proved one config works across 150+ domains (Nature 2024). 2) DIAMOND proved diffusion > discrete tokenization for agent performance (NeurIPS 2024). 3) V-JEPA proved predicting representations > predicting pixels (1.5-6x efficiency).	topic:world-models,level:intermediate,type:comparison,source:research-summary
WM006	What is the architecture evolution timeline for world models?	2018: VAE+RNN (Ha). 2019: RSSM (DreamerV1). 2021: Discrete RSSM (DreamerV2). 2023: Transformer (IRIS). 2023: Universal Sim (UniSim). 2024: Diffusion (DIAMOND). 2024: DiT (Sora). 2024: JEPA (V-JEPA). 2024: Foundation (Genie 2). 2025: Platform (Cosmos).	topic:world-models,level:intermediate,type:algorithm,source:research-summary
WM007	What is RSSM (Recurrent State Space Model) used in Dreamer?	Architecture combining stochastic and deterministic state components for world model dynamics. Enables continuous control by maintaining both uncertainty (stochastic) and memory (deterministic) about the environment state.	topic:world-models,paper:dreamerv3,level:intermediate,type:definition,source:research-summary
WM008	Why was discrete RSSM (DreamerV2) a breakthrough?	Switching from continuous Gaussian latent space to discrete categorical latent space enabled the first human-level Atari world model agent. Discrete representations proved more effective for planning in complex environments.	topic:world-models,paper:dreamerv3,level:intermediate,type:why,source:research-summary
WM009	What is DreamerV3's key achievement?	150+ tasks with a single configuration; first to collect diamonds in Minecraft without human data. Published in Nature 2024. Proved the general-purpose nature of world models using discrete RSSM architecture.	topic:world-models,paper:dreamerv3,level:intermediate,type:paper,source:research-summary
WM010	What is DIAMOND and why is it significant?	DIAMOND (NeurIPS 2024 Spotlight) uses diffusion for world model generation instead of discrete tokenization. Achieved HNS 1.46 (best on Atari). Key finding: visual fidelity directly impacts agent performance; diffusion > VQ-VAE tokenization by +40%.	topic:world-models,paper:diamond,level:intermediate,type:paper,source:research-summary
WM011	What is MuZero's contribution to world models?	MuZero (Nature 2020) achieved superhuman performance in Go, Chess, Shogi, and Atari WITHOUT knowing the game rules. Used a learned dynamics model to plan, unifying model-based planning (board games) and model-free RL (visual domains).	topic:world-models,paper:muzero,level:intermediate,type:paper,source:research-summary
WM012	What is IRIS and what did it demonstrate?	IRIS (ICLR 2023, Notable Top 5%) was the first Transformer-based world model competitive on Atari without lookahead search. Uses autoregressive latent tokens with VQ-VAE tokenization. Achieved HNS 1.046.	topic:world-models,paper:iris,level:intermediate,type:paper,source:research-summary
WM013	What is V-JEPA and LeCun's insight about representation prediction?	V-JEPA (Meta 2024) predicts representations rather than pixels, achieving 1.5-6x efficiency gains. Based on LeCun's 2022 position paper: discard unpredictable information and predict abstractions, not raw sensory data.	topic:world-models,paper:v-jepa,level:intermediate,type:paper,source:research-summary
WM014	What is Sora's contribution to world models?	Sora (OpenAI 2024) uses Diffusion Transformer (DiT) architecture with spacetime patches. Generates 60-second HD video with emergent 3D understanding and physics. Framed as "Video Generation Models as World Simulators."	topic:world-models,paper:sora,level:intermediate,type:paper,source:research-summary
WM015	What is Genie 2 and what does it achieve?	Genie 2 (DeepMind 2024) generates interactive 3D worlds from a single image using autoregressive latent diffusion. Achieves 1-minute consistency, action-controllable. Creates unlimited training environments for agents.	topic:world-models,paper:genie2,level:intermediate,type:paper,source:research-summary
WM016	What is NVIDIA's Cosmos?	Cosmos (NVIDIA 2025) is an open-weight World Foundation Model platform for physical AI. Positions world models as infrastructure layer for robotics and autonomous driving applications.	topic:world-models,level:intermediate,type:definition,source:research-summary
WM017	What is TD-MPC2 and its contribution to model-based RL scaling?	TD-MPC2 (ICLR 2024) is an implicit world model (no decoder) that scales to 317M parameters across 80 tasks. Discovered scaling laws for model-based RL, showing larger models systematically improve planning quality.	topic:world-models,paper:td-mpc2,level:advanced,type:paper,source:research-summary
WM018	What is R2I (Recall to Imagine) and what problem does it solve?	R2I (ICLR 2024) combines State Space Models with world models to solve long-term memory and credit assignment. Achieved superhuman performance on Memory Maze by enabling agents to recall distant past states.	topic:world-models,paper:r2i,level:advanced,type:paper,source:research-summary
WM019	What is GAIA-1 and what did it confirm about world model scaling?	GAIA-1 (Wayve) is a 9B+ parameter autonomous driving world model trained on 4,700 hours of London driving data. Confirmed that LLM-like scaling laws apply to world models -- more parameters and data systematically improve predictions.	topic:world-models,paper:gaia-1,level:intermediate,type:paper,source:research-summary
WM020	What is UniSim and its key achievement?	UniSim (DeepMind 2023) is a universal simulator conditioned on both actions and text. Achieved zero-shot sim-to-real transfer, enabling policies trained in the simulated world to work in reality without fine-tuning.	topic:world-models,paper:unisim,level:intermediate,type:paper,source:research-summary
