ID	Front	Back	Tags
RR001	What is the multi-stage recommendation pipeline architecture?	Retrieval (two-tower ANN, <10ms, ~1000 candidates) -> Scoring (DCN V2/DeepFM, 10-50ms, ~200 scored) -> Reranking (LLM semantic, 100-300ms, ~50 reranked, optional) -> Business Rules (diversity/policy, <5ms, final top-K).	topic:recommendation,topic:ranking,level:beginner,type:algorithm,source:research-summary
RR002	What is the "killer framing" for recommendation system evolution?	"The evolution from FTRL to deep learning to LLM-enhanced is not replacement but accumulation -- each layer serves where it adds unique value. The question is never 'which model' but 'which model at which stage for which latency budget.'"	topic:recommendation,topic:ranking,level:intermediate,type:why,source:research-summary
RR003	How does a two-tower model work for recommendation retrieval?	Two separate neural networks encode queries (user context) and items into the same d-dimensional embedding space. Relevance is approximated by dot product, enabling sub-linear ANN retrieval over millions of items. Item embeddings are pre-computed and indexed.	topic:recommendation,topic:retrieval,level:beginner,type:definition,source:research-summary
RR004	What is the fundamental limitation of two-tower models?	The representation bottleneck: all query-item interaction reduces to a single scalar (dot product). "Red running shoes" vs "red hiking boots" may score similarly because most embedding dimensions align. Token-level alignment is lost -- cross-attention captures this but cannot be pre-indexed.	topic:recommendation,topic:retrieval,level:intermediate,type:tradeoff,source:research-summary
RR005	What is FTRL and why is it still used in modern recommendation systems?	FTRL (Follow The Regularized Leader) is an online learning algorithm with per-coordinate learning rates and L1 sparsity for real-time model updates on billions of sparse features. Critical for auction systems where the world changes hourly. No neural architecture matches its speed + sparsity + online adaptivity for CTR prediction.	topic:recommendation,topic:ads,topic:ctr,level:intermediate,type:definition,source:research-summary
RR006	How do FTRL's per-coordinate learning rates work?	FTRL maintains per-feature accumulators n_i (sum of squared gradients). Effective learning rate = alpha / (beta + sqrt(n_i)). A rare feature (advertiser-keyword cross, updates once/day) gets much higher learning rate than a global CTR feature (updates millions of times). Critical when sparsity spans 6+ orders of magnitude.	topic:recommendation,topic:ads,level:advanced,type:formula,source:research-summary
RR007	How does FTRL achieve true sparsity?	At prediction time, FTRL checks if |z_i| <= lambda_1 -- if so, w_i = 0 exactly. This yields truly sparse models (90%+ zeros at serving time), critical for memory efficiency with billions of features. SGD and Adam produce small-but-nonzero weights; only L1 proximal gives exact zeros.	topic:recommendation,level:advanced,type:algorithm,source:research-summary
RR008	What is DeepFM and how does it differ from Wide & Deep?	DeepFM jointly trains a factorization machine (second-order interactions) and deep network (higher-order) with shared embeddings, eliminating manual feature engineering. Unlike Wide & Deep (requires manual cross features for wide component), DeepFM automates interaction discovery entirely.	topic:recommendation,topic:ctr,level:intermediate,type:comparison,source:research-summary
RR009	What is DCN V2 and how does it improve over DeepFM?	DCN V2 replaces DeepFM's fixed factorization with learnable cross layers: x_{l+1} = x_0 * (W_l * x_l + b_l) + x_l. Stacking L cross layers captures up to (L+1)-order interactions with O(d) params per layer. Adds mixture-of-experts and low-rank decomposition. Outperforms DeepFM on large-scale CTR benchmarks.	topic:recommendation,topic:ctr,level:intermediate,type:paper,source:research-summary
RR010	What is the in-batch negative sampling bias problem?	In-batch negatives are sampled proportional to item popularity (popular items appear in more batches). This teaches the model "popular items are irrelevant" -- opposite of reality. Yi et al. fix: corrected logit = s(q,i-) - log(p_j), where p_j is sampling probability.	topic:recommendation,topic:retrieval,level:intermediate,type:tradeoff,source:research-summary
RR011	What is log-Q correction for sampling bias?	Yi et al. (2019): subtract log(p_j) from negative logits, where p_j = count(j)/sum(counts). This ensures rare items are treated as "harder" negatives (they deserve higher penalty when incorrectly matched), debiasing toward uniform item distribution.	topic:recommendation,topic:retrieval,level:intermediate,type:formula,source:research-summary
RR012	What is the mixed negative sampling recipe for two-tower training?	70% in-batch negatives (with log-Q correction) + 20% hard negatives (top-K by embedding similarity, filtered by label) + 10% random (from global catalog, for calibration). Yang et al. showed mixed outperforms any single strategy by 4-6% Recall@K.	topic:recommendation,topic:retrieval,level:intermediate,type:algorithm,source:research-summary
RR013	Why are hard negatives important and what is the false-negative problem?	Hard negatives (similar embedding but different intent) force fine-grained discrimination -- 1 hard negative approximates 100 random negatives in gradient signal. Problem: a "hard negative" might actually be relevant but uninteracted. Mitigations: impression-based mining, confidence filtering, label smoothing (0.05-0.1).	topic:recommendation,topic:retrieval,level:intermediate,type:tradeoff,source:research-summary
RR014	What is position bias and the Position-Based Model (PBM)?	P(click | item, position) = P(relevant | item) * P(examine | position). Users click top positions regardless of relevance. Without correction, models learn "position 1 is good" rather than "this item is good." IPW weights each sample by 1/P(examine|position).	topic:recommendation,topic:ranking,level:intermediate,type:definition,source:research-summary
RR015	How does IPW correction work for position-biased training data?	Weight each training sample: w_k = 1/P(examine|position k). Click at position 1 (P(examine)~0.95) gets weight ~1.05. Click at position 8 (P(examine)~0.25) gets weight ~4.0. A click at position 8 is much more informative about true relevance (user made effort to look).	topic:recommendation,topic:ranking,level:intermediate,type:algorithm,source:research-summary
RR016	What is the IPW variance problem and how do you solve it?	Items at position 20 (P(examine)~0.05) get weight 20x, amplifying noise. Solution: clipped IPW -- w_k = min(1/P(examine|k), max_weight), typical max_weight=10-20. Trades some bias for much lower variance. Plot MSE vs clip threshold on held-out randomized data to find optimum.	topic:recommendation,topic:ranking,level:intermediate,type:tradeoff,source:research-summary
RR017	What are the three approaches to propensity estimation?	(1) Randomization (gold standard): shuffle 1-5% of results, measure position-dependent click rates. (2) Regression discontinuity: exploit natural position breaks (above/below fold). (3) EM algorithm: jointly estimate examination and relevance from observational data without randomization.	topic:recommendation,topic:ranking,level:intermediate,type:comparison,source:research-summary
RR018	How does multi-objective ranking balance conflicting goals?	Approaches: (1) Scalarization: weighted sum (simple but arbitrary). (2) Constrained optimization: maximize primary subject to thresholds on secondary (principled -- thresholds are business decisions). (3) MMR reranking: lambda*relevance - (1-lambda)*max_similarity (natural diversity). (4) Pareto set generation.	topic:recommendation,topic:ranking,level:intermediate,type:comparison,source:research-summary
RR019	Why is constrained optimization preferred over weighted scalarization for multi-objective ranking?	Scalarization weights are arbitrary, can't find non-convex Pareto solutions, and mix model decisions with business decisions. Constrained optimization separates: ML optimizes within constraints, business sets constraints (explicit thresholds). This organizational separation is critical in production.	topic:recommendation,topic:ranking,level:intermediate,type:why,source:practitioner
RR020	When does traditional ML outperform LLMs for ranking?	Traditional ML wins for: calibrated P(click) for auctions (LLMs don't calibrate), 100K candidates in <10ms (LLMs 1000x slower), tabular behavioral features, real-time adaptation (FTRL). LLMs win for: cold-start understanding, semantic query-item matching.	topic:recommendation,topic:ranking,level:intermediate,type:comparison,source:research-summary
RR021	What are the four LLM integration points for recommendation, ranked by ROI?	(1) Offline feature generation -- highest ROI, zero runtime cost, amortized once per item. (2) Query understanding -- medium ROI, adds 50-100ms for complex queries. (3) Reranking top-K -- high ROI but selective, adds 100-300ms. (4) Explanation generation -- medium ROI, cacheable.	topic:recommendation,topic:ranking,level:intermediate,type:comparison,source:practitioner
RR022	What is the cost argument against replacing the entire ranking stack with an LLM?	50M queries/day * $0.007/query (LLM on all) = $10.5M/month vs $450K/month for classical (20x cost increase). LLM yields <5% quality improvement on queries with behavioral data. Use LLMs where behavioral data fails (cold-start, semantic mismatch); classical where it excels (calibrated scoring at scale).	topic:recommendation,topic:ranking,level:intermediate,type:tradeoff,source:practitioner
