ID	Front	Back	Tags
CTI001	What is the Engineer/Manager Pendulum model and who proposed it?	Charity Majors' model arguing that alternating between engineering and management roles makes you better at both. It normalizes the CTO-to-IC transition as career development rather than retreat, framing management as a skill-building detour rather than a one-way promotion.	topic:career,topic:leadership,level:beginner,type:definition,source:practitioner
CTI002	What are the four Staff Engineer archetypes defined by Will Larson?	Tech Lead (guides a single team's execution), Architect (owns technical vision across multiple teams), Solver (parachutes into the hardest problems), Right Hand (extends an executive's reach on technical matters).	topic:career,topic:leadership,level:intermediate,type:definition,source:practitioner
CTI003	Which Staff Engineer archetype is the best fit for a transitioning CTO and why?	The Architect archetype is the most natural landing zone because it values exactly what CTOs accumulate: understanding how systems compose, where technical debt compounds, and which architectural bets pay off at scale. The Right Hand is also a very high fit.	topic:career,topic:leadership,level:intermediate,type:comparison,source:research-summary
CTI004	What is the Trident Model of career development?	Patrick Kua's three-track framework (IC, Management, Consultancy) enabling lateral transitions without perceived demotion. It rejects the traditional promotion ladder where management is always "up" and frames IC and management as parallel tracks of increasing scope.	topic:career,topic:leadership,level:beginner,type:definition,source:practitioner
CTI005	What are the two forms of leverage a CTO trades between when moving to IC?	Organizational leverage (influence through people) vs Technical leverage (influence through code and design). The CTO-to-IC transition trades breadth-of-impact via hierarchy for depth-of-impact via craft.	topic:career,topic:leadership,level:intermediate,type:comparison,source:research-summary
CTI006	What compensation range do Principal Engineers earn at FAANG companies (2025-2026)?	Principal Engineer (L7/E7) total comp: $500-820K. Distinguished Engineer (L8/E8): $780K-1.35M. This achieves parity with VP Engineering compensation, eliminating the financial penalty for leaving management.	topic:career,topic:investing,level:intermediate,type:definition,source:research-summary
CTI007	What are the three phases of the first 90 days credibility framework for an ex-CTO transitioning to IC?	Days 1-30: Prove you code (submit PRs, fix bugs, write tests). Days 31-60: Prove you scope (own a medium feature end-to-end, write RFCs). Days 61-90: Prove you lead technically (propose cross-cutting initiatives, mentor, present deep-dives).	topic:career,topic:leadership,level:advanced,type:algorithm,source:practitioner
CTI008	What is the number one failure mode of CTO-to-IC transitions?	Reverting to management habits (accounts for 60% of failures). Symptoms include spending >40% time in meetings/alignment. Prevention: hard boundary of max 20% non-coding time.	topic:career,topic:leadership,level:intermediate,type:tradeoff,source:research-summary
CTI009	How does the credibility accumulation model work for ex-CTOs?	Trust(t) = Sum(shipping_events x visibility) - Sum(management_behaviors x penalty). Management behaviors destroy trust 3-5x faster than code builds it. A single scheduling of a meeting triggers immediate "CTO-smell" flags.	topic:career,topic:leadership,level:advanced,type:formula,source:research-summary
CTI010	Which technical skills atrophy fastest during CTO tenure and which transfer directly?	Fastest atrophy: IDE/tooling fluency (6-12 months), language syntax (6-12 months). Transfers directly: system design judgment (actually improves as CTO), code review instinct (slow atrophy). Framework knowledge has medium atrophy (2-3 years).	topic:career,topic:leadership,level:intermediate,type:comparison,source:research-summary
CTI011	How do Google/Meta IC levels map to CTO experience?	L6/E6 (Staff): Junior CTO, 2-3 year tenure. L7/E7 (Principal): Mid-tenure CTO, 4-7 years. L8/E8 (Distinguished): Senior CTO, 8+ years at public company. L9/E9: Rare, requires industry-defining contributions.	topic:career,topic:leadership,level:intermediate,type:comparison,source:research-summary
CTI012	What is the "down-leveling trap" and how should ex-CTOs counter it?	Companies systematically down-level ex-executives by 1 level because they discount management experience. Counter: "Level me based on the scope of technical decisions I've made and their business impact, not on my most recent commit."	topic:career,level:advanced,type:tradeoff,source:practitioner
CTI013	What are the three channels of influence without authority for Staff+ IC roles?	1) Technical authority (your designs are adopted because they're better). 2) Relationship capital (built through helping others succeed). 3) Strategic communication (translating technical decisions into business impact).	topic:career,topic:leadership,level:advanced,type:definition,source:research-summary
CTI014	What is the optimal system design interview strategy for an ex-CTO?	First 5 min: Clarify requirements with business-savvy questions (CTO advantage). Middle 20 min: Go deep - write API contracts, discuss specific DB choices with performance numbers (prove IC depth). Final 5 min: Discuss operational concerns, team structure, evolution path (CTO advantage again).	topic:career,level:advanced,type:algorithm,source:practitioner
CTI015	What anti-pattern destroys credibility fastest in the first 90 days?	Scheduling "1:1s" with team members (you're not their manager), repeatedly saying "at my last company we did X," or volunteering for coordination work instead of building work. These signal displaced manager rather than IC.	topic:career,topic:leadership,level:intermediate,type:tradeoff,source:practitioner
CTI016	How has AI tooling changed the CTO-to-IC technical re-ramp timeline?	AI coding assistants (Copilot, Claude) compress the recovery timeline by 40-60%. They handle syntax recall, boilerplate generation, and API lookup - exactly the skills that atrophy fastest. What took 6 months in 2020 now takes 6 weeks.	topic:career,topic:automation,level:intermediate,type:comparison,source:research-summary
CTI017	What is the "killer interview framing" for a CTO-to-IC transition?	"I spent N years building the system that decides what to build; now I want to be the person who builds the hardest thing in the system - and I bring architectural judgment that pure-path ICs take a decade to develop."	topic:career,topic:leadership,level:intermediate,type:definition,source:practitioner
CTI018	When does the Engineer/Manager Pendulum model break down?	After 10+ years in pure management. Technical stacks may have changed generations (monolith to microservices to serverless). At that point, the transition requires a deliberate 6-12 month investment in retraining, closer to a career change than a pendulum swing.	topic:career,topic:leadership,level:advanced,type:tradeoff,source:practitioner
CTI019	What is the best predictor of CTO-to-IC transition success at a company?	Whether Distinguished/Principal engineers are genuinely more respected than Directors/VPs for technical decisions. Ask in interviews: "Who made the last major architecture decision - an IC or a manager?" If always a manager, the company won't support your transition.	topic:career,topic:leadership,level:advanced,type:why,source:research-summary
CTI020	What is the domain selection meta-principle for transitioning CTOs?	Choose the domain where "understanding the business context" is the primary differentiator, not "writing the fastest code." Platform and infrastructure roles are ideal because they require reasoning about the entire engineering organization's needs.	topic:career,topic:leadership,level:advanced,type:tradeoff,source:research-summary
CTI021	What is the T-shaped depth strategy for ex-CTOs?	Rather than going maximally deep in one narrow area (competing with 10-year specialists), develop moderate depth across 2-3 related areas that intersect. Example: "distributed systems + ML serving + cost optimization" - this combination is rare and leverages CTO breadth.	topic:career,topic:leadership,level:advanced,type:algorithm,source:research-summary
CTI022	How does the IC influence model formula differ from the CTO influence model?	IC: Influence = (Code Quality x Visibility) + (Design Quality x Adoption Rate) + (Mentorship x Recipient Success) + (Communication x Reach). CTO: Influence = (Positional Power x Org Size) + (Budget Control x Strategic Alignment) + (Information Asymmetry x Decision Frequency).	topic:career,topic:leadership,level:advanced,type:formula,source:research-summary
CTI023	What is the skill recovery framework formula for transitioning CTOs?	Recovery_time(skill) = Atrophy_years x Complexity_factor x (1 - Transfer_coefficient). Complexity_factor ranges from 0.5 (syntax) to 2.0 (novel paradigm). Transfer_coefficient ranges from 0.0 (no CTO relevance) to 0.8 (direct transfer like system design).	topic:career,level:advanced,type:formula,source:research-summary
CTI024	What is the 8-week coding prep schedule for ex-CTOs targeting Principal interviews?	Weeks 1-2: Easy problems (arrays, strings, hash maps). Weeks 3-4: Medium (trees, graphs, DP basics) 3 problems/day. Weeks 5-6: Medium-hard (graph algorithms, advanced DP) 2/day + mock. Weeks 7-8: Company-tagged problems + full mock interviews.	topic:career,level:intermediate,type:algorithm,source:practitioner
CTI025	What is the critical difference between Staff and Principal/DE framing of the CTO-to-IC transition?	Staff says: "I moved because I like coding better." Principal/DE says: "I optimized for the career configuration where my specific skills create maximum technical leverage - direct contribution at the architecture level."	topic:career,topic:leadership,level:advanced,type:comparison,source:research-summary
CTI026	What is the 90-day success metric for a CTO-to-IC transition?	If teammates come to you with TECHNICAL questions (not organizational ones), you've crossed the credibility threshold. If they still ask about process, hiring, or "what leadership thinks," you're still perceived as a displaced manager.	topic:career,topic:leadership,level:intermediate,type:definition,source:practitioner
CTI027	What is the behavioral story reframing formula for ex-CTOs in interviews?	CTO story: "I made the decision to rewrite the payment system." IC reframe: "I identified the payment system as a scaling risk, wrote the technical proposal with migration plan, implemented the core module, and guided two other engineers through the remaining work."	topic:career,level:intermediate,type:algorithm,source:practitioner
CTI028	What are the five failure modes of CTO-to-IC transitions with their frequencies?	1) Shadow managing (60% of failures). 2) Under-leveling acceptance (25%). 3) Wrong culture fit (15%). 4) Scope creep back to management. 5) Identity crisis from reduced visibility.	topic:career,topic:leadership,level:intermediate,type:definition,source:research-summary
CTI029	What is the optimal cost approach for compensation negotiation when targeting >$800K TC?	Buy specialized negotiation firm ($5-10K). ROI is 10-20x at this level. For lower targets, self-service using levels.fyi data is sufficient.	topic:career,topic:investing,level:intermediate,type:tradeoff,source:research-summary
CTI030	How does the Netflix single-level philosophy affect CTO-to-IC transitions?	Netflix treats all senior engineers as "Senior SWE" with broad scope expectations. No leveling gate exists, and compensation reflects experience ($600-900K+ TC for top performers). Ideal for ex-CTOs because there's no level anxiety, but the trade-off is no title progression signals for future roles.	topic:career,topic:leadership,level:advanced,type:comparison,source:research-summary
CTI031	What is the "glue work" concept and why do ex-CTOs naturally excel at it?	Tanya Reilly's framework for valuing cross-cutting technical leadership work (connecting systems, unblocking people, sharing context). Ex-CTOs excel because this leverages their organizational awareness. Warning: if it becomes >30% of time, you're drifting back toward management.	topic:career,topic:leadership,level:intermediate,type:definition,source:practitioner
CTI032	When should you choose a cold-switch vs warm-switch transition approach?	Cold-switch (resign, prep, interview): when current company lacks an IC ladder. Warm-switch (negotiate internal transfer): when company has strong dual-track culture. Internal transfer reduces risk because you're a known entity with known codebase.	topic:career,level:intermediate,type:comparison,source:research-summary
CTI033	What are the key monitoring metrics for a CTO-to-IC transition?	PRs merged/week (alert if <2 for 3 weeks), meeting hours/week (alert if >10), coding hours/day (alert if <4), design docs authored/month (alert if <1 after day 60), peer perception (alert if "still feels like a manager").	topic:career,topic:leadership,level:intermediate,type:algorithm,source:research-summary
CTI034	What is the domain evaluation scoring formula for transitioning CTOs?	Domain_score = w1 x CTO_transferability + w2 x Market_demand + w3 x Credibility_speed + w4 x Long_term_optionality. Weights vary by priority: fast transition favors w1=0.4, w3=0.3; maximum comp favors w2=0.4, w4=0.3.	topic:career,level:advanced,type:formula,source:research-summary
CTI035	What is the coherence degradation model for reasoning about code?	P(coherent_modification) approximately equals exp(-lambda x (L/L_critical)^2) where lambda is about 0.5 and L_critical is about 800 lines. At 630 lines P is approximately 0.89; at 1500 lines P drops to approximately 0.28. Coherence degrades superlinearly with codebase size.	topic:career,topic:automation,level:advanced,type:formula,source:research-summary
CTI036	Why is accepting "we'll figure out your scope" dangerous for transitioning CTOs?	Ambiguous scope is a management trap disguised as flexibility. CTOs who accept this fail fastest because the organization will naturally pull them into management activities. Explicit role boundaries should be in the offer letter.	topic:career,topic:leadership,level:intermediate,type:why,source:practitioner
CTI037	What distinguishes Principal from Staff in how they talk about domain selection?	Staff: "I picked this domain because it's hot." Principal: "I picked this domain because my CTO context in adjacent systems gives me an unfair advantage that pure-domain specialists lack."	topic:career,topic:leadership,level:advanced,type:comparison,source:research-summary
CTI038	Is the CTO-to-IC transition reversible?	Yes - the pendulum swings both ways. 2-3 years as a Principal IC makes you a stronger CTO candidate (deeper technical credibility, refreshed skills). The only scenario where reversal is hard: if you took a significant down-level, which signals "couldn't hack it" to future exec recruiters.	topic:career,topic:leadership,level:intermediate,type:tradeoff,source:practitioner
CTI039	What are the four practical patterns for building IC influence as an ex-CTO?	1) Write the first draft (own the initial frame of RFCs). 2) Build the coalition before the meeting (share drafts 1:1). 3) Make others successful (review code generously, unblock people). 4) Communicate up without managing up (represent engineering priorities to leadership).	topic:career,topic:leadership,level:advanced,type:algorithm,source:research-summary
CTI040	What is the equity negotiation advantage ex-CTOs have?	Understanding cap tables, vesting schedules, and equity valuation from the executive side. Use this to: negotiate RSU refresh cycles that compound, ask for signing bonuses bridging year-1 equity gaps, and at startups negotiate advisor-class equity on top of IC-level grants.	topic:career,topic:investing,level:advanced,type:tradeoff,source:practitioner
