ID	Front	Back	Tags
AON-001	What is the core pattern of LLM-for-non-agentic-systems?	LLM reasons about goals and constraints at the "strategic" level, then issues commands to deterministic, safety-critical execution layers that cannot be LLM-based (robots, AVs, industrial automation, drones).	topic:orchestration,topic:system-design,level:beginner,type:definition,source:research-summary
AON-002	What is the core architectural question for LLMs in non-agentic systems?	How much authority does the LLM planner have over the physical execution? The spectrum ranges from advisory (suggest only) to direct planning (output trajectories).	topic:orchestration,level:intermediate,type:why,source:research-summary
AON-003	What is the "killer insight" about LLMs in physical systems?	The LLM is the "brain" that reasons about goals, constraints, and context but NEVER directly controls actuators. A safety-certified execution layer always mediates. Architecture: LLM (slow, smart, fallible) -> Safety filter -> Controller (fast, simple, reliable).	topic:orchestration,topic:system-design,level:intermediate,type:definition,source:research-summary
AON-004	Name the three levels of the authority spectrum for LLMs in non-agentic systems.	(1) Advisory — LLM suggests, human/system approves; (2) Task decomposition — LLM commands primitives, safety filter checks; (3) Direct planning — LLM outputs trajectories, safety envelope constrains.	topic:orchestration,level:beginner,type:comparison,source:research-summary
AON-005	What is SayCan and what pattern does it establish?	Ahn et al. (2022): LLM proposes skill sequences, an affordance model filters infeasible ones, then the robot executes pre-validated skill primitives. Establishes the canonical "LLM proposes + physical system constrains" pattern.	topic:robotics-planning,paper:saycan,level:intermediate,type:paper,source:research-summary
AON-006	What is "Code as Policies" and how does it connect LLMs to robots?	Liang et al. (2023): LLM writes executable Python code calling robot/system APIs from natural language instructions — turning language into runnable control code.	topic:robotics-planning,level:intermediate,type:paper,source:research-summary
AON-007	What key transition did Stage 1 (NL Interface to Classical Systems) represent?	Natural language becomes an interface to classical control systems. The LLM translates intent into commands the system already knows how to execute. The execution layer is unchanged; safety is preserved because primitives are pre-validated.	topic:robotics-planning,topic:orchestration,level:intermediate,type:why,source:research-summary
AON-008	What is the Eureka approach to LLM-for-robotics?	NVIDIA (Ma et al., 2024): LLM auto-generates reward functions for robot RL and iterates on reward design based on training outcomes — eliminating manual reward engineering.	topic:robotics-planning,paper:eureka,level:intermediate,type:paper,source:research-summary
AON-009	What is the Language-to-Reward approach?	Yu et al. (2024, Google): LLM converts natural language task descriptions into formal reward specifications for MPC/trajectory optimization controllers.	topic:robotics-planning,level:intermediate,type:paper,source:research-summary
AON-010	Why is "LLM designs objectives, classical optimizer executes" a powerful pattern?	(1) LLM captures nuanced human intent that's hard to formalize manually; (2) Execution remains fully classical and verifiable (MPC, trajectory optimization, RL); (3) LLM never touches the execution loop — only shapes what the executor optimizes for.	topic:robotics-planning,topic:orchestration,level:intermediate,type:why,source:research-summary
AON-011	What key transition did Stage 2 (LLM-Generated Objectives) represent?	The LLM's role shifts from "translate commands" to "design objectives." The model specifies WHAT to optimize (reward/cost functions) while classical systems handle HOW to execute.	topic:robotics-planning,level:intermediate,type:why,source:research-summary
AON-012	What is ELLM (Exploration via LLM)?	LLM suggests exploration goals for RL agents; the agent learns to achieve them via classical RL. The LLM provides high-level direction without controlling low-level behavior.	topic:robotics-planning,level:intermediate,type:definition,source:research-summary
AON-013	What common-sense reasoning do LLMs bring to autonomous driving?	Understanding social context: ambulance approaching, construction worker waving, pedestrian hesitating — situations that rule-based systems encode poorly. The LLM ADVISES the planner but the MPC still makes final trajectory decisions.	topic:autonomous-driving,level:intermediate,type:why,source:research-summary
AON-014	What is DriveGPT4?	Xu et al. (2023): An LLM that interprets driving scenarios and explains decisions in natural language — bringing interpretability to AV decision-making.	topic:autonomous-driving,level:intermediate,type:paper,source:research-summary
AON-015	What is LanguageMPC?	LLM generates driving constraints in natural language ("slow down near school zone") which are then converted into formal constraints that an MPC controller satisfies.	topic:autonomous-driving,level:intermediate,type:definition,source:research-summary
AON-016	What key transition did Stage 3 (LLM as Scenario Reasoner for AV) represent?	LLMs bring common-sense reasoning to autonomous driving. The LLM advises the planner about social context, but the MPC/planner still makes the final trajectory decision within safety bounds.	topic:autonomous-driving,level:intermediate,type:why,source:research-summary
AON-017	What is EMMA (Waymo) and why is it significant?	End-to-End Multimodal Model for Autonomous Driving (2024-2025): A multimodal LLM that processes camera/lidar sensor data and directly outputs future trajectory waypoints — the LLM IS the motion planner.	topic:autonomous-driving,paper:emma,level:advanced,type:paper,source:research-summary
AON-018	What is DriveVLM?	Tian et al. (2025): A VLM that reasons about driving scenes in natural language BEFORE outputting planning decisions — combining linguistic reasoning with trajectory generation.	topic:autonomous-driving,level:intermediate,type:paper,source:research-summary
AON-019	What safety mechanisms does VLM-as-motion-planner require?	(1) Safety envelopes that reject physically dangerous trajectories; (2) Fallback to classical planner if VLM output is out-of-bounds; (3) Runtime monitoring of trajectory quality.	topic:autonomous-driving,topic:system-design,level:advanced,type:definition,source:research-summary
AON-020	What key transition did Stage 4 (VLM as Direct Motion Planner) represent?	The LLM moves from "advisor" to "planner" — directly outputting trajectories that the vehicle follows. This is the most aggressive integration: the model IS the motion planner, requiring robust safety verification.	topic:autonomous-driving,level:advanced,type:why,source:research-summary
AON-021	How does LLM fleet-level orchestration work?	Central LLM assigns tasks across a robot/drone/vehicle fleet based on capabilities, location, and workload. Each unit executes independently with its own controller, maintaining independent safety guarantees.	topic:fleet-coordination,topic:orchestration,level:intermediate,type:definition,source:research-summary
AON-022	What key transition did Stage 5 (Multi-System Coordination) represent?	The LLM orchestrates at the FLEET level — assigning goals, balancing load, resolving conflicts — while each execution unit operates independently. Mirrors human management: manager decides WHAT, workers decide HOW.	topic:fleet-coordination,topic:orchestration,level:intermediate,type:why,source:research-summary
