ID	Front	Back	Tags
RLM001	What is the fundamental paradigm shift that reasoning LLMs represent?	Reasoning LLMs shift computation from training time to inference time - models learn to "think" through multi-step chains before answering, trading tokens for accuracy. This makes test-time compute allocation the core architectural decision: how much reasoning budget to spend per query.	topic:reasoning,level:beginner,type:definition,source:research-summary
RLM002	What are the three main approaches to allocating test-time compute for reasoning?	1) Breadth: sample multiple independent paths and vote (self-consistency). 2) Depth: extend reasoning chains with more sequential steps. 3) PRM-guided search: use process reward models to prune unpromising branches. Easy problems need breadth, hard problems need depth.	topic:reasoning,level:intermediate,type:algorithm,source:research-summary
RLM003	What is chain-of-thought (CoT) prompting and what are its key results?	CoT prompting elicits step-by-step reasoning by providing exemplars with intermediate steps. On GSM8K with PaLM 540B: standard prompting 18%, zero-shot CoT 43%, few-shot CoT 57%, self-consistency 74%. Effectiveness scales with model size - below ~100B params, CoT often hurts.	topic:reasoning,paper:chain-of-thought,level:beginner,type:paper,source:research-summary
RLM004	Why does chain-of-thought prompting fail on smaller models (<100B parameters)?	Smaller models lack capacity to generate coherent multi-step reasoning. They produce plausible-looking but logically inconsistent steps, and errors compound across the chain. CoT introduces noise rather than structure below the ~60-100B parameter threshold.	topic:reasoning,level:intermediate,type:why,source:research-summary
RLM005	How does self-consistency improve over single-pass chain-of-thought?	Self-consistency samples k diverse reasoning paths (T=0.7-1.0) and majority-votes on final answers. Correct answers are reachable via multiple valid paths, while incorrect answers follow unique error patterns. k=1 to k=5 gives largest improvement; k>40 rarely helps. GSM8K: 57% (single CoT) to 74%.	topic:reasoning,paper:self-consistency,level:intermediate,type:algorithm,source:research-summary
RLM006	When does self-consistency fail, and what replaces it?	Self-consistency fails when: 1) the model cannot generate any correct paths (problem exceeds capability), or 2) incorrect paths converge on the same wrong answer (systematic bias). In these cases, PRM-guided tree search is needed - it actively evaluates and prunes reasoning steps.	topic:reasoning,level:intermediate,type:tradeoff,source:research-summary
RLM007	What are Process Reward Models (PRMs) and how do they differ from Outcome Reward Models (ORMs)?	PRMs assign scores to each intermediate reasoning step, enabling step-level verification and error localization. ORMs only score the final answer. PRM advantage grows with reasoning length: 1-3 steps ORM matches PRM; 4-7 steps PRM +8-12%; 8+ steps PRM +15-25%.	topic:reasoning,paper:lets-verify-step-by-step,level:intermediate,type:comparison,source:research-summary
RLM008	How can you train a PRM without expensive human step-level annotations?	Monte Carlo estimation: for each step in a solution, generate N random completions from that point. The step's correctness score = fraction reaching correct final answer. This converts outcome verification (cheap) into step-level signal at cost of O(steps * N) generations. Typical N=32-100.	topic:reasoning,level:advanced,type:algorithm,source:research-summary
RLM009	What is GRPO and why did DeepSeek choose it over PPO?	GRPO (Group Relative Policy Optimization) eliminates PPO's critic network by sampling G completions per prompt and normalizing advantages within each group: A(x,y_i) = (R(x,y_i) - mean) / std. Saves ~33% memory, eliminates critic hyperparameter sensitivity, converges faster for verifiable domains.	topic:reasoning,paper:deepseek-r1,level:advanced,type:algorithm,source:research-summary
RLM010	What is the GRPO advantage formula and why does group normalization matter?	A(x,y_i) = (R(x,y_i) - mu_G) / sigma_G where mu_G and sigma_G are group mean/std of rewards. Without sigma normalization, prompts with high-variance rewards dominate gradients. Normalization equalizes contribution across prompts regardless of reward scale or problem difficulty.	topic:reasoning,paper:deepseek-r1,level:advanced,type:formula,source:research-summary
