ID	Front	Back	Tags
RFL-001	What does GRPO eliminate compared to PPO?	The value function (critic network); uses group mean/std as baseline instead, saving ~50% memory overhead	topic:grpo,type:definition,level:beginner,paper:deepseek-r1,source:research-summary
RFL-002	What is the central architectural question across all RL-for-LLM techniques?	What provides the reward signal: humans (RLHF), preferences (DPO), verification (RLVR), or self-reflection (ReST/RHO)	topic:rlhf,topic:dpo,topic:rlvr,type:why,level:intermediate,source:research-summary
RFL-003	What are the 9 evolutionary stages of RL for LLMs?	RLHF; Preference Optimization; RL for Reasoning; Reflection; Self-Training; Harness Optimization; Reflection+RL; World Models; Reflection Router (open)	topic:rlhf,type:definition,level:beginner,source:research-summary
RFL-004	What did InstructGPT establish?	The three-stage post-training recipe: SFT then Reward Model then PPO — the canonical RLHF pipeline	topic:rlhf,topic:ppo,type:paper,level:beginner,paper:instructgpt,source:research-summary
RFL-005	What did Constitutional AI introduce?	AI-generated critiques replacing human annotation; self-critique + RLAIF at scale, proving no human harm labels are needed	topic:constitutional-ai,type:paper,level:beginner,paper:constitutional-ai,source:research-summary
RFL-006	What is DPO's core insight?	The policy IS the reward model implicitly; a closed-form preference loss eliminates PPO entirely by exploiting the KL-constrained RLHF objective's closed-form solution	topic:dpo,type:definition,level:intermediate,paper:dpo,source:research-summary
RFL-007	Compare DPO vs PPO	DPO: single supervised loss, no RL infra, offline, bounded by static data. PPO: on-policy, reward model needed, flexible reward shaping, can exceed data ceiling	topic:dpo,topic:ppo,type:comparison,level:intermediate,source:research-summary
RFL-008	What does IPO fix about DPO?	DPO's saturation pathology via a squared hinge loss; more robust to intransitive preferences that violate Bradley-Terry	topic:dpo,type:paper,level:intermediate,source:research-summary
RFL-009	What does ORPO eliminate that DPO still requires?	The reference model — ORPO folds preference optimization into the SFT loss itself	topic:dpo,type:paper,level:intermediate,source:research-summary
RFL-010	What is SimPO's approach to preference optimization?	Reference-free reward using average log-probability; the simplest formulation of preference optimization	topic:dpo,type:paper,level:intermediate,source:research-summary
RFL-011	What is KTO's innovation for preference optimization?	Applies prospect theory — losses loom larger than gains; uses asymmetric weighting of good/bad responses without needing paired comparisons	topic:dpo,type:paper,level:intermediate,source:research-summary
RFL-012	What key transition happened in Stage 2 (Preference Optimization)?	RL infrastructure collapsed from 3 stages (SFT + RM + PPO) to a single supervised loss	topic:dpo,type:why,level:intermediate,source:research-summary
RFL-013	What did DeepSeek-R1 demonstrate about pure RL?	Pure RL (GRPO) produces emergent long-chain reasoning including self-verification, backtracking, and "aha moments" without human demonstrations of reasoning	topic:grpo,type:paper,level:intermediate,paper:deepseek-r1,source:research-summary
RFL-014	What is RLVR (RL with Verifiable Rewards)?	Replaces noisy human feedback with deterministic verification — math correctness, code execution, proof checking — producing more reliable reasoning	topic:rlvr,type:definition,level:beginner,source:research-summary
RFL-015	What key transition happened in Stage 3 (RL for Reasoning)?	RL reward signal shifted from subjective human preference to objective verification; models discovered reasoning strategies through RL alone	topic:rlvr,topic:grpo,type:why,level:intermediate,source:research-summary
RFL-016	Why does the value function V(s) exist in actor-critic methods?	It serves as a variance-reducing baseline for policy gradients; raw REINFORCE has prohibitively high variance for LLMs (32K+ token sequences, 100K vocab)	topic:ppo,type:why,level:advanced,source:research-summary
RFL-017	What is GRPO's advantage formula?	A_i = (r_i - mean(r_group)) / std(r_group) — an empirical group statistic replacing the learned neural critic	topic:grpo,type:formula,level:advanced,paper:deepseek-r1,source:research-summary
RFL-018	What is the lineage of critic-free policy optimization before GRPO?	REINFORCE (1992, raw returns); REINFORCE + running avg; Reward-weighted regression (2007); RLOO leave-one-out (2024); GRPO group mean/std (2025)	topic:grpo,type:algorithm,level:advanced,source:research-summary
RFL-019	What is GRPO's tradeoff vs PPO?	G forward passes per prompt (compute cost) instead of one critic pass (memory + learned approximation)	topic:grpo,topic:ppo,type:tradeoff,level:intermediate,source:research-summary
RFL-020	What is Reflexion's core mechanism?	Run then Reflect then Retry; verbal reflections stored in episodic memory — called "verbal reinforcement learning"	topic:reflection,type:definition,level:beginner,source:research-summary
RFL-021	What key transition happened in Stage 4 (Reflection)?	Improvement moved from training-time to inference-time; models critique own outputs and improve in-context without weight updates	topic:reflection,type:why,level:intermediate,source:research-summary
RFL-022	What does ReST (Reinforced Self-Training) do?	Generate then Filter then Train loop: creates self-generated datasets with quality filtering for SFT	topic:self-training,type:definition,level:beginner,source:research-summary
RFL-023	What does Re-ReST add to ReST?	Trajectory then Reflection then Corrected Trajectory then SFT; recovers value from failures by using reflections to fix bad trajectories	topic:self-training,type:paper,level:intermediate,source:research-summary
RFL-024	What key transition happened in Stage 5 (Self-Training)?	Reflections become permanent model improvements via SFT rather than ephemeral context-only improvements	topic:self-training,type:why,level:intermediate,source:research-summary
RFL-025	What is Retrospective Harness Optimization (RHO)?	Trajectory then Reflection then Prompt Patch then Regression Test then Deploy — improves the surrounding system without changing model weights	topic:rlhf,type:definition,level:intermediate,source:research-summary
RFL-026	Compare Harness Optimization vs Weight Updates	Harness: minutes to deploy, ~$0, git revert, bounded by model capability, low risk. Weights: days to train, $1K-$1M, checkpoint rollback, can exceed ceiling, high risk	topic:rlhf,type:comparison,level:intermediate,source:research-summary
RFL-027	What did SCFT + RLERR introduce?	Made reflection quality a learnable skill; SCFT (Self-Critique Fine-Tuning) + RLERR (RL with Effective Reflection Rewards) — model learns when and how to reflect	topic:reflection,topic:rlhf,type:paper,level:intermediate,source:research-summary
RFL-028	What do world models (DreamerV3, MuZero) offer for LLM agents?	Plan by imagining consequences rather than trial-and-error; predicting action outcomes internally before executing — orders-of-magnitude more sample efficient	topic:rlhf,type:definition,level:intermediate,source:research-summary
RFL-029	What is the Reflection Router concept?	A meta-classifier that routes each reflection to the optimal improvement channel: Harness (prompts/tools), SFT (corrected demos), or RL (reward signal)	topic:reflection,type:definition,level:advanced,source:research-summary
RFL-030	How does the reward signal cost evolve across RL-for-LLM stages?	Human annotators ($1/comparison) then Learned RMs ($0.01/score) then Deterministic verifiers ($0.001) then Self-reflections ($0) then World-model imagination ($0)	topic:rlhf,type:why,level:intermediate,source:research-summary
RFL-031	Describe the simplification arc from PPO to GRPO	PPO (critic, replay buffer, KL tuning, RM serving); DPO (single loss, reference model); SimPO/ORPO (single loss, no reference); GRPO (no critic, no RM, only verifier)	topic:grpo,topic:dpo,topic:ppo,type:comparison,level:intermediate,source:research-summary
RFL-032	What is the verification bottleneck in self-improvement?	Self-improvement without verification is self-delusion; every stage depends on a verification mechanism whose reliability limits improvement quality	topic:rlhf,type:why,level:intermediate,source:research-summary
RFL-033	What are the multi-channel improvement timescales?	Seconds: working memory (retry); Minutes: prompts/tools (harness); Hours: skill libraries; Days: model weights (SFT); Weeks: architecture (human redesign)	topic:rlhf,type:definition,level:intermediate,source:research-summary
RFL-034	Why was RLHF insufficient, motivating DPO?	PPO is complex (critic, replay buffer, KL tuning), expensive, and prone to reward hacking; DPO simplifies to a single supervised loss	topic:rlhf,topic:dpo,type:why,level:intermediate,source:research-summary
RFL-035	How do traditional RL assumptions break for LLMs?	100K vocab makes Q(s,a) intractable; 1000+ token sequences need variance reduction; only final output gets judged; generation is expensive; human reward doesn't scale	topic:rlhf,topic:ppo,type:why,level:advanced,source:research-summary
RFL-036	Are on-policy/off-policy and model-free/model-based the same axis?	No, they are orthogonal. On/off-policy = whose data you learn from. Model-free/based = whether you learn environment dynamics. All 4 combinations exist	topic:ppo,type:definition,level:intermediate,source:research-summary
RFL-037	Classify DPO on the on/off-policy and model-free/based axes	DPO is off-policy (trains on static dataset from a different policy) and model-free (no learned dynamics model)	topic:dpo,type:definition,level:intermediate,source:research-summary
RFL-038	Classify GRPO on the on/off-policy and model-free/based axes	GRPO is on-policy (samples from current policy) and model-free (no learned dynamics model)	topic:grpo,type:definition,level:intermediate,source:research-summary
RFL-039	What is the "killer insight" of the RL-for-LLMs field trajectory?	The field's trajectory is a single arc: removing humans from the reward loop; each stage automates one more piece but introduces new failure modes	topic:rlhf,type:why,level:beginner,source:research-summary
RFL-040	What did the "Learning to Summarize from Human Feedback" paper establish?	First modern RLHF paper (2020): human preference collection then reward models then PPO for language models	topic:rlhf,type:paper,level:beginner,source:research-summary
RFL-041	What does Voyager contribute to harness optimization?	Skill libraries built through exploration; lifelong learning with automatic curriculum — agent improves without weight changes	topic:reflection,type:paper,level:intermediate,source:research-summary
RFL-042	What does UnityMAS-O introduce?	General RL framework for LLM-based multi-agent systems; treats workflows (not isolated responses) as the optimization unit with role-specific credit assignment	topic:rlhf,type:paper,level:advanced,source:research-summary
RFL-043	What does "compiling agentic workflows into LLM weights" achieve?	Near-frontier quality at ~100x less cost by embedding orchestration workflows directly into fine-tuned model weights ("subterranean agents")	topic:sft,type:paper,level:advanced,source:research-summary
RFL-044	When should you choose GRPO/RLVR?	When you have verifiable tasks (math, code) and want reasoning depth without human annotation	topic:grpo,topic:rlvr,type:tradeoff,level:beginner,source:research-summary
RFL-045	When should you choose DPO/SimPO?	When you have preference data but limited compute for PPO infrastructure	topic:dpo,type:tradeoff,level:beginner,source:research-summary
RFL-046	When should you choose Harness optimization?	When you cannot fine-tune the model but control the surrounding system (prompts, tools, workflows)	topic:rlhf,type:tradeoff,level:beginner,source:research-summary
RFL-047	What is the /std term's role in GRPO's advantage formula?	Normalizes across varying prompt difficulty — easy prompts (high mean) and hard prompts (low mean) get comparable advantage magnitudes	topic:grpo,type:why,level:advanced,paper:deepseek-r1,source:research-summary
RFL-048	What emergent behaviors appeared in DeepSeek-R1's pure RL training?	Self-reflection ("wait, let me reconsider"), verification ("let me check this step"), and dynamic strategy switching — none demonstrated in training data	topic:grpo,type:paper,level:intermediate,paper:deepseek-r1,source:research-summary
RFL-049	Why can't you skip SFT when few-shot prompting is already competitive?	You can — SFT stage can be skipped, saving data collection cost with minimal quality loss (practitioner observation from OpenAI talks)	topic:sft,type:tradeoff,level:intermediate,source:practitioner
RFL-050	What is the fundamental scalability bottleneck in human evaluation?	As models become more capable, complex tasks (code review, research) take too long for labelers, making human evaluation infeasible	topic:rlhf,type:why,level:intermediate,source:practitioner
RFL-051	What is the solution to the evaluation scalability bottleneck?	ML systems that help people evaluate other ML systems — foreshadowing RLAIF and Constitutional AI	topic:constitutional-ai,type:why,level:intermediate,source:practitioner
RFL-052	What is early reward hacking?	Powerful models finding deceptive ways to generate outputs at high score — optimizing what sounds good rather than actual quality	topic:rlhf,topic:reward-models,type:definition,level:intermediate,source:practitioner
RFL-053	Why is process-level supervision more robust than outcome rewards?	Decomposing tasks into observable steps makes it harder to game; end-to-end outcome rewards allow shortcut exploitation on complex tasks	topic:reward-models,type:why,level:intermediate,source:practitioner
RFL-054	What breaks in PPO without the value function?	Cannot compute GAE advantages; reverts to high-variance REINFORCE; training destabilizes	topic:ppo,type:why,level:advanced,source:research-summary
RFL-055	What is the evolutionary lineage from Q-learning to RLVR?	Q-learning then DQN then REINFORCE then PPO then PPO-for-LLMs (RLHF) then DPO then GRPO then RLVR; each removes complexity that's a liability for text	topic:rlhf,topic:ppo,topic:grpo,type:algorithm,level:advanced,source:research-summary
