ID	Front	Back	Tags
RL-001	What is RLGym?	The only RL environment for training bots to play Rocket League — a 3D physics-based car soccer game with continuous action spaces	topic:rl-environments,type:definition,level:beginner,source:research-summary
RL-002	What level did the Nexto bot reach in Rocket League?	Grand Champion 1, top 0.12% of players in 1v1 (2023)	topic:rl-environments,type:definition,level:beginner,source:research-summary
RL-003	What training approach did Nexto use?	Behavioral cloning from human replays (inspired by OpenAI's Video PreTraining) combined with PPO reinforcement learning — mirroring the SFT then RL pipeline in LLMs	topic:ppo,topic:sft,type:algorithm,level:intermediate,source:research-summary
RL-004	How fast is RocketSim's physics simulation?	114K ticks/sec, approximately 10 days of game time per minute of wall-clock time	topic:rl-environments,type:definition,level:beginner,source:research-summary
RL-005	What is Gymnasium and what role does it play in RL?	Farama Foundation's standard single-agent RL API (12K GitHub stars); the de facto standard for any RL research	topic:rl-environments,type:definition,level:beginner,source:research-summary
RL-006	What is the key trend connecting game RL and LLM RL?	Both use the same "pretrain then RL" pattern — game RL's behavioral cloning then PPO mirrors LLM's SFT then RLHF; the difference is just the environment (physics sim vs token generation)	topic:ppo,topic:sft,topic:rlhf,type:why,level:intermediate,source:research-summary
RL-007	What are the three main LLM post-training RL frameworks and their stars?	veRL (ByteDance, 21.9K stars, HybridFlow); TRL (HuggingFace, 18.6K, GRPO/DPO/SFT); NeMo-RL (NVIDIA, 1.7K, Ray-based)	topic:rl-environments,type:definition,level:beginner,source:research-summary
RL-008	What speedup does JaxMARL achieve and how?	12,500x speedup via JAX vectorization (NeurIPS 2024)	topic:rl-environments,type:definition,level:intermediate,source:research-summary
RL-009	What is PettingZoo?	The de facto multi-agent RL (MARL) API standard from Farama Foundation (3.4K stars); framework-agnostic	topic:rl-environments,type:definition,level:beginner,source:research-summary
RL-010	What did AlphaStar achieve?	Grandmaster level in StarCraft (top 0.2%) using multi-agent league training	topic:rl-environments,type:definition,level:beginner,source:research-summary
RL-011	What did OpenAI Five achieve?	Beat Dota 2 world champions OG using 128K CPUs and 180 years of gameplay per day	topic:rl-environments,type:definition,level:beginner,source:research-summary
RL-012	What did Meta's Cicero achieve?	Top 10% human performance in Diplomacy by combining NLP + game theory	topic:rl-environments,type:definition,level:beginner,source:research-summary
RL-013	Why use MARL for advertising instead of single-agent RL?	Traditional RL assumes static environment but advertisers react to each other; MARL captures strategic interactions, non-stationarity, and enables collusion prevention via mechanism design	topic:rl-environments,type:why,level:intermediate,source:research-summary
RL-014	What is the mean-field approximation strategy for scaling MARL to millions?	Group millions of advertisers by objective type, model the aggregate distribution, optimize against the distribution rather than N-1 individuals	topic:rl-environments,type:algorithm,level:intermediate,source:research-summary
RL-015	What result did MAAB achieve for advertising?	Mean-field MARL scales to millions of advertisers; bar agents prevent collusion (WSDM 2022, Alibaba)	topic:rl-environments,type:paper,level:intermediate,source:research-summary
RL-016	What real A/B test result did QGA achieve?	3.27% Ad GMV increase in production (2026)	topic:rl-environments,type:paper,level:intermediate,source:research-summary
RL-017	Compare Isaac Lab vs MuJoCo for robotics RL	Isaac Lab: GPU-accelerated (NVIDIA, 7.4K stars), best for sim-to-real at scale. MuJoCo: CPU physics (DeepMind, 13.8K stars), best for locomotion research	topic:rl-environments,type:comparison,level:beginner,source:research-summary
RL-018	What framework do you use for 100K-1M+ agents?	MAgent2 (Farama Foundation, 333 stars) — the only framework designed for this scale	topic:rl-environments,type:definition,level:intermediate,source:research-summary
RL-019	What is HARL and what guarantee does it provide?	Heterogeneous-Agent RL (PKU, JMLR 2024); provides monotonic improvement guarantees for mixed agent types	topic:rl-environments,type:paper,level:intermediate,source:research-summary
RL-020	What is Brax and its key advantage?	Google's JAX-based physics engine (3.2K stars); enables massively parallel simulations (millions of steps/sec on TPU)	topic:rl-environments,type:definition,level:beginner,source:research-summary
RL-021	What scale framework selection guide applies to 2-20 agents?	PettingZoo, EPyMARL, SMAC, JaxMARL, HARL	topic:rl-environments,type:definition,level:beginner,source:research-summary
RL-022	What emerged from OpenAI's Hide-and-Seek experiment?	6 emergent strategy phases through autocurriculum (agents develop increasingly sophisticated hiding/seeking strategies)	topic:rl-environments,type:paper,level:intermediate,source:research-summary
RL-023	What are the four GPU-accelerated MARL frameworks?	JaxMARL (JAX, 12,500x); WarpDrive (CUDA, 100x+); Mava (JAX, end-to-end JIT); VMAS (PyTorch CUDA, tens of thousands parallel)	topic:rl-environments,type:definition,level:intermediate,source:research-summary
RL-024	What won the AIGB auto-bidding competition at NeurIPS 2024?	GAVE — a multi-agent RL system for automated bidding	topic:rl-environments,type:paper,level:intermediate,source:research-summary
RL-025	What is veRL's key feature?	HybridFlow architecture supporting 15+ algorithms across multi-hardware (ByteDance, 21.9K stars)	topic:rl-environments,type:definition,level:beginner,source:research-summary
RL-026	Compare Unity ML-Agents vs RLGym	Unity ML-Agents: 19.5K stars, broad 3D game AI training. RLGym: 240 stars, Rocket League only but achieves superhuman play	topic:rl-environments,type:comparison,level:beginner,source:research-summary
RL-027	What is the RL environments landscape split in 2026?	Two worlds: (1) game/robotics RL using Gymnasium/Isaac Lab/MuJoCo with PPO/SAC, and (2) LLM post-training RL using veRL/TRL/NeMo-RL with GRPO/DPO	topic:rl-environments,type:definition,level:beginner,source:research-summary
RL-028	What was Necto (V1) bot's achievement?	Diamond rank in Rocket League, approximately top 15% of players (2022)	topic:rl-environments,type:definition,level:beginner,source:research-summary
RL-029	What is the RLGym architecture stack?	rlgym-api (zero-dep Gym-like interface); rlgym-rocket-league (game-specific, uses RocketSim C++); rlgym-learn (Rust-based parallel training); rlgym-tools (SB3 compat, replays, rewards)	topic:rl-environments,type:definition,level:intermediate,source:research-summary
RL-030	What approach does MoTiAC use for advertising?	Multi-objective real-time bidding with Pareto convergence (Tencent, ECML 2022)	topic:rl-environments,type:paper,level:intermediate,source:research-summary
