ID	Front	Back	Tags
AEW001	What is the Enterprise AI Autonomy Ladder (5 levels)?	Level 0: Chatbot (Q&A only, no actions). Level 1: Copilot (in-context suggestions, user drives). Level 2: RAG + Tools (answers from internal data). Level 3: Workflow Agent (executes steps with approval). Level 4: Autonomous Agent (end-to-end processes, human supervises).	topic:enterprise,topic:copilot,level:beginner,type:definition,source:research-summary
AEW002	What is the "killer insight" about enterprise AI's value proposition?	Enterprise AI is NOT about replacing workers -- it is about collapsing the distance between intent and execution. A manager saying 'onboard this new hire' today triggers 47 manual steps across 12 systems. With agentic AI, intent directly executes. The value is removing coordination overhead, not human judgment.	topic:enterprise,level:intermediate,type:why,source:research-summary
AEW003	What is the core architectural question for enterprise AI?	How much autonomy does the AI have, and what governance surrounds it? This determines the entire system design: embedded copilot (lowest risk) vs enterprise RAG vs workflow agents vs autonomous business agents (highest value but highest governance requirement).	topic:enterprise,level:intermediate,type:why,source:research-summary
AEW004	What is Microsoft Copilot Studio + Agents?	A platform (2025-2026) enabling enterprises to build custom agents that take actions across M365 (send emails, schedule meetings, update CRM, file tickets) with human-in-the-loop approval gates and audit trails. Represents the shift from "AI assists" to "AI executes, humans supervise."	topic:enterprise,topic:copilot,level:intermediate,type:definition,source:research-summary
AEW005	What is Salesforce Agentforce?	Autonomous service and sales agents (2025) that resolve customer issues without human handoff, executing across CRM and customer channels. Represents Level 3-4 enterprise AI: full process automation in customer-facing workflows.	topic:enterprise,level:intermediate,type:definition,source:research-summary
AEW006	What is Google Agentspace?	A unified enterprise search + agent execution platform (2025) spanning Google Workspace and third-party SaaS applications. Combines search, reasoning, and action-taking across the enterprise software ecosystem.	topic:enterprise,level:intermediate,type:definition,source:research-summary
AEW007	What is permission-aware retrieval and why is it the #1 enterprise RAG challenge?	Retrieval-augmented generation that respects access controls -- users only see documents they are authorized to see. It separates enterprise RAG from public RAG. A RAG system that leaks confidential data is worse than no RAG at all. Implementation is the top challenge.	topic:enterprise,topic:rag,level:intermediate,type:definition,source:research-summary
AEW008	What are the six layers of the enterprise AI governance stack?	(1) Identity & auth (who/what can agent act as). (2) Permissions (what actions allowed). (3) Approval flows (which actions need human confirmation). (4) Audit trail (every action logged immutably). (5) Data classification (what data agent can access). (6) Blast radius (max damage from single error).	topic:enterprise,level:intermediate,type:definition,source:research-summary
AEW009	Why is governance the moat for enterprise AI, not model quality?	Companies that solve governance first (identity, permissions, approvals, audit, data classification, blast radius) can ship agents that actually DO things in production. Those that don't stay stuck at the chatbot stage. The hard problem is authorization and compliance, not intelligence.	topic:enterprise,level:intermediate,type:why,source:research-summary
AEW010	What is the enterprise AI adoption curve by autonomy level (2026)?	Chatbot (L0): ~80% of Fortune 500. Copilot (L1): ~60%. RAG (L2): ~40%. Tool agents (L3): ~15% piloting. Workflow agents (L4): ~5% early production. AI-native ops (L5): <1% experimental. Each level has a distinct blocker to the next.	topic:enterprise,level:intermediate,type:definition,source:research-summary
AEW011	What is the key transition from Stage 1 (chatbots) to Stage 2 (copilots) in enterprise AI?	AI moves from standalone chat into the tools where work happens. The model sees the document being edited, the email thread, the code file. Context comes free from the host application. Adoption accelerates because there is no new tool to learn.	topic:enterprise,topic:copilot,level:beginner,type:comparison,source:research-summary
