ID	Front	Back	Tags
ES001	Why is LLM evaluation fundamentally harder than traditional ML evaluation?	LLMs produce free-form text in an infinite output space with no single ground truth, making evaluation inherently multi-dimensional, subjective, and distribution-shift-prone. You cannot have a single metric -- you need decomposed, multi-method, and continuous evaluation.	topic:evaluation,level:beginner,type:why,source:research-summary
ES002	What is the relationship between evaluation and safety in production LLM systems?	Evaluation measures WHERE you are; guardrails ensure you never cross the line. Safety is a constraint (binary pass/fail), not a dimension to trade off against quality. The gap between them is your operational risk.	topic:evaluation,topic:safety,level:intermediate,type:definition,source:practitioner
ES003	What are the five layers of a production evaluation stack (ordered by cost)?	1) Deterministic tests (~$0, format/schema). 2) Domain benchmarks (~$0, known failures). 3) LLM-as-Judge (~$5-15, quality at scale). 4) Human expert review ($200-500, novel failures). 5) Shadow/UAT ($1K-2.5K, real-world distribution).	topic:evaluation,level:intermediate,type:algorithm,source:practitioner
ES004	What is the HELM evaluation framework?	Holistic Evaluation of Language Models (Liang et al. 2023) -- multi-dimensional evaluation framework measuring 7 dimensions (accuracy, calibration, robustness, fairness, efficiency, etc.) across 42 scenarios simultaneously.	topic:evaluation,paper:helm,level:beginner,type:definition,source:research-summary
ES005	What correlation does MT-Bench's LLM-as-Judge achieve with human preferences?	0.85 correlation with human preferences, established by Zheng et al. 2023. This validated LLM-as-Judge as a scalable alternative to human evaluation for quality assessment.	topic:evaluation,paper:mt-bench,level:intermediate,type:paper,source:research-summary
ES006	What are the five major biases in LLM-as-Judge evaluation?	1) Position bias (first option preferred +3-5%). 2) Self-preference (own outputs scored +10-15%). 3) Verbosity bias (longer = higher). 4) Sycophancy (confident-sounding preferred). 5) Anchoring (previous scores influence next).	topic:evaluation,paper:mt-bench,level:intermediate,type:comparison,source:research-summary
ES007	How do you mitigate position bias in LLM-as-Judge?	Present options in both orders and average scores: score_debiased = (score_AB + score_BA) / 2. This doubles eval cost but eliminates position bias entirely.	topic:evaluation,level:intermediate,type:algorithm,source:research-summary
ES008	How do you mitigate self-preference bias in LLM-as-Judge?	Use cross-family judging: GPT judges Claude and vice versa. Compare scores from same-family vs cross-family judge on identical outputs. If delta > 0.3 on a 5-point scale, self-preference is active.	topic:evaluation,level:intermediate,type:algorithm,source:research-summary
ES009	What target Cohen's kappa should LLM-as-Judge achieve for deployment gating?	Target kappa > 0.75 for deployment gating decisions. Minimum kappa > 0.60 for development iteration. Alert if judge agreement drops below 0.7.	topic:evaluation,level:intermediate,type:formula,source:practitioner
ES010	What is Expected Calibration Error (ECE)?	ECE = sum over B bins of (n_b/N) * |acc(b) - conf(b)|. Measures whether predicted confidence matches actual accuracy. Values: <0.05 well-calibrated, 0.05-0.15 moderate, >0.15 poorly calibrated.	topic:evaluation,level:advanced,type:formula,source:research-summary
