ID	Front	Back	Tags
PD001	What is Multi-Teacher Online Policy Distillation (MT-OPD)?	A model merging paradigm that consolidates capabilities from multiple specialist models by training a student on their behaviors rather than averaging their parameters. It is behavior-space merging vs. parameter-space merging.	topic:mt-opd,topic:distillation,level:beginner,type:definition,source:research-summary
PD002	What is the core architectural question in model merging?	Should you merge in weight space (cheap, fast, architecture-dependent) or behavior space (expensive, flexible, architecture-independent)?	topic:model-merging,topic:distillation,level:intermediate,type:comparison,source:research-summary
PD003	What is Model Soups?	A technique that averages weights of multiple fine-tuned checkpoints from the same base model. Formula: W_soup = (1/N) * sum(W_i). Improves robustness and OOD accuracy without increasing inference cost.	topic:model-merging,paper:model-soups,level:beginner,type:definition,source:research-summary
PD004	When does Model Soups work well?	When checkpoints share the same base model and remain close in parameter space. Fails catastrophically for models trained on very different tasks.	topic:model-merging,paper:model-soups,level:intermediate,type:tradeoff,source:research-summary
PD005	What is the difference between uniform soup and greedy soup?	Uniform soup averages all checkpoints equally. Greedy soup iteratively adds checkpoints only if they improve validation accuracy.	topic:model-merging,paper:model-soups,level:intermediate,type:comparison,source:research-summary
PD006	What is Task Arithmetic in model merging?	A method where task vector = fine-tuned weights minus base weights. You can add vectors to compose skills or negate vectors to remove behaviors.	topic:model-merging,level:beginner,type:definition,source:research-summary
PD007	What is the key limitation of Task Arithmetic?	Interference between tasks: adding two task vectors can degrade both capabilities because they may conflict in the same parameter regions.	topic:model-merging,level:intermediate,type:tradeoff,source:research-summary
PD008	What does TIES-Merging do?	Resolves parameter conflicts via three steps: (1) Trim small-magnitude changes, (2) Resolve sign conflicts by election (majority vote), (3) Merge only agreed-upon directions.	topic:model-merging,paper:ties,level:intermediate,type:algorithm,source:research-summary
PD009	What does DARE do in model merging?	Randomly drops delta parameters and rescales the remaining ones. Reduces interference through sparsification of task vectors.	topic:model-merging,level:intermediate,type:algorithm,source:research-summary
PD010	Why are all weight-space merging methods limited?	They remain architecture-dependent (same base model required) and one-shot (no continual updates possible). Cannot merge models from different architectures.	topic:model-merging,level:intermediate,type:tradeoff,source:research-summary
PD011	What is the key advantage of MoE composition over weight averaging?	MoE preserves specialist expertise without averaging away capabilities by routing inputs to the most relevant expert. Trade-off: requires all experts deployed simultaneously (memory cost).	topic:model-merging,level:intermediate,type:tradeoff,source:research-summary
PD012	What is MoLoRA?	Multiple LoRA adapters with learned routing — a lightweight specialist composition approach that keeps expert capabilities separate while sharing the base model.	topic:model-merging,topic:lora,level:intermediate,type:definition,source:research-summary
PD013	Why is Mixed-Dataset SFT often the strongest simple baseline?	It produces a unified representation (no weight conflicts), generalizes well for complementary tasks, and avoids fundamental incompatibility problems. It merges the training data rather than model weights.	topic:model-merging,topic:fine-tuning,level:intermediate,type:why,source:research-summary
PD014	When should you choose MT-OPD over weight-space merging?	When teachers are heterogeneous architectures, new specialists arrive frequently, and you need a single deployable model. MT-OPD enables cross-architecture merging.	topic:mt-opd,level:intermediate,type:tradeoff,source:research-summary
PD015	What is the MT-OPD pipeline at a high level?	For each prompt: (1) Route to relevant teacher(s), (2) Collect teacher responses, (3) Score responses via reward model/verifier, (4) Select or aggregate best policy signal, (5) Update student (SFT on best response or DPO on ranked pairs).	topic:mt-opd,level:intermediate,type:algorithm,source:research-summary
PD016	What is competence-aware routing in MT-OPD?	Routing each prompt to the teacher with highest expected competence for that input, avoiding wasted capacity on poor-domain outputs.	topic:mt-opd,level:intermediate,type:definition,source:research-summary
PD017	What makes MT-OPD uniquely powerful compared to weight-space methods?	It enables: (1) cross-architecture merging, (2) continual integration (add new teachers anytime), (3) conflict resolution through routing rather than averaging.	topic:mt-opd,level:intermediate,type:why,source:research-summary
PD018	What is Adaptive Policy Composition?	An emerging paradigm where the student learns WHEN to trust WHICH teacher, using uncertainty estimates and task classification to form a conditional competence model.	topic:mt-opd,level:advanced,type:definition,source:research-summary
PD019	What is the teacher conflict problem in MT-OPD?	When specialist teachers disagree (e.g., concise vs. verbose style), the student learns a blurry average that satisfies none. Mitigation: competence-aware routing and domain-specific prompts.	topic:mt-opd,level:intermediate,type:tradeoff,source:research-summary
PD020	What is policy collapse in MT-OPD?	The student converges to imitating whichever teacher dominates the training distribution; minority capabilities vanish. Mitigation: balanced sampling and skill-specific evaluation gates.	topic:mt-opd,level:intermediate,type:definition,source:research-summary
PD021	What is the capacity bottleneck problem in MT-OPD?	A smaller student (e.g., 7B) cannot faithfully absorb the knowledge of multiple large experts (e.g., four 70B models) — knowledge interference becomes inevitable regardless of method.	topic:mt-opd,level:intermediate,type:tradeoff,source:research-summary
PD022	Compare parameter-space merging vs behavior-space merging on architecture requirements.	Parameter-space: requires same base model architecture. Behavior-space (MT-OPD): any architecture works, heterogeneous models OK.	topic:model-merging,topic:mt-opd,level:intermediate,type:comparison,source:research-summary
PD023	Compare parameter-space merging vs behavior-space merging on compute cost.	Parameter-space: negligible (one-shot average). Behavior-space (MT-OPD): high (N teacher inferences per prompt during training).	topic:model-merging,topic:mt-opd,level:intermediate,type:comparison,source:research-summary
PD024	Compare parameter-space merging vs behavior-space merging on conflict resolution.	Parameter-space: statistical (trim, elect, sparsify). Behavior-space (MT-OPD): learned (routing, scoring, selection).	topic:model-merging,topic:mt-opd,level:intermediate,type:comparison,source:research-summary
PD025	How do frontier labs implicitly perform MT-OPD?	Their post-training pipelines (synthetic data from specialists, preference scoring, iterative distillation) are functionally equivalent to MT-OPD even though they don't call it that.	topic:mt-opd,topic:distillation,level:advanced,type:why,source:research-summary
PD026	What is Online Policy Distillation (OPD)?	A training paradigm where the student generates its own trajectories, then a teacher provides dense, step-level guidance on the student's actual behavior — correcting mistakes where they happen.	topic:opd,topic:distillation,level:beginner,type:definition,source:research-summary
PD027	What problem does OPD solve that offline distillation cannot?	The train-test distribution mismatch. Standard KD trains on teacher-generated outputs, but the student deploys on its own distribution. OPD trains on student-generated outputs, matching deployment distribution.	topic:opd,topic:distillation,level:intermediate,type:why,source:research-summary
PD028	What is the GKD paper's core contribution?	Agarwal et al. (2024) introduced on-policy distillation for LLMs: distilling on student-generated outputs to fix train-test distribution mismatch. Student generates, teacher corrects via KL-based objective.	topic:opd,paper:gkd,level:intermediate,type:paper,source:research-summary
PD029	Compare OPD vs RL on credit assignment.	RL provides only a final scalar reward after a full trajectory. OPD provides dense teacher signal at each step/token — directly correcting mistakes where they happen.	topic:opd,level:intermediate,type:comparison,source:research-summary
