ID	Front	Back	Tags
SG001	What is a knowledge graph?	A data structure storing entities (nodes) + typed relationships (edges) + properties (attributes) with formal semantics. It encodes "things, not strings" (Google, 2012). Components: nodes (entities), edges (typed relationships), properties (key-value on nodes/edges), ontology (schema).	topic:knowledge-graph,level:beginner,type:definition,source:research-summary
SG002	What are the two main knowledge graph standards and their query languages?	RDF (W3C): triple store (subject-predicate-object), queried with SPARQL. Supports OWL ontologies with reasoning/inference. Property Graph: nodes+edges with key-value properties, queried with Cypher (Neo4j) or Gremlin. Schema.org provides lightweight web entity vocabulary.	topic:knowledge-graph,level:beginner,type:definition,source:research-summary
SG003	What is the dominant hybrid pattern for KG + GenAI systems?	Query -> Vector search (semantic similarity) -> Top-K candidates -> KG traversal (typed relationships) -> Multi-hop context -> LLM synthesis (grounded in both) -> Answer with citations. Vector handles similarity; graph handles relationships; LLM handles synthesis.	topic:knowledge-graph,topic:rag,level:intermediate,type:algorithm,source:research-summary
SG004	How do knowledge graphs reduce LLM hallucination?	Ground generation in verified triples -- the LLM can only assert facts that exist as validated entity-relationship-entity triples in the graph. NAACL 2024 demonstrated "promising results" across 3 different KG augmentation approaches for reducing hallucination.	topic:knowledge-graph,level:intermediate,type:why,source:research-summary
SG005	What is Think-on-Graph (ToG) and what did it achieve?	ICLR 2024 paper using beam search on knowledge graphs for reasoning. Achieved SOTA on 6/9 datasets. Key result: a small LLM + KG outperforms GPT-4 alone, demonstrating that structured knowledge augmentation can compensate for model size.	topic:knowledge-graph,paper:think-on-graph,level:intermediate,type:paper,source:research-summary
SG006	What is HippoRAG and what makes it significant?	NeurIPS 2024 paper using KG + Personalized PageRank for multi-hop QA. Achieves +20% over SOTA at 10-30x lower cost than iterative retrieval methods. Named after the hippocampus, it models associative memory for efficient multi-hop reasoning.	topic:knowledge-graph,topic:rag,level:intermediate,type:paper,source:research-summary
SG007	What is Microsoft GraphRAG's approach?	Constructs entity-relationship graphs from corpora using LLMs, applies community detection algorithms, then generates LLM summaries for each community. Enables global sensemaking queries ("what are the main themes?") that vector search cannot answer. Open-source.	topic:knowledge-graph,topic:rag,level:intermediate,type:paper,source:research-summary
SG008	How does a knowledge graph differ from a vector database?	KG advantages: typed relationships are first-class, multi-hop traversal follows explicit links, formal semantics enable reasoning/inference, entity resolution. KG disadvantages: construction cost (manual or noisy LLM extraction), requires schema definition upfront.	topic:knowledge-graph,level:beginner,type:comparison,source:research-summary
SG009	How does a knowledge graph differ from a relational database?	KG advantages: relationships are first-class citizens (not foreign keys), flexible schema (add new relationship types without migration), natural for graph traversal queries. KG disadvantages: less mature tooling for analytics, fewer developers with graph modeling experience.	topic:knowledge-graph,level:beginner,type:comparison,source:research-summary
SG010	What is AriGraph and what did it demonstrate?	2024 paper using a knowledge graph as an agent's world model -- structured episodic + semantic memory. Demonstrated that KG-based memory "markedly outperforms" other agent memory methods for maintaining coherent state across interactions.	topic:knowledge-graph,level:intermediate,type:paper,source:research-summary
