ID	Front	Back	Tags
FTN001	What is the core insight about DNNs and noisy labels?	DNNs fit clean patterns first (low-complexity features) then memorize noise later (high-complexity patterns). This temporal separation enables small-loss selection, early stopping, and curriculum-based methods.	topic:noisy-labels,topic:fine-tuning,level:beginner,type:definition,source:research-summary
FTN002	What error rate is typical in real-world training annotations?	5-40% of real-world training annotations contain errors, and neural networks memorize these errors after initially learning clean patterns.	topic:noisy-labels,level:beginner,type:definition,source:research-summary
FTN003	What is the core architectural decision for handling noisy labels?	Filtering (remove suspected noisy samples) vs. Correction (estimate true labels or modify the loss function to tolerate noise).	topic:noisy-labels,level:beginner,type:comparison,source:research-summary
FTN004	When should you choose filtering for noisy labels?	When data is abundant (>100K samples) and noise is random. Methods: Co-teaching, cleanlab/Confident Learning.	topic:noisy-labels,level:intermediate,type:tradeoff,source:research-summary
FTN005	When should you choose loss correction for noisy labels?	When data is scarce or the noise transition matrix T is estimable. Methods: forward T-correction, symmetric losses.	topic:noisy-labels,level:intermediate,type:tradeoff,source:research-summary
FTN006	When should you choose a hybrid approach (DivideMix)?	When noise rates exceed 40% and you need maximum accuracy.	topic:noisy-labels,level:intermediate,type:tradeoff,source:research-summary
FTN007	What is the noise transition matrix T?	A K x K stochastic matrix where T[i][j] = P(noisy_label=j | true_label=i). It describes the probability of each class being flipped to another class.	topic:noisy-labels,level:intermediate,type:definition,source:research-summary
FTN008	How is the noise transition matrix T used for loss correction?	Multiplying T-inverse with the loss function yields an unbiased estimator of the clean-data risk: L_corrected = T^(-1) * L. Forward correction: CE(T * softmax(f(x)), y_noisy).	topic:noisy-labels,level:advanced,type:formula,source:research-summary
FTN009	What are anchor points in noise-rate estimation?	Samples for which P(y_true=i|x) = 1 — they belong to class i with certainty. Given anchor points, T[i][j] = P(y_noisy=j | anchor_i) can be directly estimated.	topic:noisy-labels,level:advanced,type:definition,source:research-summary
FTN010	When does T-matrix loss correction fail?	When noise is instance-dependent (T varies per sample rather than being class-conditional), or when T is poorly conditioned (near-singular, condition number > 10), amplifying estimation errors.	topic:noisy-labels,level:advanced,type:tradeoff,source:research-summary
