ID	Front	Back	Tags
SD-001	What are the three variables in GPU planning for fine-tuning?	(1) Model size — determines memory floor; (2) Method — Full SFT vs LoRA vs QLoRA, determines compute multiplier; (3) Dataset scale — determines wall-clock time.	topic:system-design,topic:fine-tuning,level:beginner,type:definition,source:research-summary
SD-002	What is the core trade-off between Full SFT and QLoRA?	Full SFT gives maximum quality but costs 8-50x more than QLoRA. QLoRA closes 95% of the quality gap for 95% of workloads.	topic:fine-tuning,level:beginner,type:tradeoff,source:research-summary
SD-003	What is QLoRA and why is it dominant for production fine-tuning?	QLoRA (Quantized LoRA): fine-tunes 4-bit quantized models with low-rank adapters. Dominant because it enables fine-tuning up to 70B on a single A100-80GB with 8-50x cost reduction vs Full SFT.	topic:fine-tuning,paper:qlora,level:beginner,type:definition,source:research-summary
SD-004	What is FSDP + QLoRA and what did it enable?	Answer.ai (Mar 2024): Distributed QLoRA across consumer GPUs using Fully Sharded Data Parallelism. Enabled 70B fine-tuning on 2x RTX 3090 at $0.60/hr — democratizing large model fine-tuning.	topic:fine-tuning,topic:system-design,level:intermediate,type:paper,source:research-summary
SD-005	When should you choose QLoRA vs LoRA vs Full SFT?	QLoRA: budget-constrained, <5% quality gap acceptable. LoRA: need more capacity (rank >64), quality-sensitive. Full SFT: QLoRA/LoRA leave >5% gap, have 8+ GPUs, domain radically different from pre-training.	topic:fine-tuning,level:intermediate,type:comparison,source:research-summary
SD-006	What is the "killer framing" for fine-tuning cost?	Fine-tuning cost scales linearly with model size and dataset tokens. The method choice (Full/LoRA/QLoRA) provides a 10-50x cost lever without proportional quality loss.	topic:fine-tuning,level:intermediate,type:definition,source:research-summary
SD-007	What is the cost to fine-tune Llama 3.1 70B on 10K examples?	$20-60 with QLoRA (self-managed) or ~$180 via managed API.	topic:fine-tuning,level:intermediate,type:definition,source:practitioner
SD-008	What is the memory budget formula for Full SFT?	Full SFT memory = 18 * P bytes (FP16 weights + FP32 optimizer states + gradients), where P = total parameters.	topic:fine-tuning,topic:system-design,level:intermediate,type:formula,source:research-summary
SD-009	What is the memory budget formula for LoRA?	LoRA memory = 2 * P bytes (frozen FP16 weights) + 18 * P_trainable bytes (trainable LoRA parameters with optimizer). P_trainable is typically 0.1-2% of P.	topic:fine-tuning,topic:system-design,level:intermediate,type:formula,source:research-summary
SD-010	What is the memory budget formula for QLoRA?	QLoRA memory = 0.5 * P bytes (4-bit quantized weights) + 18 * P_trainable bytes (trainable LoRA parameters with optimizer). P_trainable is typically 0.1-2% of P.	topic:fine-tuning,topic:system-design,level:intermediate,type:formula,source:research-summary
