ID	Front	Back	Tags
ARB001	What is a Vision-Language-Action (VLA) model in robotics?	A single neural network that takes a language instruction + camera image as input and directly outputs robot actions. Examples: RT-2, pi-zero, Octo. It replaces separate planner + controller with one end-to-end model.	topic:robotics,topic:vla,level:beginner,type:definition,source:research-summary
ARB002	What was SayCan's key insight for connecting LLMs to robots?	The LLM knows what is useful (language prior for task decomposition), and the robot knows what is possible (affordance/value function for physical feasibility). Combined: grounded task planning where the LLM proposes actions and value functions filter to physically achievable ones.	topic:robotics,paper:saycan,level:intermediate,type:why,source:research-summary
ARB003	Why can't regression-based policies handle contact-rich manipulation tasks like cloth folding?	Many tasks have multiple valid solutions (multi-modal action distributions). Regression policies average these modes, producing invalid intermediate actions. Diffusion Policy solves this by modeling the full distribution and sampling one coherent trajectory.	topic:robotics,paper:diffusion-policy,level:intermediate,type:why,source:research-summary
ARB004	What is the sim-to-real gap in robotics?	The degradation in policy performance when transferring from simulation training to physical hardware, caused by: (1) visual gap (rendering vs real cameras), (2) dynamics gap (simulated vs real physics), (3) sensor gap (noise, calibration differences).	topic:robotics,level:beginner,type:definition,source:research-summary
ARB005	What did RT-2 demonstrate about VLA models?	RT-2 fine-tuned PaLM-E (a vision-language model) to output robot actions as text tokens. It showed that web-pretrained VLMs can generalize to novel objects and instructions never seen during robot training, by leveraging internet-scale pretraining knowledge.	topic:robotics,topic:vla,paper:rt-2,level:intermediate,type:paper,source:research-summary
ARB006	What is pi-zero's main contribution to robotics?	pi-zero (Physical Intelligence, 2025) demonstrated a single VLA model controlling multiple robot embodiments (folding, cooking, cleaning) via language instructions -- the first general-purpose robot foundation model working across diverse tasks and robot bodies.	topic:robotics,topic:vla,paper:pi-zero,level:intermediate,type:paper,source:research-summary
ARB007	How does Code as Policies differ from SayCan's approach?	Code as Policies has the LLM write executable Python code that calls robot APIs, making plans compositional and verifiable. SayCan uses the LLM to propose actions from a fixed skill library scored by value functions. Code as Policies is more flexible but requires well-defined APIs.	topic:robotics,paper:saycan,level:intermediate,type:comparison,source:research-summary
ARB008	What does VoxPoser achieve for robotic manipulation?	VoxPoser (2023) uses an LLM + vision model to compose 3D value maps for manipulation, enabling zero-shot spatial reasoning without any robot training data. It shows LLMs can reason about 3D space and generate manipulation affordances directly.	topic:robotics,level:intermediate,type:paper,source:research-summary
ARB009	What is Octo and why is it significant?	Octo is an open-source robot foundation model (transformer policy) pretrained on 800K episodes from the Open X-Embodiment dataset. It provides a foundation for fast adaptation to new tasks/robots from limited demonstrations (10-50 demos).	topic:robotics,topic:vla,level:intermediate,type:paper,source:research-summary
ARB010	What role does Eureka play in sim-to-real robotics?	Eureka (2024) uses an LLM to auto-generate reward functions for reinforcement learning in simulation, eliminating the most manual part of sim-to-real pipelines -- reward engineering. DrEureka extends this to also generate domain randomization parameters.	topic:robotics,level:intermediate,type:paper,source:research-summary
