ID	Front	Back	Tags
ASR001	What is the core architectural question when applying LLMs to search retrieval?	Where in the retrieval stack do you insert the LLM? Options: query understanding (cheapest), reranking (moderate), full generation (most expensive), or orchestration of the entire pipeline (agentic).	topic:search,topic:retrieval,level:intermediate,type:tradeoff,source:research-summary
ASR002	What is the "killer insight" about the LLM's evolving role in search?	The LLM's role in search is evolving from "helper" (rewrite my query) to "orchestrator" (plan, retrieve, evaluate, iterate, synthesize). The end state is that the search engine IS an agent -- retrieval becomes one tool among many.	topic:search,topic:retrieval,level:advanced,type:why,source:research-summary
ASR003	What is Query2Doc and what problem does it solve?	Query2Doc (2023) uses an LLM to generate a pseudo-document from the query, which is appended to the query for retrieval. It enriches sparse queries with relevant context for better BM25/dense retrieval without changing the retrieval infrastructure.	topic:retrieval,topic:search,paper:query2doc,level:intermediate,type:paper,source:research-summary
ASR004	What is HyDE (Hypothetical Document Embeddings)?	HyDE (2023) uses an LLM to generate a hypothetical answer to the query, embeds that answer, and uses it as the dense query vector. This bridges the query-document representation gap because the generated text is in "document space" rather than "query space."	topic:retrieval,topic:dense-retrieval,paper:hyde,level:intermediate,type:paper,source:research-summary
ASR005	What key transition did LLM-Enhanced Query Understanding (Stage 1, 2023) represent?	LLMs generate richer query representations than rule-based systems -- zero-shot, no domain-specific training needed. A single prompt replaces spell correction + entity detection + intent classification + query expansion. But adds latency (one LLM call per query).	topic:search,topic:retrieval,level:intermediate,type:definition,source:research-summary
ASR006	What is RankGPT and what did it demonstrate?	RankGPT (2023) is an instruction-tuned LLM that performs listwise reranking via permutation generation. Given N candidate documents, it outputs the optimal ordering. It achieved zero-shot SOTA on BEIR benchmarks, outperforming fine-tuned cross-encoders without any task-specific training.	topic:ranking,topic:reranking,paper:rankgpt,level:intermediate,type:paper,source:research-summary
ASR007	How do pointwise, pairwise, and listwise LLM reranking compare?	Listwise (present N docs, ask for ranking) achieves highest quality in 1 call but needs long context. Pairwise (compare doc pairs) is high quality but O(n^2) comparisons. Pointwise (score each independently) is simplest/cheapest but weakest quality. Listwise dominates in practice.	topic:ranking,topic:reranking,level:intermediate,type:comparison,source:research-summary
ASR008	What was the key transition in LLM-as-Ranker (Stage 2)?	LLMs outperform fine-tuned cross-encoders on many IR benchmarks without task-specific training. The cost is 100-1000x more expensive than a trained cross-encoder at inference, making it impractical for full candidate sets -- only viable for top-K reranking.	topic:ranking,topic:reranking,level:intermediate,type:tradeoff,source:research-summary
ASR009	What is the Differentiable Search Index (DSI) and how does it work?	DSI (2022) has the model memorize the entire corpus and generate document IDs token-by-token given a query, collapsing indexing + retrieval into a single model forward pass. It bypasses the index entirely but struggles at corpus scale (>1M documents) and with real-time updates.	topic:retrieval,level:advanced,type:paper,source:research-summary
ASR010	Why has generative retrieval not reached production scale?	Generative retrieval (DSI, GENRE, SEAL) struggles at corpus scale (>1M documents) and with real-time updates -- the model must be retrained to add new documents. It's elegant but currently more research frontier than production reality.	topic:retrieval,level:advanced,type:tradeoff,source:research-summary
ASR011	What is RAG (Retrieval-Augmented Generation) and why is it dominant?	RAG (Lewis et al., 2020) is a retrieve-then-generate pipeline where a retriever provides relevant documents as context for an LLM generator. It became dominant because it grounds LLM generation in evidence, reducing hallucination while maintaining generation quality.	topic:rag,topic:retrieval,level:beginner,type:definition,source:research-summary
ASR012	How did RAG evolve from basic to adaptive/corrective?	Basic RAG (2020): always retrieve, always generate. Self-RAG (2023): model decides when/what to retrieve, self-evaluates relevance. CRAG (2024): evaluates retrieval quality, triggers web search if insufficient. Adaptive RAG (2024): routes queries by complexity (no retrieval vs single vs multi-step).	topic:rag,level:intermediate,type:algorithm,source:research-summary
ASR013	What is Self-RAG and how does it improve on basic RAG?	Self-RAG (2023) teaches the model to decide when to retrieve, what to retrieve, and then self-evaluate the relevance of retrieved documents before generating. This avoids unnecessary retrieval for simple queries and catches irrelevant retrievals that would cause hallucination.	topic:rag,level:intermediate,type:paper,source:research-summary
ASR014	What is CRAG (Corrective RAG)?	CRAG (2024) evaluates retrieval quality after initial retrieval and triggers web search if the initial retrieval is insufficient. It bridges basic RAG and agentic search by adding a self-correction mechanism when retrieval fails.	topic:rag,level:intermediate,type:paper,source:research-summary
ASR015	What is Google AI Max and what results did it achieve?	Google AI Max (2025) uses Gemini to match ad intent without explicit keywords -- understanding user intent semantically rather than matching keyword bids. It achieved 14% more conversions by expanding beyond explicit keyword matching.	topic:ads,topic:search,level:intermediate,type:paper,source:practitioner
ASR016	How does LLM-based ads matching differ from keyword-based matching?	LLM-based matching understands that "comfortable work shoes" is relevant to an ad for "ergonomic office footwear" without explicit keyword overlap. This shifts ads retrieval from "match keywords" to "match intent," expanding addressable ad inventory by 20-40%.	topic:ads,topic:search,level:intermediate,type:comparison,source:research-summary
ASR017	What is Amazon COSMO?	COSMO (2025) applies LLM reasoning to product search, understanding shopping intent beyond keyword matching. It enables the search system to understand why a user is searching and what would truly satisfy their need, not just lexically match their query.	topic:ads,topic:search,level:intermediate,type:paper,source:research-summary
ASR018	What is an agentic search pipeline and how does it work?	An agentic search pipeline has the LLM autonomously: (1) Plan -- decompose complex query into sub-questions, (2) Retrieve -- search multiple sources in parallel, (3) Evaluate -- assess evidence quality, (4) Reformulate -- if insufficient, try again, (5) Synthesize -- combine facts with citations, (6) Self-check -- verify against evidence.	topic:search,topic:retrieval,topic:rag,level:advanced,type:algorithm,source:research-summary
ASR019	How much better is agentic search vs single-shot RAG, and at what cost?	Agentic search outperforms single-shot RAG by 30-50% on complex multi-hop queries, but costs 10-100x more per query ($0.50-$5.00 vs $0.05 per query). This makes it only economical for complex queries that justify the cost.	topic:search,topic:rag,level:intermediate,type:tradeoff,source:research-summary
ASR020	Name the major agentic search systems and their contributions.	Perplexity (2024-2026): decompose/retrieve/evaluate/synthesize with citations. Google AI Overviews (2025): multi-source retrieval + LLM synthesis for 1B+ users. OpenAI SearchGPT/ChatGPT Search (2025): conversational search with source attribution. Deep Research agents (2026): multi-hour autonomous research sessions.	topic:search,topic:retrieval,level:intermediate,type:comparison,source:research-summary
ASR021	What is "Agentic Commerce" and how does it transform search?	Agentic Commerce (2026 emerging): AI agents don't just find ads -- they complete purchases, negotiate, and optimize campaigns autonomously. Search evolves from "find and rank results" to "find, evaluate, negotiate, and execute." The ranking metric becomes purchase completion, not click-through.	topic:ads,topic:search,level:advanced,type:definition,source:research-summary
ASR022	Describe the 7 evolutionary stages of LLM in search retrieval.	Stage 1: LLM helps query (rewriting/expansion). Stage 2: LLM helps ranking (reranking). Stage 3: LLM IS retrieval (generative retrieval). Stage 4: LLM generates answers from retrieval (RAG). Stage 5: LLM matches intent for ads. Stage 6: LLM orchestrates entire pipeline (agentic). Stage 7: LLM executes actions (agentic commerce).	topic:search,topic:retrieval,topic:ranking,topic:ads,level:intermediate,type:algorithm,source:research-summary
ASR023	What is the Latency-Quality-Cost Trilemma in LLM-powered search?	BM25+cross-encoder: 50ms, good quality, $0.001/query. LLM query rewriting+BM25: 200ms, better, $0.01. LLM-as-ranker: 500ms, best single-shot, $0.05. RAG: 1s, good+grounded, $0.05. Agentic search: 5-30s, best for complex queries, $0.50-$5.00.	topic:search,topic:retrieval,level:intermediate,type:tradeoff,source:research-summary
ASR024	What is tiered routing in production search systems?	Tiered routing directs simple queries to the fast path (BM25 + reranker, ~50ms) and complex queries to the slow path (agentic multi-step search, 5-30s). The routing decision itself can be LLM-powered. This balances cost/quality by matching query complexity to pipeline expense.	topic:search,level:intermediate,type:algorithm,source:practitioner
ASR025	What is the distillation pattern that makes LLM-search practical?	(1) Prototype with frontier LLM (GPT-4, Claude) to prove the approach works. (2) Distill into a smaller model (fine-tuned 7B or custom ranker) to bring latency/cost to production levels. (3) Deploy the distilled model at scale. Examples: LLM reranking -> RankLLaMA; LLM query expansion -> small query rewriter.	topic:search,topic:ranking,level:intermediate,type:algorithm,source:practitioner
ASR026	How are ads retrieval and organic search converging?	Both are moving to: LLM intent matching (from keywords/BM25), multi-objective LLM scoring (from CTR*bid/relevance), AI-generated answers with embedded ads/products (from text snippets/blue links), and task completion metrics (from click/session satisfaction). The difference is now just the objective function and auction mechanism.	topic:ads,topic:search,level:advanced,type:comparison,source:research-summary
