ID	Front	Back	Tags
ASA001	What is the "killer framing" for gen-AI's impact on advertising?	"The ad industry isn't dying -- it's being restructured. The question isn't whether AI replaces ads, but whether your brand is optimized for the AI shortlist or invisible to it." Revenue is GROWING (Google $403B +15%, Meta $201B +22% in 2025) but the mechanism is fundamentally changing.	topic:ads,topic:search,level:beginner,type:why,source:research-summary
ASA002	What are the five structural shifts in advertising due to gen-AI?	(1) Keywords -> Intent (keywordless campaign optimization). (2) Human Creative -> AI Production (text-to-image/video). (3) Search Ads -> Agentic Commerce (AI agents buy for users). (4) Third-Party Tracking -> AI Contextual (privacy-safe). (5) "Shortlist Economy" (AI pre-filters to 3-5 options).	topic:ads,level:intermediate,type:definition,source:research-summary
ASA003	What is the "Shortlist Economy" (Microsoft thesis)?	AI agents pre-filter to 3-5 product recommendations before humans see them. Brands not in the AI shortlist never reach human consideration. Requirements: structured product data, real-time inventory, review aggregation, reliable fulfillment, machine-readable pricing. Fundamentally different from traditional advertising.	topic:ads,level:intermediate,type:definition,source:research-summary
ASA004	What is Google AI Max for Search and what results did it achieve?	AI Max uses Gemini to match user intent without explicit keyword lists -- "keywordless technology" that learns from landing pages and creative. Achieved 14% more conversions. Represents the shift from "what words did they type" to "what are they trying to accomplish."	topic:ads,topic:search,level:intermediate,type:paper,source:practitioner
ASA005	How did Google AI Overviews impact ad revenue?	Contrary to fears, ads integrated into AI Overviews (1B+ users, 2025) resulted in links getting MORE clicks than traditional listings. Ads get dedicated "Sponsored" slots within AI-generated summaries without reducing organic engagement.	topic:ads,topic:search,level:intermediate,type:tradeoff,source:practitioner
ASA006	What is OpenAI's ChatGPT ads strategy and projected revenue?	First ads launched in ChatGPT (Jan-Mar 2026, US free tier). Projected $2.5B revenue in 2026 with ambition of $100B by 2030. Represents a major new entrant to the ad-supported AI answer market.	topic:ads,level:intermediate,type:definition,source:research-summary
ASA007	What is Agentic Commerce and how does it differ from traditional e-commerce?	Traditional: Human -> Search -> Ads -> Click -> Browse -> Buy. Agentic: AI Agent -> Evaluate -> Buy. Old optimization: bid on keywords, creative, landing page CRO, retargeting. New optimization: be in AI training data, structured data AI can parse, reliable inventory/fulfillment, trusted review signals.	topic:ads,topic:search,level:intermediate,type:comparison,source:research-summary
ASA008	What are the three emerging Agentic Commerce protocols?	(1) Agentic Commerce Protocol (OpenAI + Stripe): standard for AI-mediated transactions. (2) Universal Commerce Protocol (Google): native checkout within AI search. (3) Unified Commerce Protocols (Microsoft): cross-platform transactability.	topic:ads,level:intermediate,type:definition,source:research-summary
ASA009	What is Google Direct Offers?	Google Direct Offers (pilot Jan 2026) enables native checkout within AI search via Universal Commerce Protocol. Users can purchase directly from AI-generated results without leaving the search experience. Transforms search from information retrieval to transaction completion.	topic:ads,topic:search,level:intermediate,type:definition,source:research-summary
ASA010	What is Meta Advantage+ and what does it automate?	Meta Advantage+ (GA, core product) automates audience targeting, creative selection, bid optimization, and placement -- end-to-end campaign automation. Meta revenue grew +22% to $201B in 2025, driven largely by Advantage+ reducing advertiser effort while improving performance.	topic:ads,level:intermediate,type:definition,source:practitioner
ASA011	What is TikTok Symphony and what makes it significant?	Symphony Creative Studio (May 2024, GA) provides end-to-end AI video creation: script generation -> AI avatar -> production, plus multilingual dubbing. Represents the most complete AI creative pipeline -- from concept to finished video ad without human production.	topic:ads,level:intermediate,type:definition,source:research-summary
ASA012	What CTR improvement does Amazon's AI Image Generator achieve?	Amazon's AI Image Generator produces lifestyle images from product photos and achieves 40%+ CTR lift vs standard white-background product images. Demonstrates that AI-generated creative can significantly outperform traditional product photography for advertising.	topic:ads,level:intermediate,type:paper,source:practitioner
