ID	Front	Back	Tags
GRA-001	What are the three stages of the RLHF pipeline?	SFT (behavioral grounding), Reward Model training (preference encoding), PPO optimization (policy improvement under KL constraint)	topic:rlhf,topic:ppo,type:definition,level:beginner,paper:instructgpt,source:research-summary
GRA-002	How does DPO eliminate the reward model mathematically?	DPO derives that the optimal RLHF policy satisfies r(x,y) = beta*log(pi/pi_ref) + C; substituting into Bradley-Terry, the partition function Z(x) cancels in the preference comparison	topic:dpo,type:formula,level:advanced,paper:dpo,source:research-summary
GRA-003	What does DPO sacrifice by eliminating the reward model?	No explicit reward signal for inference-time filtering, no multi-objective reward decomposition, and no online learning with fresh signal for newly generated outputs	topic:dpo,type:tradeoff,level:intermediate,paper:dpo,source:research-summary
GRA-004	What is PPO clipping and why is it critical for RLHF?	Clips policy ratio to [1-epsilon, 1+epsilon], preventing destructively large updates; without it PPO would over-optimize against RM blind spots causing reward hacking	topic:ppo,type:algorithm,level:intermediate,source:research-summary
GRA-005	Why does PPO use BOTH clipping AND KL penalty in RLHF?	Clipping bounds individual step-to-step updates (per-sample); KL penalty constrains total drift from SFT model (aggregate) — together they provide the most stable training	topic:ppo,topic:rlhf,type:why,level:advanced,paper:instructgpt,source:research-summary
GRA-006	What makes a good reward model according to Gao et al.?	Size (undersized RMs cause overoptimization), data diversity (narrow training fails OOD), calibration (score difference reflects preference strength), ensemble agreement	topic:reward-models,type:definition,level:intermediate,source:research-summary
GRA-007	How big should the RM be relative to policy size?	At least 1/3 of policy size to avoid severe overoptimization; a 7B policy with 1B RM will reward-hack within 100 PPO steps; 50-100% of policy size is the sweet spot	topic:reward-models,type:definition,level:intermediate,source:research-summary
GRA-008	What is the overoptimization scaling law from Gao et al.?	Proxy reward increases monotonically with KL, but true reward peaks then declines; KL_peak is proportional to sqrt(d_RM) where d_RM is RM parameter count	topic:reward-models,type:formula,level:advanced,source:research-summary
GRA-009	How do RM ensembles reduce overoptimization?	Different RMs have uncorrelated noise regions; exploiting one RM's blind spot doesn't transfer to others; average noise variance scales as sigma^2/K, reducing exploitable gaps by sqrt(K)	topic:reward-models,type:why,level:advanced,source:research-summary
GRA-010	By how much do RM ensembles reduce overoptimization?	30-50% reduction (equivalent of doubling individual RM size), validated by Coste et al. with 5-RM ensembles	topic:reward-models,type:definition,level:intermediate,source:research-summary
GRA-011	What is RLAIF and when does it replace human feedback?	RLAIF replaces human annotators with LLM judges for preference labeling; replaces humans when annotation scale exceeds budget or consistency matters more than diversity	topic:constitutional-ai,type:definition,level:beginner,source:research-summary
GRA-012	How does Constitutional AI work (two phases)?	Phase 1: Self-critique — model critiques and revises responses against principles (SFT data). Phase 2: RLAIF — AI judge scores response pairs for RL training	topic:constitutional-ai,type:algorithm,level:intermediate,paper:constitutional-ai,source:research-summary
GRA-013	How does RLAIF quality compare to human RLHF?	Within 1-2% win-rate on summarization, 3-5% gap on helpfulness; on safety/harmlessness, RLAIF with constitutional principles actually exceeds human quality due to consistency	topic:constitutional-ai,type:comparison,level:intermediate,source:research-summary
GRA-014	What is GRPO's objective function?	L = -E[sum_i(A_i * log pi_theta(y_i|x)) - beta*KL(pi_theta||pi_ref)] where A_i = (r_i - mean(r_1..G))/std(r_1..G)	topic:grpo,type:formula,level:advanced,source:research-summary
GRA-015	When does GRPO outperform PPO?	When rewards are verifiable and high-variance across samples (math, code); it underperforms on subjective tasks (chat) because group normalization amplifies noise from unreliable rewards	topic:grpo,topic:ppo,type:comparison,level:intermediate,source:research-summary
GRA-016	What happens when all G samples in a GRPO group get the same reward?	Standard deviation becomes zero making advantage undefined; groups are discarded if std < epsilon; GRPO struggles on trivially easy or impossibly hard prompts	topic:grpo,type:why,level:advanced,source:research-summary
GRA-017	What is Nash Learning from Human Feedback?	Frames alignment as Nash equilibrium between policy and preference model; avoids reward model collapse by preserving full pairwise preference structure instead of scalar reduction	topic:rlhf,type:definition,level:advanced,source:research-summary
GRA-018	When does Nash equilibrium differ from standard RLHF optimum?	They diverge when preferences are intransitive or context-dependent; Nash handles this gracefully while RLHF's scalar reward model is misspecified	topic:rlhf,type:why,level:advanced,source:research-summary
GRA-019	Compare online RLHF vs offline DPO on data freshness	Online RLHF: always on-policy, minimal distribution shift, 3-5x compute. Offline DPO: stale data from previous model, growing distribution shift, 1x compute	topic:ppo,topic:dpo,type:comparison,level:intermediate,source:research-summary
GRA-020	What is the memory overhead comparison: RLHF vs DPO vs GRPO?	Full RLHF: 4x model memory (policy+reference+reward+value); DPO: 2x; GRPO: 1.5x	topic:ppo,topic:dpo,topic:grpo,type:comparison,level:intermediate,source:research-summary
GRA-021	What are the four detection signals for reward hacking in production?	Reward-quality divergence (RM up, win-rate flat); Length drift (p95 > 2x baseline); Diversity collapse (distinct-4gram < 0.65); Sycophancy index (agreement > 35% on wrong claims)	topic:reward-models,type:definition,level:intermediate,source:research-summary
GRA-022	Can a model reward-hack DPO even without an explicit RM?	Yes — DPO has implicit reward r = beta*log(pi/pi_ref); the model can hack preference patterns in training data (length, hedging, sycophancy) without explicit RM scores	topic:dpo,topic:reward-models,type:why,level:intermediate,source:research-summary
GRA-023	What is the production pattern for combining human and RLAIF annotation?	80% RLAIF for scale with human annotation for 20% (quality floor, edge cases, safety-critical); constitution serves as auditable, versionable specification of values	topic:constitutional-ai,type:definition,level:intermediate,source:research-summary
GRA-024	When does RLAIF fail?	Novel harm categories (AI can only detect harms in training); cultural nuance (single AI judge can't represent all cultures); sycophancy amplification (AI judges prefer AI-like outputs)	topic:constitutional-ai,type:tradeoff,level:intermediate,source:research-summary
GRA-025	What is the production sweet spot for RM serving architecture?	Two-tier: distilled 1.5B RM for real-time guardrails (<10ms SLA) + full 7B ensemble for training signal (<50ms SLA, batched)	topic:reward-models,type:definition,level:intermediate,source:research-summary
