ID	Front	Back	Tags
SVD-001	What is the fundamental difference between SFT and DPO?	SFT maximizes likelihood of demonstration tokens (behavioral cloning); DPO maximizes likelihood that preferred responses score higher than rejected under an implicit reward model	topic:sft,topic:dpo,type:comparison,level:beginner,paper:dpo,source:research-summary
SVD-002	What is the DPO loss function?	L_DPO = -E[log sigma(beta*(log pi_theta(y_w|x)/pi_ref(y_w|x) - log pi_theta(y_l|x)/pi_ref(y_l|x)))]	topic:dpo,type:formula,level:advanced,paper:dpo,source:research-summary
SVD-003	What is beta's role in DPO?	Controls KL penalty strength — how far aligned policy can deviate from reference. Low beta: aggressive optimization (reward hacking risk). High beta: conservative (underutilizes preferences)	topic:dpo,type:definition,level:intermediate,paper:dpo,source:research-summary
SVD-004	What beta values should you use for different DPO tasks?	0.01-0.05: creative writing/style transfer (aggressive); 0.1-0.2: general chat (standard); 0.3-0.5: medical/legal/financial (conservative, safety-first)	topic:dpo,type:definition,level:intermediate,source:research-summary
SVD-005	Why can't you do DPO on a base model without SFT?	Base model's generation distribution has minimal overlap with preference data distribution; DPO gradients become noisy when pi_ref assigns near-zero probability to both chosen and rejected	topic:dpo,topic:sft,type:why,level:intermediate,source:research-summary
SVD-006	By how much does skipping SFT degrade DPO?	Zephyr showed skipping SFT degrades DPO by 15+ points on MT-Bench	topic:dpo,topic:sft,type:paper,level:intermediate,source:research-summary
SVD-007	How much compute does DPO save vs RLHF (PPO)?	~40% less because it eliminates the reward model and value network	topic:dpo,topic:ppo,type:comparison,level:beginner,source:research-summary
SVD-008	What mathematical assumption does DPO's derivation rely on?	The Bradley-Terry preference model — preferences are transitive and determined by a scalar reward difference; breaks when preferences are intransitive	topic:dpo,type:why,level:advanced,paper:dpo,source:research-summary
SVD-009	How does IPO improve on DPO's assumptions?	IPO adds regularization to prevent overfitting the Bradley-Terry assumption; uses squared error loss requiring preference by only a margin epsilon, not sigmoid-based	topic:dpo,type:paper,level:intermediate,source:research-summary
SVD-010	What data does KTO need vs DPO?	KTO needs only binary feedback (thumbs up/down) per response; DPO needs paired preferences (which of two responses is better). KTO reduces annotation cost by ~50%	topic:dpo,type:comparison,level:intermediate,source:research-summary
SVD-011	What is GRPO's key advantage over DPO for math?	GRPO uses verifiable rewards (correctness checking) eliminating human annotation entirely; with binary math rewards, group normalization gives clean signal. DPO needs preference pairs	topic:grpo,topic:dpo,type:comparison,level:intermediate,source:research-summary
SVD-012	When does DPO vs PPO vs GRPO win?	DPO: clean paired preferences, single-turn. PPO: complex multi-objective or multi-turn. GRPO: verifiable rewards (math, code). KTO: unpaired binary feedback	topic:dpo,topic:ppo,topic:grpo,type:comparison,level:intermediate,source:research-summary
SVD-013	How do you build a preference dataset for DPO?	Generate 4-8 responses per prompt from SFT model; annotators rank pairwise; filter for >70% agreement; balance so chosen/rejected aren't trivially distinguishable (e.g., by length)	topic:dpo,type:algorithm,level:intermediate,source:research-summary
SVD-014	What is the hybrid annotation approach for DPO?	20% human-annotated (high quality, diverse) + 80% synthetic (scalable, consistent); West-of-N generates synthetic by pairing best-vs-worst of N samples	topic:dpo,type:definition,level:intermediate,source:research-summary
SVD-015	How does LoRA interact with DPO's reference model?	With LoRA, the base model IS the reference (no separate model needed); log-ratio reduces to logit difference from the adapter, halving memory and eliminating synchronization	topic:dpo,type:why,level:intermediate,source:research-summary
SVD-016	What LoRA rank is recommended for DPO vs SFT?	DPO: rank 64-128 (preference learning needs more capacity); SFT: typical rank 16-32	topic:dpo,topic:sft,type:comparison,level:intermediate,source:research-summary
SVD-017	How do you detect reward hacking in DPO?	Monitor gap between implicit reward (DPO log-ratio) and actual human win-rate; if implicit reward rises while win-rate plateaus or drops, model is hacking patterns	topic:dpo,topic:reward-models,type:definition,level:intermediate,source:research-summary
SVD-018	What are the four detection signals for DPO reward hacking?	Length divergence (>30% increase); Diversity collapse (distinct n-gram <0.7); Win-rate saturation (implicit reward climbs, MT-Bench plateaus); Sycophancy (agreement >80%)	topic:dpo,topic:reward-models,type:definition,level:intermediate,source:research-summary
SVD-019	How do you prevent catastrophic forgetting during DPO?	Mix 5-15% SFT replay data into DPO batches; use low LR (5e-7); monitor held-out capability benchmarks; use LoRA for isolation (disable adapter if regression)	topic:dpo,type:algorithm,level:intermediate,source:research-summary
SVD-020	What is online/iterative DPO and what problem does it solve?	Generates new responses from current policy, collects fresh preferences, trains next iteration — solves distribution shift where policy diverges from static training data	topic:dpo,type:definition,level:intermediate,source:research-summary
SVD-021	How do you scale DPO to 70B+ parameters?	LoRA for memory (95% saved); ZeRO-3 for weight sharding; gradient checkpointing (60% activation savings, +33% compute); reference offload to CPU or use LoRA-as-reference	topic:dpo,type:algorithm,level:intermediate,source:research-summary
SVD-022	What is the memory requirement for full-parameter DPO on 70B?	~700GB minimum: policy (140GB) + reference (140GB) + optimizer states (280GB) + gradients (140GB) — exceeds 8xA100-80GB	topic:dpo,type:definition,level:intermediate,source:research-summary
SVD-023	Can you extract the implicit reward from a DPO-trained model?	Yes: r(x,y) = beta*log(pi_DPO(y|x)/pi_ref(y|x)); valid only where policy has coverage, extrapolates poorly OOD	topic:dpo,type:formula,level:advanced,paper:dpo,source:research-summary
SVD-024	What is the theoretical relationship between DPO and RLHF?	Mathematically equivalent under Bradley-Terry assumption — DPO implicitly learns the same reward function but parameterizes it through policy log-ratio rather than separate network	topic:dpo,topic:rlhf,type:definition,level:advanced,paper:dpo,source:research-summary
SVD-025	When does the DPO-RLHF equivalence break?	Bradley-Terry misspecified (intransitive preferences); policy class restricted (LoRA can't represent optimal policy); optimization imperfect (finite data/training)	topic:dpo,topic:rlhf,type:why,level:advanced,source:research-summary
SVD-026	What does the sigma(-u) term in DPO gradient do?	Acts as adaptive weight: when model correctly ranks y_w > y_l (u>>0), gradient vanishes; when wrong (u<<0), full gradient applied — analogous to hard-example mining	topic:dpo,type:formula,level:advanced,source:research-summary
SVD-027	How should you set beta empirically?	Set beta so initial u-values have mean ~0 and std ~1 across training set; ensures sigma(-u) ~0.5 at start with full dynamic range available	topic:dpo,type:definition,level:advanced,source:research-summary
SVD-028	What is the relationship between beta and learning rate in DPO?	Per-sample gradient magnitude proportional to beta*(1-sigma(u)); lower beta amplifies implicit reward gap; product beta*LR should remain roughly constant for stability	topic:dpo,type:formula,level:advanced,source:research-summary
SVD-029	What is DPO's noise sensitivity vs PPO?	DPO is MORE sensitive — each pair's gradient directly updates policy (flipped label = wrong direction). PPO's RM averages noise across many pairs before policy update	topic:dpo,topic:ppo,type:comparison,level:advanced,source:research-summary
SVD-030	What inter-annotator agreement (Cohen's kappa) is needed for DPO?	kappa > 0.8: safe. 0.6-0.8: filter to majority-agreed pairs only. < 0.6: will actively harm DPO training	topic:dpo,type:definition,level:intermediate,source:research-summary
SVD-031	What is the "iterative LoRA DPO" pattern?	Merge adapter into base (new reference), generate fresh pairs from merged model, train new LoRA; each iteration allows O(rank) additional movement from original base	topic:dpo,type:algorithm,level:intermediate,source:research-summary
SVD-032	What is the production evaluation protocol for DPO models?	Daily: MT-Bench + safety (30 min). Weekly: 200 LLM-panel + 50 human samples. Pre-deploy: 500+ human pairwise comparisons, require >55% win-rate with p<0.05	topic:dpo,type:definition,level:intermediate,source:research-summary
SVD-033	What is the self-preference bias in LLM-as-Judge evaluation?	Models prefer outputs similar to their own style (+10-15% bias); mitigate with diverse judge panel, position-swap debiasing, and human calibration on 200 samples	topic:dpo,type:definition,level:intermediate,source:research-summary
SVD-034	What correlation do automated evaluators have with human rankings?	~0.85 at model-level (good for model selection) but only ~0.65 at instance-level (poor for individual responses)	topic:dpo,type:definition,level:intermediate,source:research-summary
