ID	Front	Back	Tags
CCK001	What are Karpathy's four core principles for CLAUDE.md configuration?	1) Think Before Coding (prevents wrong assumptions). 2) Simplicity First (prevents over-engineering). 3) Surgical Changes (prevents orthogonal edits). 4) Goal-Driven Execution (prevents imperative confusion). Each targets a specific LLM failure mode.	topic:claude-code,topic:automation,level:beginner,type:definition,source:practitioner
CCK002	What is the "goal-driven execution" pattern and why is it the highest-ROI principle?	Give success criteria instead of step-by-step instructions, then let the agent loop until criteria are met. "LLMs are exceptionally good at looping until they meet specific goals." Reduces rework by 60% on complex tasks because failures are caught at verification, not code review.	topic:claude-code,topic:automation,level:intermediate,type:why,source:practitioner
CCK003	What is the "confident junior developer" problem in AI coding?	AI agents are technically competent but prone to overconfidence and naive mistakes that compound without supervision. They make silent assumptions, over-engineer solutions, introduce orthogonal changes, and fail to present tradeoffs - all without flagging uncertainty.	topic:claude-code,topic:automation,level:beginner,type:definition,source:practitioner
CCK004	How does CLAUDE.md hierarchical configuration inheritance work?	Three-level override: Global (~/.claude/CLAUDE.md) > Project (./CLAUDE.md) > Local (./CLAUDE.local.md, gitignored). Most-specific-wins semantics. Global sets org principles, Project adds domain constraints, Local allows personal preferences without affecting team consistency.	topic:claude-code,topic:automation,level:intermediate,type:definition,source:research-summary
CCK005	What is the optimal CLAUDE.md token size based on compliance data?	~1500-3000 tokens is optimal. At 500 tokens: 62% compliance. At 1500: 84%. At 3000: 89% (plateau). At 6000: 91%. At 12000: 88% (DECREASES due to attention entropy). Past ~3000 tokens, attention distribution becomes too uniform, diluting signal.	topic:claude-code,topic:automation,level:advanced,type:formula,source:research-summary
CCK006	What is the "Surgical Changes" principle and what failure mode does it prevent?	"Touch only what you must; every line traces to request." Prevents drive-by refactoring and unintended side effects. Key rule: "Mention unrelated issues but don't fix them." If improvement is valuable, it should be a separate task/PR.	topic:claude-code,topic:automation,level:intermediate,type:definition,source:practitioner
CCK007	How does CLAUDE.md compare to fine-tuning and ad-hoc prompting?	Ad-hoc: no persistence, low transparency, zero cost, maximum flexibility. CLAUDE.md: persistent file, high transparency, low cost (setup hours), per-project scope. Fine-tuning: permanent in weights, low transparency (opaque), high cost ($500K+), global only.	topic:claude-code,topic:automation,level:intermediate,type:comparison,source:research-summary
CCK008	What is the ReAct loop pattern for goal-driven execution?	while not success_criteria(state) and iterations < max_iter: thought = reason(state, history); action = select_action(thought); observation = execute(action); state = update(state, observation). If no progress: self-critique via Reflexion and store verbal reinforcement.	topic:claude-code,topic:automation,level:advanced,type:algorithm,source:research-summary
CCK009	What four key metrics measure CLAUDE.md configuration effectiveness?	1) Diff focus ratio = requested changes / total changes (target >0.85). 2) Rewrite frequency (implementations needing refactoring). 3) Clarification-before-implementation rate. 4) First-pass acceptance rate (code accepted without modification).	topic:claude-code,topic:automation,level:intermediate,type:definition,source:research-summary
CCK010	What is the context window budget allocation problem?	For model with limit L tokens: Config (C) + Code context (K) + Conversation history (H) <= L. Must maximize compliance(C) + code_quality(K,H) subject to minimums for each. Solution: tiered config loading - core principles always, domain rules conditionally, verbose guidelines on-demand.	topic:claude-code,topic:automation,level:advanced,type:formula,source:research-summary
CCK011	What cost savings does proper CLAUDE.md configuration provide?	Reduces debugging overhead by 40-60%, saving $100-200/developer/month for teams above 10 engineers. At scale: 10 devs save ~$48K/month net, 100 devs save ~$613K/month net, 1000 devs save ~$7.4M/month net through reduced rework and debugging.	topic:claude-code,topic:automation,level:intermediate,type:definition,source:research-summary
CCK012	What is the permission model architecture in Claude Code?	Capability-based security with deny-by-default and progressive trust levels: Never-allow (destructive ops, hardcoded deny), Always-ask (network/external writes, per-invocation), Session-allow (approve once per session), Permanent-allow (in settings.json, persists).	topic:claude-code,topic:automation,level:intermediate,type:definition,source:research-summary
CCK013	How should you debug an AI agent making too many orthogonal changes?	1) Is Surgical principle active in loaded config? 2) Is task complexity >8? Decompose into subtasks. 3) Is context near token limits? Prune non-essential. 4) Is median files-modified-per-request >3? Need stricter boundaries. Track diff_focus_ratio (alert if <0.7).	topic:claude-code,topic:automation,level:intermediate,type:algorithm,source:research-summary
