ID	Front	Back	Tags
SFT-001	What is the LIMA finding about SFT?	"Almost all knowledge in large language models is learned during pretraining, and only limited instruction tuning data is necessary" — 1K examples sufficed, 43% preferred over GPT-4	topic:sft,type:paper,level:beginner,source:research-summary
SFT-002	What did DEITA achieve with only 6K samples?	7.55 MT-Bench score via complexity/quality/diversity scoring (ICLR 2024); matched SOTA with minimal data	topic:sft,type:paper,level:intermediate,source:research-summary
SFT-003	What is the data repetition rule for SFT?	Up to 4 epochs of repeated data is effectively free (negligible loss change); beyond 4 epochs provides zero additional learning benefit. Validated across 400 runs, 900B tokens	topic:sft,type:definition,level:intermediate,source:research-summary
SFT-004	What is BFD packing and what does it achieve?	Best-Fit Decreasing packing (ICML 2024): 2x throughput, -20% memory, -58% hallucination, +4.7% reading comprehension, +16.8% context following	topic:sft,type:paper,level:intermediate,source:research-summary
SFT-005	What technical requirement does BFD packing have?	Requires flash_attn_varlen_func with cu_seqlens + position_ids to prevent cross-example attention leakage	topic:sft,type:definition,level:intermediate,source:research-summary
SFT-006	What is NEFTune and what improvement does it give?	Add noise to embedding vectors during training; LLaMA-2-7B: 29.8% to 64.7% on AlpacaEval. Zero cost, zero complexity — enable by default	topic:sft,type:paper,level:beginner,source:research-summary
SFT-007	What is "train-on-responses-only" in SFT?	Set label=-100 on prompt tokens so model only learns to generate responses, not user prompts; in TRL: assistant_only_loss=True	topic:sft,type:definition,level:beginner,source:research-summary
SFT-008	What is chunked NLL and what does it save?	Drops masked positions BEFORE lm_head matmul, reducing VRAM by 30-50%; set loss_type="chunked_nll" in TRL v1.5.1	topic:sft,type:definition,level:intermediate,source:research-summary
SFT-009	What learning rate should you use for 7B full fine-tuning vs LoRA?	Full FT: 2e-5. LoRA: 1-3e-4. Scale down for larger models (70B full FT: 5e-6 to 1e-5)	topic:sft,type:definition,level:intermediate,source:research-summary
SFT-010	How many epochs should you train for SFT?	2-3 for 7B-13B; 1-2 for 70B; 1 for 400B+. Beyond 3 epochs models memorize patterns; the repetition paper proves >4x is worthless	topic:sft,type:definition,level:intermediate,source:research-summary
SFT-011	Why is dropout OFF for SFT?	SFT runs are only 1-3 epochs; LoRA "mitigates forgetting more than common regularization techniques such as weight decay and dropout"	topic:sft,type:why,level:intermediate,source:research-summary
SFT-012	Compare LoRA vs full fine-tuning for SFT	LoRA: 3-10x less memory, 0.1-2% params, 95-99% of full FT quality, less forgetting, 7.8x cheaper. Full FT: maximum quality, learns perturbations with rank 10-100x greater	topic:sft,type:comparison,level:intermediate,source:research-summary
SFT-013	What is FIM (Fill-in-the-Middle) for code?	Move middle span to end of sequence at 50% rate during training; two modes: PSM and SPM. Does NOT harm autoregressive performance. Train all future models with FIM by default	topic:sft,type:definition,level:intermediate,source:research-summary
SFT-014	What does process supervision achieve for math SFT?	PRM800K: 800K step-level human labels achieves 78% on MATH; each reasoning step gets a correctness label, dramatically outperforming outcome-only	topic:sft,topic:reward-models,type:paper,level:intermediate,source:research-summary
SFT-015	What is LongLoRA's achievement?	Extends 7B model from 4K to 100K context on a single 8xA100 machine; uses Shifted Sparse Attention during training, dense at inference	topic:sft,type:paper,level:intermediate,source:research-summary
SFT-016	What layers MUST be trainable for context extension?	Embedding and normalization layers — LongLoRA found these must be trainable for context extension to work	topic:sft,type:definition,level:intermediate,source:research-summary
SFT-017	What is the SFT ceiling problem?	SFT cannot exceed demonstration quality; this is why every top lab follows SFT with RL to raise the ceiling beyond what imitation can achieve	topic:sft,topic:rlhf,type:why,level:beginner,source:research-summary
SFT-018	What did Evol-Instruct (WizardLM) achieve?	"Superior to human-created" instructions; 90% of ChatGPT on 17/29 skills through evolved instruction complexity (ICLR 2024)	topic:sft,type:paper,level:intermediate,source:research-summary
SFT-019	What did Orca achieve with synthetic data?	GPT-4 explanation traces enabled a 13B model to surpass Vicuna by 100% on BigBench-Hard	topic:sft,type:paper,level:intermediate,source:research-summary
SFT-020	What did Phi-3 achieve?	"Textbooks" + web filtering at only 3.8B parameters gets 69% MMLU — proving data quality can substitute for model scale	topic:sft,type:paper,level:intermediate,source:research-summary
SFT-021	What is the key insight about what SFT teaches?	SFT teaches FORMAT, not CAPABILITY — all knowledge comes from pretraining; SFT just teaches the model to produce it in the right format	topic:sft,type:why,level:beginner,source:research-summary
SFT-022	What is ORPO's contribution to SFT?	Combines SFT + preference optimization in a single step; "a minor penalty for disfavored style is sufficient" — eliminates need for separate DPO stage	topic:sft,topic:dpo,type:paper,level:intermediate,source:research-summary
SFT-023	What precision should you always use for SFT?	BF16 — larger dynamic range than FP16, no loss scaling needed, standard on A100/H100	topic:sft,type:definition,level:beginner,source:research-summary
SFT-024	What is the loss function priority hierarchy for SFT?	1: NEFTune (free +8-35%); 2: Answer-only loss; 3: Chunked NLL (-30-50% VRAM); 4: Standard cross-entropy; 5: ORPO; 6: Label smoothing (rarely needed)	topic:sft,type:algorithm,level:intermediate,source:research-summary
SFT-025	What is OpenAI's unique contribution to post-training?	Proved SFT then RLHF works: 1.3B InstructGPT outperformed 175B GPT-3 in human preference	topic:sft,topic:rlhf,type:paper,level:beginner,paper:instructgpt,source:research-summary
SFT-026	What is Anthropic's unique contribution to post-training?	Proved no human harm labels needed — constitutional principles suffice for safety alignment	topic:sft,topic:constitutional-ai,type:paper,level:beginner,paper:constitutional-ai,source:research-summary
SFT-027	What is DeepSeek's unique contribution to post-training?	Proved minimal SFT + strong RL (GRPO) = cost-efficient SOTA; minimal cold-start SFT sufficient	topic:sft,topic:grpo,type:paper,level:beginner,paper:deepseek-r1,source:research-summary
SFT-028	What is Google's unique contribution to post-training?	Proved distillation can replace SFT entirely for small models (Gemma 2B/9B via knowledge distillation)	topic:sft,type:paper,level:intermediate,source:research-summary
SFT-029	What is Meta's SFT scale in Llama 3.1?	10M+ human annotations with rejection sampling as quality filter; multi-stage pipeline (SFT + Rejection Sampling + PPO + DPO)	topic:sft,type:paper,level:intermediate,source:research-summary
SFT-030	What is Qwen 2.5's SFT approach?	1M+ curated samples via quality scoring across 29 languages, built on 18T token pretraining	topic:sft,type:paper,level:intermediate,source:research-summary
SFT-031	What scheduler and warmup should you use for SFT?	Cosine scheduler with 30-step warmup (7B) to 200+ steps (400B+); this is the universal default across StarCoder and most recipes	topic:sft,type:definition,level:beginner,source:research-summary
SFT-032	What is the StarCoder SFT recipe?	lr=5e-5, seq=2048, cosine scheduler, bf16. Full FT: 9hrs/$108 (8xA100). QLoRA: 12.5hrs/$14 (1xA100)	topic:sft,type:definition,level:intermediate,source:research-summary
SFT-033	What is MM1's key finding for vision-language SFT?	"Image encoder + resolution matters most; connector design is negligible" — focus on CLIP quality and resolution, not connector architecture	topic:sft,type:paper,level:intermediate,source:research-summary
SFT-034	What effective batch size should you use for SFT?	7B: 32-128; 13B: 64-128; 70B: 128-256; 400B+: 256+ (via gradient accumulation)	topic:sft,type:definition,level:intermediate,source:research-summary
SFT-035	What is the practitioner recipe for 7B SFT?	ChatML format, BFD packing, CE+NEFTune, LR 2e-5 (full) or 1e-4 (LoRA r=32-64), cosine 30-step warmup, 2-3 epochs, batch 32-128, BF16, gradient checkpointing	topic:sft,type:algorithm,level:intermediate,source:research-summary
SFT-036	How long does 7B SFT take on 10K-50K examples?	2-6 hours on 1x A100-80GB (QLoRA) or 4-12 hours on 8x A100 (full FT)	topic:sft,type:definition,level:beginner,source:research-summary
SFT-037	What does Self-Rewarding LMs achieve?	Model self-judges its outputs over 3 iterations, beating Claude 2 and GPT-4 (ICML 2024) — demonstrates SFT from self-generated signal	topic:sft,type:paper,level:intermediate,source:research-summary
SFT-038	What is DeepSeekMath's pretraining strategy before SFT?	120B math tokens from Common Crawl for continued pretraining BEFORE SFT — domain-specific pretraining extension	topic:sft,type:paper,level:intermediate,source:research-summary
SFT-039	What is the trend replacing expensive human annotation in SFT?	Synthetic data from stronger models (Orca, Phi-3, Evol-Instruct) replacing expensive human annotation	topic:sft,type:definition,level:beginner,source:research-summary
SFT-040	When should you use full FT over LoRA?	When there's a >5% quality gap with LoRA; when model is <7B (full FT is affordable); or when maximum capability ceiling is needed	topic:sft,type:tradeoff,level:intermediate,source:research-summary
SFT-041	What weight decay should you use for SFT?	0 to 0.01 for 7B-13B (StarCoder uses 0.01); 0 for 70B+. LoRA is a better regularizer than weight decay	topic:sft,type:definition,level:intermediate,source:research-summary
SFT-042	What does "full FT learns perturbations with rank 10-100x greater than LoRA" mean?	Full fine-tuning can modify the model in higher-rank directions that LoRA's low-rank constraint prevents; this is the 1-5% quality gap between them	topic:sft,type:why,level:advanced,source:research-summary
SFT-043	What is the recommended approach for tool-use/function-calling SFT?	Train on simple calls, multiple selection, parallel calls, and implicit parameter conversion; formats include OpenAI JSON Schema, Gorilla OpenFunctions, REST API	topic:sft,type:definition,level:intermediate,source:research-summary
SFT-044	What does the TRL setting max_length=None do for vision?	Avoids truncating image tokens which can destroy visual information in vision-language training	topic:sft,type:definition,level:intermediate,source:research-summary
