ID	Front	Back	Tags
NR001	Why do LLMs fundamentally struggle with arithmetic despite training on mathematical text?	Three root causes: 1) BPE tokenization destroys positional magnitude structure (42317 may tokenize as ["42",",","317"]). 2) Transformers lack explicit carry-propagation circuits needed for multi-digit arithmetic. 3) Numbers in training text follow Zipf's law - large numbers are systematically underrepresented.	topic:numerical-repr,level:beginner,type:why,source:research-summary
NR002	What is the killer framing for LLM numerical limitations?	"LLMs don't understand numbers - they perform approximate pattern matching on digit sequences. The tokenizer sees '1234' as arbitrary subword chunks, not as 1x10^3 + 2x10^2 + 3x10^1 + 4x10^0. Every production system that needs numerical reliability must route computation externally."	topic:numerical-repr,level:beginner,type:definition,source:research-summary
NR003	How does BPE tokenization create inconsistent number representations?	BPE merges frequent byte pairs: "100" becomes one token, "101" is one token too but completely different, "1234" splits as ["12","34"], "12345" as ["123","45"]. The same digit at the same position gets different structural representations, preventing systematic generalization of arithmetic rules.	topic:numerical-repr,paper:bpe-tokenization,level:intermediate,type:why,source:research-summary
NR004	What is the xVal continuous number encoding and what problem does it solve?	xVal represents numbers as: embedding(x) = x * e_num, where x is the scalar value and e_num is a learned vector. This preserves magnitude (embed(2x) = 2*embed(x)), enables interpolation between unseen values, and eliminates tokenization artifacts. Achieves 2-3x better interpolation on unseen ranges.	topic:numerical-repr,paper:xval,level:intermediate,type:algorithm,source:research-summary
NR005	What is the core architectural decision for numerical computation in LLMs?	Whether to compute within the model (embedding arithmetic for estimation/comparison) or delegate to external tools (calculator APIs for exact computation). Tool augmentation adds 200-500ms latency but improves multi-digit arithmetic from ~60% to ~99% accuracy.	topic:numerical-repr,level:beginner,type:tradeoff,source:research-summary
NR006	How do transformers implement addition in their activation space?	They learn "digit circuits": 1) Position-detection heads identify digit positions. 2) Sum-computation neurons in MLPs add corresponding digits. 3) Carry-propagation heads propagate carries one position per layer. Critical limitation: L layers can propagate carries at most L positions.	topic:numerical-repr,level:advanced,type:algorithm,source:research-summary
NR007	Why can't transformers generalize arithmetic to longer operand lengths?	A transformer with L layers can propagate carries at most L positions. For N-digit addition, you need O(N) layers for guaranteed correctness. A 6-layer model trained on 5-digit addition achieves 99%+ on 5-digit but drops to <10% on 6-digit. This is fundamental, not a data problem.	topic:numerical-repr,level:advanced,type:why,source:research-summary
NR008	What is "grokking" in the context of arithmetic learning?	Models first memorize training examples (training loss -> 0), then suddenly generalize to a correct algorithm after extended training far past zero training loss. This phase transition represents the model discovering the carry-propagation algorithm versus memorizing a lookup table.	topic:numerical-repr,level:advanced,type:definition,source:research-summary
NR009	How does the training data distribution of numbers follow Zipf's law?	Small numbers (1-100) appear millions of times per billion tokens while large numbers (78432) appear only ~500 times. This creates: round number bias, high accuracy on small numbers but systematic failure on large ones, and year/date artifacts where "2024" has rich embedding but "1847" is sparse.	topic:numerical-repr,level:intermediate,type:definition,source:research-summary
NR010	What is the frequency-accuracy correlation in LLM number embeddings?	Numbers appearing >1M times: linear probe accuracy 90%+ for magnitude. Numbers appearing 10K-100K: 70-80% accuracy. Numbers <1K occurrences: near chance (50-55%). The model's numerical understanding is directly proportional to training frequency.	topic:numerical-repr,level:intermediate,type:definition,source:research-summary
