ID	Front	Back	Tags
LFO-001	What is LLM orchestration?	The discipline of coordinating multiple external tools, APIs, and systems through language model reasoning to accomplish complex tasks that no single tool call can solve.	topic:orchestration,level:beginner,type:definition,source:research-summary
LFO-002	What is the core architectural question in LLM orchestration?	Who controls the execution flow: the model (autonomous agent), a fixed graph (workflow engine), or a hybrid (model proposes, graph constrains).	topic:orchestration,level:intermediate,type:why,source:research-summary
LFO-003	What is the "killer insight" about the evolution of LLM orchestration?	The evolution is from "model uses tool" to "model IS the orchestrator." The LLM replaces the traditional workflow engine but can handle ambiguity, recover from failures, and adapt plans mid-execution.	topic:orchestration,level:intermediate,type:definition,source:research-summary
LFO-004	Name the four levels of the orchestration complexity spectrum.	(1) Single call — 1 tool, 1 turn, deterministic; (2) Multi-step — ReAct loop, iterative; (3) Workflow — DAG/graph, pre-planned; (4) Autonomous agent — open-ended, adaptive, self-repairing.	topic:orchestration,level:beginner,type:comparison,source:research-summary
LFO-005	What did OpenAI Function Calling (2023) contribute to LLM tool use?	Structured JSON output that triggers API calls; the model decides which tool to call and constructs the arguments. Limited to one tool per turn with no multi-step reasoning.	topic:tool-use,level:beginner,type:definition,source:research-summary
LFO-006	What was Gorilla's (2023) contribution to LLM tool use?	Retrieval-augmented API selection — enabling LLMs to scale to large tool surfaces by retrieving relevant API documentation at inference time.	topic:tool-use,paper:gorilla,level:intermediate,type:paper,source:research-summary
LFO-007	What is the ReAct pattern?	A Reason-Act-Observe loop where the model interleaves thinking (reasoning about which tool to use) with action (calling the tool) and observation (processing results), iterating until the task is complete.	topic:orchestration,topic:tool-use,paper:react,level:beginner,type:algorithm,source:research-summary
LFO-008	What key transition did ReAct represent in tool use evolution?	Tool use became iterative and adaptive — the model observes tool results and decides next steps, marking the beginning of genuine orchestration. Still linear (one tool at a time, no parallelism).	topic:orchestration,paper:react,level:intermediate,type:why,source:research-summary
LFO-009	What is Toolformer and what did it demonstrate?	A system (Schick et al., 2023) where models learn to insert tool calls during generation autonomously — the model teaches itself when and how to call tools without explicit prompting.	topic:tool-use,paper:toolformer,level:intermediate,type:paper,source:research-summary
LFO-010	What was CRITIC's contribution to tool-using LLMs?	External tools (search, code execution) are used to verify and critique model outputs, creating a self-correction loop.	topic:tool-use,level:intermediate,type:definition,source:research-summary
LFO-011	What is planning-based tool use and why is it important?	The model separates planning from execution — deciding which tools in what order with what dependencies BEFORE executing. Enables complex tool compositions and better failure recovery.	topic:planning,topic:orchestration,level:intermediate,type:definition,source:research-summary
LFO-012	What was HuggingGPT's core contribution?	An LLM plans which specialist models/tools to invoke for complex tasks — using the LLM as a task planner that decomposes problems and routes to specialist AI models on Hugging Face.	topic:planning,topic:orchestration,paper:hugginggpt,level:intermediate,type:paper,source:research-summary
LFO-013	What is TaskWeaver's approach to orchestration?	Code-first orchestration where the LLM generates execution plans AS CODE, making plans precise, inspectable, and directly executable.	topic:orchestration,topic:planning,level:intermediate,type:definition,source:research-summary
LFO-014	What key transition did Stage 3 (Planning-Based Tool Use) represent?	Separation of planning from execution. Plan first (which tools, what order, what dependencies), then execute. This enables more complex compositions and better failure recovery vs. step-by-step ReAct.	topic:planning,level:intermediate,type:why,source:research-summary
LFO-015	What is DSPy and what problem does it solve?	A framework that compiles declarative language model programs (including tool use) into optimized pipelines via automated search — enabling programmatic optimization of tool-using systems.	topic:orchestration,level:intermediate,type:definition,source:research-summary
LFO-016	What is LangGraph's core contribution to orchestration?	Graph-based agent orchestration with support for cycles, state management, conditional routing, and parallel branches — moving orchestration from ad-hoc loops to a principled framework.	topic:orchestration,level:intermediate,type:definition,source:research-summary
LFO-017	How does AutoGen approach multi-agent tool use?	Multi-agent conversations where each agent has its own tool access. Agents converse and delegate to each other, enabling collaborative problem-solving with specialized tool domains.	topic:orchestration,level:intermediate,type:definition,source:research-summary
LFO-018	What is CrewAI's approach to orchestration?	Role-based multi-agent orchestration with explicit task delegation — agents are assigned roles (researcher, writer, coder) and coordinate toward shared goals.	topic:orchestration,level:intermediate,type:definition,source:research-summary
LFO-019	What key transition did Stage 4 (Programmatic Frameworks) represent?	Orchestration became an engineering discipline with frameworks, patterns, and best practices. Developers compose tools, agents, and control flow; the framework handles state, retry logic, and parallelism.	topic:orchestration,level:intermediate,type:why,source:research-summary
LFO-020	What is Claude Computer Use and what paradigm shift does it represent?	Claude interacts with any software via screenshots + mouse/keyboard actions. The paradigm shift: "tools" expand from structured APIs to ANY software accessible via a screen — no pre-defined tool schemas needed.	topic:tool-use,topic:orchestration,level:intermediate,type:definition,source:research-summary
LFO-021	What new challenges does GUI/Computer Use introduce for orchestration?	Visual grounding (interpreting screenshots correctly), latency (screen rendering adds delay), error recovery from complex UI state, and the massively expanded tool surface making planning harder.	topic:tool-use,level:advanced,type:tradeoff,source:research-summary
LFO-022	What is the key insight of multi-agent tool delegation (Stage 6)?	No single agent handles all tools. Specialist agents (code, search, data) are coordinated by an orchestrator — mirroring human team structures where each agent has domain expertise and tool proficiency.	topic:orchestration,level:intermediate,type:definition,source:research-summary
