ID	Front	Back	Tags
SIA-001	What are self-improving agents?	AI systems that enhance their own capabilities through experience -- without (or in addition to) human-driven retraining. The core architectural question is where to route improvements: to the harness (prompts, planning, memory, tools), to the weights (SFT/RL), or both.	topic:self-improvement,level:beginner,type:definition,source:research-summary
SIA-002	What is the "improvement router" concept in self-improving agents?	Self-improvement is not one mechanism -- it is a router. Reflections that improve a prompt land in minutes; reflections that improve weights land in days. The architecture IS the routing table. Timescales: seconds (working memory), minutes (prompt/plan), hours (skill library), days (model weights), weeks (architecture).	topic:self-improvement,topic:harness-optimization,level:intermediate,type:algorithm,source:research-summary
SIA-003	What is Retrospective Harness Optimization (RHO)?	A 2026 framework from Microsoft Research that reflects on execution trajectories to patch prompts, planning, workflows, and routing. Improvements are validated by regression tests before deployment. First systematic framework for improving agent harnesses without weight changes.	topic:harness-optimization,topic:rho,paper:rho,level:intermediate,type:paper,source:research-summary
SIA-004	What is Voyager's approach to lifelong learning?	Agents write code skills to a library, reuse them on future tasks via curriculum-driven exploration. Results: 3.3x more items and 15.3x faster milestone completion in Minecraft vs ReAct baseline. Skills transfer to new worlds.	topic:skill-learning,topic:voyager,paper:voyager,level:intermediate,type:paper,source:research-summary
SIA-005	What is Reflexion and why is it foundational?	Reflexion (Shinn et al., 2023) introduces verbal self-critique stored in memory, enabling retry without weight updates. The Run-Reflect-Retry loop is foundational for in-context self-improvement. Achieved 91% pass@1 on HumanEval via iterative reflection.	topic:reflection,paper:reflexion,level:beginner,type:paper,source:research-summary
SIA-006	What is the self-training loop (ReST/Re-ReST/Agent-R)?	Reflections become fine-tuning data: generate trajectories -> filter/correct -> SFT (supervised fine-tuning). ReST generates and filters, Re-ReST adds reflection-corrected trajectories, Agent-R does automatic trajectory repair to create supervision signals.	topic:self-improvement,topic:self-training,level:intermediate,type:algorithm,source:research-summary
SIA-007	What is DSPy and how does it relate to self-improvement?	DSPy (Khattab et al., 2023+) enables programmatic optimization of prompts, demonstrations, and multi-step pipelines via automated search. It treats prompts as compilable programs rather than hand-tuned text.	topic:harness-optimization,paper:dspy,level:intermediate,type:paper,source:research-summary
SIA-008	What is the key transition in Stage 1 (Foundations: Planning Before LLMs)?	Agents can improve by interacting with environments without human-supplied demonstrations. Established by AlphaGo (2016), AlphaZero (2018), and MuZero (2020) through self-play and learned world models.	topic:self-improvement,level:beginner,type:definition,source:research-summary
SIA-009	What did AlphaZero demonstrate about self-improvement?	Pure self-play leads to improved policy on repeat -- autonomous improvement without human demonstrations. A general RL algorithm that mastered chess, shogi, and Go (Silver et al., 2018).	topic:self-improvement,paper:alphazero,level:beginner,type:paper,source:research-summary
SIA-010	What is the key transition in Stage 2 (Chain-of-Thought & Deliberate Reasoning)?	Reasoning becomes explicit and decomposable. Chain-of-Thought (2022) adds intermediate reasoning steps, Self-Consistency selects from multiple reasoning paths, and Least-to-Most automatically decomposes complex tasks.	topic:reasoning,level:beginner,type:definition,source:research-summary
