ID	Front	Back	Tags
INV001	What is the Presidential Election Cycle Theory and who originated it?	Proposed by Yale Hirsch in Stock Trader's Almanac (1967+). It documents a 4-year pattern: Year 2 (midterm) is weakest for equities (-0.1% S&P avg), Year 3 (pre-election) is strongest (+12.3%). Based on data back to 1833.	topic:investing,level:beginner,type:definition,source:research-summary
INV002	What are the average S&P 500 returns by presidential cycle year (1960-2024)?	Year 1 (Post-Election): +8.6%, 69% positive. Year 2 (Midterm): -0.1%, 44% positive. Year 3 (Pre-Election): +12.3%, 88% positive. Year 4 (Election): +7.3%, 75% positive.	topic:investing,level:intermediate,type:definition,source:research-summary
INV003	What is the hit rate for positive returns in post-midterm years since 1960?	88% (14 out of 16 post-midterm years were positive). Every midterm since 1950 was followed by positive 12-month returns.	topic:investing,level:beginner,type:definition,source:research-summary
INV004	Is the presidential election cycle theory statistically significant?	No. U.S. Bank's formal statistical testing (2024) concluded the pattern is directionally correct but NOT statistically significant given wide variability (from -30% to +24% in midterm years) and small sample size (only 16 cycles since 1960).	topic:investing,level:intermediate,type:why,source:research-summary
INV005	How does the Nasdaq amplify the presidential election cycle pattern vs S&P 500?	Nasdaq midterm avg: -0.5% (vs S&P -0.1%). Nasdaq post-midterm avg: +28.8% (vs S&P +12.3%). Best post-midterm: Nasdaq +85.6% in 1999 vs S&P +32.1% in 1995. Nasdaq amplifies 2.5x due to growth/tech stock concentration and rate sensitivity.	topic:investing,level:intermediate,type:comparison,source:research-summary
INV006	What are the two notable post-midterm rally failures?	1987 (post-1986): -8.9% due to Black Monday crash. 2011 (post-2010): -3.1% due to European debt crisis + U.S. credit downgrade. In both cases, macroeconomic forces overwhelmed the political cycle.	topic:investing,level:intermediate,type:comparison,source:research-summary
INV007	What five mechanisms are proposed to explain the presidential election cycle pattern?	1) Front-loaded fiscal pain (unpopular policies pushed early). 2) Policy uncertainty premium before midterms. 3) Divided government reduces surprises. 4) Re-election stimulus spending ramps in Year 3. 5) Mean reversion from beaten-down valuations.	topic:investing,level:intermediate,type:why,source:research-summary
INV008	What is the Uncertainty Premium Model in the context of election cycles?	Markets discount policy uncertainty before midterm elections. The premium dissipates after the election resolves congressional control, contributing to the post-midterm rally as uncertainty is removed from pricing.	topic:investing,level:intermediate,type:definition,source:research-summary
INV009	What is the Divided Government Alpha hypothesis?	The hypothesis that gridlock (common post-midterm when Congress splits from the President) reduces legislative risk, favoring equities because fewer surprise policy changes can disrupt markets.	topic:investing,level:intermediate,type:definition,source:research-summary
INV010	What was the largest midterm-to-post-midterm swing in S&P 500 history?	1974 to 1975: S&P went from -30.2% to +22.2%, a swing of +52.4 percentage points. This was the worst midterm year (oil crisis, Watergate) followed by a strong recovery.	topic:investing,level:intermediate,type:definition,source:research-summary
INV011	Do markets decline before big IPOs?	No - the opposite is true. Average S&P 500 performance before the 6 largest IPOs: +0.5% (30 days before), +2.0% (60 days before), +4.6% (90 days before). Companies deliberately time IPOs for bull markets.	topic:investing,level:beginner,type:definition,source:research-summary
INV012	Why are markets typically strong before major IPOs?	Companies deliberately time IPOs for bull markets ("IPO window"). IPO volume surges in strong markets (1,035 in 2021 bull vs 181 in 2022 bear - 83% collapse). Academic evidence shows positive correlation between IPO volume and market level in 14/15 countries.	topic:investing,level:intermediate,type:why,source:research-summary
INV013	Is the "mega-IPO liquidity drain" a real market-wide concern?	No. Mega-IPOs absorb $10-25B, but relative to $40-50T total U.S. market cap this is only ~0.05%. Effects are sector-level not market-wide (e.g., after Facebook IPO: Zynga -13.4%, but S&P impact minimal).	topic:investing,level:intermediate,type:why,source:research-summary
INV014	What is the legitimate concern about IPO booms as market signals?	IPO clusters may signal market tops, but declines come AFTER (not before) the IPO wave. Crash probability after IPO wave: ~20% vs base rate ~14%. Examples: 1999-2000 (480 IPOs then Nasdaq -78%), 2021-2022 (1,035 IPOs then S&P -20%).	topic:investing,level:advanced,type:tradeoff,source:research-summary
INV015	What common misconception do people have about IPOs and market performance?	People confuse two claims: (1) "Markets decline BEFORE big IPOs" which is FALSE, with (2) "Markets decline AFTER IPO booms" which is SOMETIMES TRUE (20% rate). The second gets misremembered as the first.	topic:investing,level:beginner,type:comparison,source:research-summary
INV016	What midterm years broke the "weak midterm" pattern most dramatically?	1982: +18.8% (Volcker rate cuts), 1986: +19.4% (bull continuation), 1998: +23.5% (dot-com bubble inflating), 2014: +12.7% (QE bull market). Common factor: monetary policy overwhelmed the political cycle.	topic:investing,level:intermediate,type:comparison,source:research-summary
INV017	How should investors frame the midterm election cycle effect for decision-making?	"The midterm effect is a directional bias, not a trading signal. It tells you the base rate favors patience through midterm weakness, but any individual cycle can be dominated by Fed policy, recession, or geopolitical shocks."	topic:investing,level:intermediate,type:tradeoff,source:research-summary
INV018	What key driver explains each year of the presidential cycle?	Year 1: Honeymoon optimism. Year 2: Pain front-loaded (unpopular policies). Year 3: Stimulus ramp-up for re-election. Year 4: Caution + hope.	topic:investing,level:beginner,type:definition,source:research-summary
INV019	How did the 2022-2023 cycle validate the presidential election cycle theory?	S&P 500 went from -14.5% in 2022 (midterm year) to +18.3% in 2023 (post-midterm), a swing of +32.8 percentage points. This was consistent with the historical pattern of midterm weakness followed by post-midterm strength.	topic:investing,level:beginner,type:definition,source:research-summary
INV020	What are the four open problems with the presidential election cycle theory?	1) Statistical insignificance despite directional correctness. 2) Only 16 midterm cycles since 1960 - too few for robust inference. 3) Monetary policy and exogenous shocks often overwhelm the signal. 4) Survivorship bias - pattern documented primarily in U.S. markets.	topic:investing,level:advanced,type:tradeoff,source:research-summary
INV021	When did Ameriprise find volatility peaks relative to midterm elections?	Volatility peaks approximately 60 trading days before midterm election day (roughly 3 months prior), then dissipates as the election outcome becomes clearer.	topic:investing,level:intermediate,type:definition,source:research-summary
INV022	What is the performance comparison of DJIA in the presidential cycle?	DJIA (1943-2024): Midterm year avg approximately +2%, Post-midterm avg +15%, with approximately 90% hit rate for positive post-midterm years.	topic:investing,level:intermediate,type:comparison,source:research-summary
INV023	What was the IPO volume collapse from bull to bear market (2021-2022)?	IPO volume collapsed 83% from 1,035 IPOs in 2021 (bull market) to just 181 in 2022 (bear market), demonstrating that companies avoid IPO-ing in weak markets.	topic:investing,level:intermediate,type:definition,source:research-summary
INV024	How does the 1987 crash illustrate the limits of the presidential cycle theory?	1986 was a strong midterm year (+19.4%), so 1987 "should have" been positive per the pattern. Instead, Black Monday caused -8.9%. This shows macroeconomic events (portfolio insurance unwinding, overvaluation) can completely override the political cycle.	topic:investing,level:advanced,type:tradeoff,source:research-summary
INV025	What is the mean reversion mechanism in the presidential cycle?	Beaten-down valuations during midterm years create mechanical buying opportunities. Cheap valuations attract buyers, contributing to the post-midterm rally independent of any political mechanism.	topic:investing,level:intermediate,type:why,source:research-summary
INV026	What is the practical takeaway from the presidential election cycle for a long-term investor?	The base rate strongly favors staying invested through midterm weakness (88% of post-midterm years are positive). It argues against panic-selling during midterm-year drawdowns, but should not be used as a timing signal for leveraged bets.	topic:investing,level:beginner,type:tradeoff,source:research-summary
INV027	What does the Nasdaq's +85.6% return in 1999 (post-midterm) demonstrate?	It shows the extreme amplification of the cycle pattern in higher-beta indices. The Nasdaq's concentration in growth/tech stocks makes it more responsive to easing/stimulus typically deployed in Year 3, but this particular case was also inflated by the dot-com bubble.	topic:investing,level:advanced,type:why,source:research-summary
INV028	What academic evidence supports the claim that IPOs are timed to strong markets?	Loughran & Ritter (University of Florida) found positive correlation between IPO volume and market level in 14 out of 15 countries studied, confirming that companies deliberately time IPOs for favorable market conditions.	topic:investing,level:intermediate,type:definition,source:research-summary
INV029	What sector-level effects occurred after major IPOs?	After Facebook IPO: Zynga -13.4%. After Alibaba IPO: Amazon -2.1%, eBay -1.4%. These are sector-level competitor effects (capital rotation, valuation comparison), not market-wide liquidity drains.	topic:investing,level:intermediate,type:definition,source:research-summary
INV030	What is the difference between the midterm pattern's "hit rate" reliability and statistical significance?	Hit rate is high (88% post-midterm positive), but statistical significance requires the MAGNITUDE of differences to be reliably distinguishable from random variation given the sample size. Wide variance (-30% to +24% in midterm years) and only 16 data points prevent significance.	topic:investing,level:advanced,type:comparison,source:research-summary
