ID	Front	Back	Tags
ARK001	What is the core architectural question for LLMs in the ranking pipeline?	Where does the LLM sit in the ranking pipeline, and at what latency/cost? Options: feature generator (safest, zero latency impact), reranker (200-500ms, small candidate set), distilled ranker (LLM quality at cross-encoder latency), LLM-as-judge (massive-scale labeling), or RL ranking policy (long-term value optimization).	topic:ranking,topic:search,level:intermediate,type:tradeoff,source:research-summary
ARK002	What is the "killer insight" about LLMs in ranking?	The LLM's primary value in ranking isn't real-time scoring -- it's defining what "good" means. LLMs serve as offline teachers/judges that set the standard; distilled models serve that standard in real-time. The LLM is the curriculum designer; the production ranker is the student.	topic:ranking,level:advanced,type:why,source:research-summary
ARK003	What is the teacher-student pattern in LLM ranking?	Offline (teacher): GPT-4/Claude generates ranking labels or permutations, evaluates via LLM-as-judge. Online (student): Distilled 7B ranker scores candidates in <50ms, serves at production scale, continuously retrained on teacher data. Every successful LLM-ranking deployment follows this pattern.	topic:ranking,level:intermediate,type:algorithm,source:research-summary
ARK004	How does LLM-as-feature-generator work for ranking (Stage 1)?	LLMs run offline to produce semantic features (item descriptions, category tags, query-intent labels, match scores) consumed by real-time CTR/ranking models. The production model (DCN V2, DLRM) stays the same; it just gets better input features. Zero latency impact because LLM runs in batch.	topic:ranking,topic:ads,level:intermediate,type:algorithm,source:research-summary
ARK005	Why is LLM-as-feature-generator the safest entry point for LLM in ranking?	It doesn't change the serving architecture. The production model stays the same -- it just gets richer features. It solves cold-start (new items get LLM-generated descriptions immediately) and improves semantic matching. Zero latency impact because LLM runs offline in batch.	topic:ranking,level:beginner,type:why,source:practitioner
ARK006	What is KAR (Knowledge-Augmented Recommendation)?	KAR (2024) uses LLMs to augment user/item representations with world knowledge for cold-start scenarios. The LLM provides contextual knowledge that behavioral models cannot access for new items, enabling better initial recommendations.	topic:ranking,topic:recommendation,level:intermediate,type:paper,source:research-summary
ARK007	Compare pointwise, pairwise, and listwise LLM ranking paradigms.	Pointwise: score each doc independently, N calls, moderate cost, lowest quality. Pairwise: compare all pairs, O(N^2) calls, high quality, not production-viable. Listwise: present full list, get permutation in 1 call (long context), highest quality, viable for top-K only.	topic:ranking,topic:reranking,level:intermediate,type:comparison,source:research-summary
ARK008	What did RankGPT demonstrate about LLM pretraining and relevance?	Internet-scale pretraining already encodes a strong notion of "relevance." RankGPT outperforms fine-tuned cross-encoders on BEIR benchmarks WITHOUT any task-specific training, proving that general language understanding transfers directly to ranking capability.	topic:ranking,paper:rankgpt,level:intermediate,type:paper,source:research-summary
ARK009	What is the LRL (Listwise Reranker via LLM) sliding window approach?	LRL (2024) handles long candidate lists by processing overlapping sliding windows. Instead of fitting all N documents in one context (often impossible), it processes windows of manageable size and merges results. This makes listwise reranking practical for lists longer than context limits.	topic:ranking,topic:reranking,level:intermediate,type:algorithm,source:research-summary
ARK010	What is RankLLaMA and what quality/cost tradeoff does it achieve?	RankLLaMA (2024) fine-tunes LLaMA for pointwise/listwise ranking. It achieves ~90% of GPT-4 ranking quality at 10x cheaper cost. This represents the teacher-student distillation that bridges research-quality LLM ranking to production-viable deployment.	topic:ranking,paper:rankgpt,level:intermediate,type:paper,source:research-summary
