ID	Front	Back	Tags
SVR-001	What is the fundamental difference between SFT and RL for post-training?	SFT minimizes distance to demonstration distribution (imitation); RL maximizes a reward signal (optimization). SFT is bounded by demo quality; RL can exceed it but introduces instability	topic:sft,topic:rlhf,type:comparison,level:beginner,source:research-summary
SVR-002	What is the "killer framing" for SFT vs RL?	SFT teaches a model WHAT to say; RL teaches it HOW WELL to say it. SFT sets the floor; RL raises the ceiling — but only for properties the reward signal can capture	topic:sft,topic:rlhf,type:why,level:beginner,source:research-summary
SVR-003	What compute overhead does each RL method add beyond SFT?	DPO: 1.5-2x; GRPO: 2-3x; online iterative DPO: 3-4x; PPO: 4-6x	topic:dpo,topic:grpo,topic:ppo,type:comparison,level:intermediate,source:research-summary
SVR-004	What are the 5 things RL unlocks that SFT cannot?	Simultaneous accuracy+diversity; self-correction; emergent reasoning strategies; exploration beyond training data; holistic property optimization	topic:rlhf,type:why,level:intermediate,source:research-summary
SVR-005	What is the Elicitation Theory of RL?	RL does NOT teach new capabilities — it elicits and amplifies latent ones; base models at high pass@k solve everything RL models solve at pass@1	topic:rlhf,type:definition,level:intermediate,source:research-summary
SVR-006	What is the implication of the Elicitation Theory?	If base model cannot solve a problem at all (even at pass@1000), RL will not help; invest in better pretraining or distillation for genuinely new capabilities	topic:rlhf,type:why,level:intermediate,source:research-summary
SVR-007	Why is RL described as "offline best-of-N baked into the weights"?	RL reshapes the distribution once during training so pass@1 is as good as pass@N was; this amortizes the N-times inference cost into a one-time training cost	topic:rlhf,type:why,level:advanced,source:research-summary
SVR-008	What did Singhal et al. show about RLHF improvements?	RLHF improvements are "largely driven by increasing response length"; a purely length-based reward reproduces most gains; real RL value appears in safety and reasoning	topic:rlhf,type:paper,level:intermediate,source:research-summary
SVR-009	How do you test if your RLHF model just learned length bias?	Compare against an SFT model with a "always be verbose" instruction; if they're similar, your reward model learned length not quality	topic:rlhf,topic:reward-models,type:definition,level:intermediate,source:research-summary
SVR-010	What did InstructGPT's 1.3B RLHF model prove?	It was preferred over the 175B base GPT-3, proving RL adds qualitative value that scaling alone doesn't provide	topic:rlhf,type:paper,level:beginner,paper:instructgpt,source:research-summary
SVR-011	Why can't you just collect more demonstrations and skip RL?	Ranking outputs is 10x cheaper than writing perfect ones; ranking captures holistic quality that's hard to specify in a demonstration; RL exploits this asymmetry between evaluation and generation	topic:sft,topic:rlhf,type:why,level:intermediate,source:research-summary
SVR-012	Did DeepSeek-R1 invalidate the SFT then RL pipeline?	No; R1-Zero (pure RL) works but is less efficient. R1 (SFT cold start + GRPO) outperforms. SFT makes RL more sample-efficient by reducing compute 2-5x	topic:grpo,topic:sft,type:paper,level:intermediate,paper:deepseek-r1,source:research-summary
SVR-013	What behaviors "emerged" from DeepSeek-R1's pure RL?	Self-reflection, verification, and dynamic strategy switching — metacognitive behaviors not in any training data, arising because GRPO incentivized checking work	topic:grpo,type:paper,level:intermediate,paper:deepseek-r1,source:research-summary
SVR-014	How do you detect reward hacking?	Monitor correlation between reward score and true quality (held-out human eval); when they diverge, model is hacking. Track length growth, human preference plateau, RM confidence	topic:reward-models,type:definition,level:intermediate,source:research-summary
SVR-015	What is Gao et al.'s inverted-U finding?	Gold reward follows an inverted-U as proxy optimization increases; model initially improves genuinely then starts exploiting reward model blind spots	topic:reward-models,type:paper,level:intermediate,source:research-summary
SVR-016	Is there a theoretical limit to optimizing against a reward model?	Yes — optimal KL budget depends on RM quality; with imperfect RM there's an optimal stopping point beyond which true quality degrades. Stop when held-out eval plateaus, not when reward plateaus	topic:reward-models,type:why,level:advanced,source:research-summary
SVR-017	How does SCoRe (Self-Correction via RL) compare to SFT for self-correction?	SCoRe improves by 15.6% on MATH where SFT-based self-correction fails entirely	topic:rlhf,type:paper,level:intermediate,source:research-summary
SVR-018	What is PRIME and what did it achieve?	Process RL with implicit rewards; 15.1% improvement over SFT using only 10% of training data	topic:rlhf,type:paper,level:intermediate,source:research-summary
SVR-019	What is TTRL and its result?	Test-Time RL using majority voting as pseudo-rewards; achieved 211% improvement on AIME math competition problems	topic:rlhf,type:paper,level:intermediate,source:research-summary
